outcome,effect_type,mean,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id
nonvegan,Level Change,0.87,0.72,0.99,1.030359346161561,NA,Restaurant,2HRX9P6HKXA8V
nonvegan,Slope Change,1.26,0.86,1.71,1.089820087840704,NA,Restaurant,2HRX9P6HKXA8V
nonvegan,Level Change,1.15,1.07,1.25,1.047516305602438,NA,Restaurant,JHDN7CF1C03X5
nonvegan,Slope Change,1.89,1.65,2.24,1.1166703537279037,NA,Restaurant,JHDN7CF1C03X5
nonvegan,Level Change,1.19,1,1.48,1.0345142744585645,NA,Restaurant,L69HYJ4Y3TR91
nonvegan,Slope Change,2.31,1.1,4.36,1.0423950656810574,NA,Restaurant,L69HYJ4Y3TR91
nonvegan,Level Change,1.01,0.87,1.17,1.039890601729473,NA,Restaurant,ED5J990H5VAZT
nonvegan,Slope Change,1.52,1.21,2.02,1.0769823371523788,NA,Restaurant,ED5J990H5VAZT
total,Level Change,1.02,0.94,1.11,0.9997882078694398,NA,Restaurant,VLZX7K2M9QD4T
total,Slope Change,1.38,0.65,2.43,0.999631591299459,NA,Restaurant,VLZX7K2M9QD4T
total,Level Change,1.05,0.96,1.17,1.0516557758324194,NA,Restaurant,SRQS8F7JWA9MZ
total,Level Change,1.04,0.95,1.15,1.054581762250718,NA,Restaurant,SRQS8F7JWA9MZ
total,Slope Change,0.41,0.18,0.81,1.074928427771391,NA,Restaurant,SRQS8F7JWA9MZ
total,Slope Change,1.27,0.63,2.96,1.0775332532514983,NA,Restaurant,SRQS8F7JWA9MZ
total,Level Change,0.86,0.73,0.99,1.001282612789267,NA,Restaurant,2HRX9P6HKXA8V
total,Slope Change,1.25,0.9,1.99,1.0285909353000924,NA,Restaurant,2HRX9P6HKXA8V
total,Level Change,1.15,1.07,1.24,1.0206836649286333,NA,Restaurant,JHDN7CF1C03X5
total,Slope Change,1.9,1.63,2.24,1.0284195461000327,NA,Restaurant,JHDN7CF1C03X5
total,Level Change,1.21,1.02,1.52,1.0070581138883246,NA,Restaurant,L69HYJ4Y3TR91
total,Slope Change,3.13,1.37,11.66,1.0962021128143848,NA,Restaurant,L69HYJ4Y3TR91
total,Level Change,1.03,0.87,1.19,1.0099343201868405,NA,Restaurant,ED5J990H5VAZT
total,Slope Change,1.63,1.26,2.12,1.0065374301768266,NA,Restaurant,ED5J990H5VAZT
vegan,Level Change,1.14,1.04,1.26,1.076720875312652,NA,Restaurant,VLZX7K2M9QD4T
vegan,Slope Change,1.19,0.82,1.63,1.0798066400390307,NA,Restaurant,VLZX7K2M9QD4T
vegan,Level Change,0.88,0.74,1.06,1.074080127004247,NA,Restaurant,SRQS8F7JWA9MZ
vegan,Level Change,1.13,0.99,1.35,1.127143786452847,NA,Restaurant,SRQS8F7JWA9MZ
vegan,Slope Change,0.65,0.12,1.26,1.2968987474307214,NA,Restaurant,SRQS8F7JWA9MZ
vegan,Slope Change,1.07,0.56,4.79,1.5304295567866413,NA,Restaurant,SRQS8F7JWA9MZ
vegan,Level Change,0.9,0.78,1.02,1.052904638540105,NA,Restaurant,2HRX9P6HKXA8V
vegan,Slope Change,1.29,1.12,1.48,1.1980647054984424,NA,Restaurant,2HRX9P6HKXA8V
vegan,Level Change,1.17,1.1,1.25,1.0653348369476572,NA,Restaurant,JHDN7CF1C03X5
vegan,Slope Change,1.22,1.04,1.43,1.2086379637673543,NA,Restaurant,JHDN7CF1C03X5
vegan,Level Change,1.19,0.94,1.45,1.1106149416138535,NA,Restaurant,L69HYJ4Y3TR91
vegan,Slope Change,1.52,1.14,2.65,1.002185260630128,NA,Restaurant,L69HYJ4Y3TR91
vegan,Level Change,1.39,1.16,1.62,1.245309986480717,NA,Restaurant,ED5J990H5VAZT
vegan,Slope Change,1.36,1.08,1.92,1.0208163734554583,NA,Restaurant,ED5J990H5VAZT
vegetarian,Level Change,1.03,0.95,1.11,1.0194842253778178,NA,Restaurant,VLZX7K2M9QD4T
vegetarian,Slope Change,1.15,0.86,1.46,1.0705437841762526,NA,Restaurant,VLZX7K2M9QD4T
vegetarian,Level Change,1.08,1,1.16,1.020442836746817,NA,Restaurant,SRQS8F7JWA9MZ
vegetarian,Level Change,1.07,1,1.15,1.0111024811050675,NA,Restaurant,SRQS8F7JWA9MZ
vegetarian,Slope Change,0.8,0.65,1.02,1.0599814706834496,NA,Restaurant,SRQS8F7JWA9MZ
vegetarian,Slope Change,0.92,0.68,1.19,0.999717155343333,NA,Restaurant,SRQS8F7JWA9MZ
vegetarian,Level Change,0.78,0.66,0.89,1.016726292211178,NA,Restaurant,2HRX9P6HKXA8V
vegetarian,Slope Change,1.35,1.14,1.56,1.0069368390015794,NA,Restaurant,2HRX9P6HKXA8V
vegetarian,Level Change,1.13,1.04,1.21,1.0173209098940272,NA,Restaurant,JHDN7CF1C03X5
vegetarian,Slope Change,1.55,1.37,1.74,1.0248370823311148,NA,Restaurant,JHDN7CF1C03X5
vegetarian,Level Change,1.4,1.14,1.81,1.0596650072425693,NA,Restaurant,L69HYJ4Y3TR91
vegetarian,Slope Change,1.83,1.25,3.26,1.5162535907450008,NA,Restaurant,L69HYJ4Y3TR91
vegetarian,Level Change,1.12,0.93,1.29,1.0220977979630907,NA,Restaurant,ED5J990H5VAZT
vegetarian,Slope Change,1.51,1.29,1.9,1.1741014888878687,NA,Restaurant,ED5J990H5VAZT
