outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,pred_path,color_group,left_ok,right_ok,q1_lo,q1_hi
vegan,vegetarian,count,0.004138511871555,-0.07641960125,0.0888832275,1.0041470873376188,1.0004139368353728,1.02697827685503,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegan/vegetarian_dishes_count/plots/all_restaurants_weekly.png,Plant-based,FALSE,TRUE,-0.03803057709528174,0.046307600838391735
vegan,vegetarian,proportion,0.3260289004425,-0.938277501,1.736534765,1.385455408568571,1.0331401875151724,1.01170145582976,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegan/vegetarian_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,FALSE,TRUE,-0.3563211674146429,1.008378968299643
nonvegan,mpba-modifiable,count,-4.856309301175986,NA,-1.4416634344319215,1.007809477576389,1.0007782167980412,1.00145994979798,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count/plots/2HRX9P6HKXA8V.png,Animal,NA,TRUE,NA,NA
nonvegan,mpba-modifiable,count,NA,NA,-3.9039542703993284,0.9977256419400213,0.9997723310864514,1.00051753582691,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count/plots/ED5J990H5VAZT.png,Animal,NA,TRUE,NA,NA
nonvegan,mpba-modifiable,count,-6.534771531223071,NA,-3.203685225957234,1.0014531154910558,1.0001452166169522,1.00216613461077,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count/plots/JHDN7CF1C03X5.png,Animal,NA,TRUE,NA,NA
nonvegan,mpba-modifiable,count,NA,NA,-1.8506792769412146,0.9795529885037563,0.9979362379355843,1.00715646816109,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count/plots/L69HYJ4Y3TR91.png,Animal,NA,TRUE,NA,NA
nonvegan,mpba-modifiable,count,-4.958719907810501,NA,-2.3223111282234727,1.0070466221970713,1.00070243767137,1.00257042287047,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count/plots/SRQS8F7JWA9MZ.png,Animal,NA,TRUE,NA,NA
nonvegan,mpba-modifiable,count,-5.546864363577445,NA,-3.4466774189763023,1.0039072796183155,1.0003900426495755,1.00047282565876,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count/plots/W8T41JZK0ZMEP.png,Animal,NA,TRUE,NA,NA
nonvegan,mpba-modifiable,proportion,NA,NA,1.2045085407935239,0.8470611572670055,0.9835387535312894,1.0024786225662,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_prop/plots/2HRX9P6HKXA8V.png,Animal,NA,TRUE,NA,NA
nonvegan,mpba-modifiable,proportion,NA,NA,-0.8650989895178376,0.9526123062993904,0.9951570379359944,1.00770509194278,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_prop/plots/ED5J990H5VAZT.png,Animal,NA,TRUE,NA,NA
nonvegan,mpba-modifiable,proportion,-0.9859743565998865,NA,0.6613179499704704,1.4521940361257317,1.0380122166813617,1.01235692069139,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_prop/plots/JHDN7CF1C03X5.png,Animal,NA,TRUE,NA,NA
nonvegan,mpba-modifiable,proportion,NA,NA,1.176669094974983,0.7840328554195503,0.9759631638788542,1.00260355559401,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_prop/plots/L69HYJ4Y3TR91.png,Animal,NA,TRUE,NA,NA
nonvegan,mpba-modifiable,proportion,-2.970527109413781,NA,-0.004732932676619364,1.0526136639550299,1.0051407962804686,1.00089020089094,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_prop/plots/SRQS8F7JWA9MZ.png,Animal,NA,TRUE,NA,NA
nonvegan,mpba-modifiable,proportion,NA,NA,-0.2764454306375294,0.5042498599230585,0.9338230263456735,1.00344933914527,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_prop/plots/W8T41JZK0ZMEP.png,Animal,NA,TRUE,NA,NA
nonvegan,vegan,count,-5.083259433566192,NA,-2.0224107582065183,1.006218926361935,1.0006201590831492,1.0011037818454,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_count/plots/2HRX9P6HKXA8V.png,Animal,NA,TRUE,NA,NA
nonvegan,vegan,count,NA,NA,-2.628162197702455,0.9932952401285589,0.9993274924596313,1.00100634099216,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_count/plots/ED5J990H5VAZT.png,Animal,NA,TRUE,NA,NA
nonvegan,vegan,count,NA,NA,-4.107168735547557,0.9935360402089447,0.9993517160623686,0.999923313073786,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_count/plots/JHDN7CF1C03X5.png,Animal,NA,TRUE,NA,NA
nonvegan,vegan,count,NA,NA,-2.983780135772743,0.9803815147746028,0.9980206133461665,1.0050097936646,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_count/plots/L69HYJ4Y3TR91.png,Animal,NA,TRUE,NA,NA
nonvegan,vegan,count,NA,NA,-1.8167385653509152,0.9515460284946508,0.9950455918933027,1.00062344886799,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_count/plots/SRQS8F7JWA9MZ.png,Animal,NA,TRUE,NA,NA
nonvegan,vegan,count,-4.926602059561286,NA,-3.580377218829617,1.0072774531598954,1.0007253729833294,1.00373239301576,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_count/plots/W8T41JZK0ZMEP.png,Animal,NA,TRUE,NA,NA
nonvegan,vegan,proportion,-3.758709049717613,NA,0.8002790714059711,1.0235877093326757,1.0023341015773661,1.00012645538623,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_prop/plots/2HRX9P6HKXA8V.png,Animal,NA,TRUE,NA,NA
nonvegan,vegan,proportion,NA,NA,0.3151955271137829,0.8557259157756301,0.9845402337009355,1.00157654697256,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_prop/plots/ED5J990H5VAZT.png,Animal,NA,TRUE,NA,NA
nonvegan,vegan,proportion,NA,NA,0.01809141891585928,0.7341509602265339,0.9695685886723796,1.00063410102128,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_prop/plots/JHDN7CF1C03X5.png,Animal,NA,TRUE,NA,NA
nonvegan,vegan,proportion,NA,NA,0.6799886100551638,0.5134019950942953,0.9355042292338565,1.00433544445577,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_prop/plots/L69HYJ4Y3TR91.png,Animal,NA,TRUE,NA,NA
nonvegan,vegan,proportion,NA,NA,-0.4510260480888925,0.8498351767555877,0.9838603764985974,1.00057558427499,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_prop/plots/SRQS8F7JWA9MZ.png,Animal,NA,TRUE,NA,NA
nonvegan,vegan,proportion,NA,NA,0.09538681323154515,0.7517056880777004,0.9718624077178069,1.00791667718654,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_prop/plots/W8T41JZK0ZMEP.png,Animal,NA,TRUE,NA,NA
nonvegan,vegetarian,count,-4.954866767967476,NA,-2.287202169194724,1.0070739221883949,1.000705150438982,1.00410253363992,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_count/plots/2HRX9P6HKXA8V.png,Animal,NA,TRUE,NA,NA
nonvegan,vegetarian,count,NA,NA,-3.5218609777770467,0.9981166220113257,0.9998115023904073,1.00126934636385,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_count/plots/ED5J990H5VAZT.png,Animal,NA,TRUE,NA,NA
nonvegan,vegetarian,count,NA,NA,-4.287727220066088,0.9959191239248077,0.999591161040112,1.00061011145939,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_count/plots/JHDN7CF1C03X5.png,Animal,NA,TRUE,NA,NA
nonvegan,vegetarian,count,NA,NA,-3.1624550858211897,0.9927682499165832,0.9992744607364905,1.00400247476887,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_count/plots/L69HYJ4Y3TR91.png,Animal,NA,TRUE,NA,NA
nonvegan,vegetarian,count,-5.607926530172152,NA,-3.2272579821984535,1.003675406150797,1.0003669341388677,1.00092349310069,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_count/plots/SRQS8F7JWA9MZ.png,Animal,NA,TRUE,NA,NA
nonvegan,vegetarian,count,-5.065894787792996,NA,-3.7787395247812587,1.0063282028202332,1.0006310253947324,1.01009382351672,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_count/plots/W8T41JZK0ZMEP.png,Animal,NA,TRUE,NA,NA
nonvegan,vegetarian,proportion,NA,NA,0.7485006755411767,0.919118744409893,0.9916014709102392,1.02095316519052,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_prop/plots/2HRX9P6HKXA8V.png,Animal,NA,TRUE,NA,NA
nonvegan,vegetarian,proportion,NA,NA,0.17473550112992922,0.8276148851287656,0.9812571387649612,1.00176184450764,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_prop/plots/ED5J990H5VAZT.png,Animal,NA,TRUE,NA,NA
nonvegan,vegetarian,proportion,NA,NA,0.1518220435141605,0.770782370582559,0.974301065029375,1.02165835255882,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_prop/plots/JHDN7CF1C03X5.png,Animal,NA,TRUE,NA,NA
nonvegan,vegetarian,proportion,NA,NA,0.6319739238959319,0.6369697062211565,0.9558987150447824,1.00478580899006,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_prop/plots/L69HYJ4Y3TR91.png,Animal,NA,TRUE,NA,NA
nonvegan,vegetarian,proportion,-6.057819116262976,NA,-0.500107023750731,1.0023422362596335,1.000233977118377,1.00208450867949,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_prop/plots/SRQS8F7JWA9MZ.png,Animal,NA,TRUE,NA,NA
nonvegan,vegetarian,proportion,NA,NA,-0.6783014261274454,0.4188360629262218,0.9166518237848816,1.00367636320652,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_prop/plots/W8T41JZK0ZMEP.png,Animal,NA,TRUE,NA,NA
meat,mpba-modifiable,count,-2.599470654287107,NA,-1.2603868805479919,1.0771437964741097,1.0074589710664557,1.0077159350856,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_count/plots/2HRX9P6HKXA8V.png,Animal,NA,TRUE,NA,NA
meat,mpba-modifiable,count,NA,NA,-3.700622747464149,0.9968888654224063,0.9996884501199488,1.00100015973338,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_count/plots/ED5J990H5VAZT.png,Animal,NA,TRUE,NA,NA
meat,mpba-modifiable,count,NA,NA,-3.205353477802457,0.9992670678308831,0.9999266825983308,1.00022160790297,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_count/plots/JHDN7CF1C03X5.png,Animal,NA,TRUE,NA,NA
meat,mpba-modifiable,count,NA,NA,-2.162367925988474,0.9428713447915497,0.994134724535536,1.00529691349106,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_count/plots/L69HYJ4Y3TR91.png,Animal,NA,TRUE,NA,NA
meat,mpba-modifiable,count,NA,NA,-3.127865786524837,0.944147399834827,0.9942691860096596,1.00562808285876,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_count/plots/SRQS8F7JWA9MZ.png,Animal,NA,TRUE,NA,NA
meat,mpba-modifiable,count,NA,NA,-4.323147648534405,0.9838508207670051,0.9983732248020917,1.00189130576359,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_count/plots/W8T41JZK0ZMEP.png,Animal,NA,TRUE,NA,NA
meat,mpba-modifiable,proportion,0.08931474737002643,NA,1.4502012433624838,2.9844776942609257,1.115544331501526,1.01016862785676,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_prop/plots/2HRX9P6HKXA8V.png,Animal,NA,TRUE,NA,NA
meat,mpba-modifiable,proportion,-3.724071264348414,NA,-0.5245034823098735,1.0244291242926655,1.0024164655103407,1.00926888613884,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_prop/plots/ED5J990H5VAZT.png,Animal,NA,TRUE,NA,NA
meat,mpba-modifiable,proportion,0.26068287625352,NA,1.0517509131892726,3.661291785080313,1.1385796939943795,1.00376110596664,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_prop/plots/JHDN7CF1C03X5.png,Animal,NA,TRUE,NA,NA
meat,mpba-modifiable,proportion,NA,NA,0.9203427413842027,0.7914066182671182,0.9768771872970282,1.00672771888271,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_prop/plots/L69HYJ4Y3TR91.png,Animal,NA,TRUE,NA,NA
meat,mpba-modifiable,proportion,NA,NA,-0.9415239280535067,0.5775216618746544,0.946578918274232,1.01148531988288,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_prop/plots/SRQS8F7JWA9MZ.png,Animal,NA,TRUE,NA,NA
meat,mpba-modifiable,proportion,NA,NA,0.22348213398862643,0.937184193697631,0.9935334548834028,1.00605538397518,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_prop/plots/W8T41JZK0ZMEP.png,Animal,NA,TRUE,NA,NA
meat,vegan,count,NA,NA,-2.2593932128723417,0.9731040484779692,0.9972772866487105,1.00196905039339,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/meat/vegan_dishes_count/plots/2HRX9P6HKXA8V.png,Animal,NA,TRUE,NA,NA
meat,vegan,count,NA,NA,-5.105064112413741,0.9154667972184153,0.9912067702930067,1.00146644541606,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/meat/vegan_dishes_count/plots/ED5J990H5VAZT.png,Animal,NA,TRUE,NA,NA
meat,vegan,count,NA,NA,-6.481352566992428,0.9786152701606112,0.9978406651090841,1.00019162310557,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/meat/vegan_dishes_count/plots/JHDN7CF1C03X5.png,Animal,NA,TRUE,NA,NA
meat,vegan,count,NA,NA,-2.916715245556214,0.9715717729533979,0.9971201413313481,0.999725155092152,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/meat/vegan_dishes_count/plots/L69HYJ4Y3TR91.png,Animal,NA,TRUE,NA,NA
meat,vegan,count,-2.383589976952425,NA,-1.1277581836675834,1.096604863171,1.0092645445317858,1.01362267061712,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/meat/vegan_dishes_count/plots/SRQS8F7JWA9MZ.png,Animal,NA,TRUE,NA,NA
meat,vegan,count,NA,NA,NA,0.9645505860126595,0.9963972056841159,1.00705894194429,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/meat/vegan_dishes_count/plots/W8T41JZK0ZMEP.png,Animal,NA,NA,NA,NA
meat,vegan,proportion,NA,NA,0.4332211212529869,0.4864808871124289,0.9304790048405214,1.00271351631673,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/meat/vegan_dishes_prop/plots/2HRX9P6HKXA8V.png,Animal,NA,TRUE,NA,NA
meat,vegan,proportion,NA,NA,-0.4891692011048274,0.31183937942884726,0.8900063305305717,1.00572516205068,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/meat/vegan_dishes_prop/plots/ED5J990H5VAZT.png,Animal,NA,TRUE,NA,NA
