restaurant_id,analysis,outcome,exposure,issue_summary,separation,quasi_separation,separation_type,n_obs,n_exposed,n_unexposed,distinct_outcome_unexposed,distinct_outcome_exposed,very_sparse_exposure,very_sparse_outcome,distinct_values_exposure,distinct_values_outcome,correlation,mean_outcome_unexposed,mean_outcome_exposed,outcome_pct_zero_when_exp0,prop_zero_exposure,prop_zero_outcome,high_zero_exposure,high_zero_outcome,imbalanced,small_sample,problematic,exposure_column
L69HYJ4Y3TR91,proportion,vegan,vegetarian_dishes_prop,Imbal(48%),FALSE,FALSE,OK,318,154,0,0,29,FALSE,FALSE,22,29,0.056,NA,11.88,NA,0,0.013,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
SRQS8F7JWA9MZ,proportion,vegan,vegetarian_dishes_prop,Imbal(98%),FALSE,FALSE,OK,1507,1473,34,1,25,FALSE,FALSE,8,25,0.176,0,4.69,100,0.023,0.178,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion,vegan,vegetarian_dishes_prop,Imbal(69%),FALSE,FALSE,OK,1201,831,0,0,132,FALSE,FALSE,59,143,0.301,NA,62.13,NA,0,0.092,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
2HRX9P6HKXA8V,proportion,vegetarian,mpbamod_dishes_count,Exp_sparse(1) | Imbal(100%),FALSE,FALSE,OK,807,807,0,0,245,TRUE,FALSE,1,245,NA,NA,100.34,NA,0,0.062,FALSE,FALSE,TRUE,FALSE,TRUE,exposure_2HRX9P6HKXA8V_1
ED5J990H5VAZT,proportion,vegetarian,mpbamod_dishes_count,OK,FALSE,FALSE,OK,2618,545,2073,62,85,FALSE,FALSE,6,86,0.435,14.04,32.01,15.4,0.792,0.139,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion,vegetarian,mpbamod_dishes_count,Imbal(46%),FALSE,FALSE,OK,1527,703,0,0,45,FALSE,FALSE,18,57,-0.218,NA,15.65,NA,0,0.221,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion,vegetarian,mpbamod_dishes_count,OK,FALSE,FALSE,OK,318,128,190,45,49,FALSE,FALSE,3,64,0.576,30.93,48,1.1,0.597,0.006,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
SRQS8F7JWA9MZ,proportion,vegetarian,mpbamod_dishes_count,OK,FALSE,FALSE,OK,1507,1051,456,62,114,FALSE,FALSE,3,116,0.428,17.27,41.34,9.2,0.303,0.035,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion,vegetarian,mpbamod_dishes_count,Imbal(56%),FALSE,FALSE,OK,1201,667,0,0,143,FALSE,FALSE,18,167,0.297,NA,85.12,NA,0,0.089,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
2HRX9P6HKXA8V,proportion,vegetarian,mpbamod_dishes_prop,Imbal(100%),FALSE,FALSE,OK,807,807,0,0,245,FALSE,FALSE,5,245,-0.144,NA,100.34,NA,0,0.062,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_2HRX9P6HKXA8V_1
ED5J990H5VAZT,proportion,vegetarian,mpbamod_dishes_prop,Imbal(21%),FALSE,FALSE,OK,2618,545,0,0,85,FALSE,FALSE,14,86,0.429,NA,32.01,NA,0,0.139,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion,vegetarian,mpbamod_dishes_prop,Imbal(62%),FALSE,FALSE,OK,1527,952,0,0,44,FALSE,FALSE,51,57,-0.386,NA,15.42,NA,0,0.221,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion,vegetarian,mpbamod_dishes_prop,OK,FALSE,FALSE,OK,318,128,190,45,49,FALSE,FALSE,8,64,0.558,30.93,48,1.1,0.597,0.006,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
SRQS8F7JWA9MZ,proportion,vegetarian,mpbamod_dishes_prop,OK,FALSE,FALSE,OK,1507,1051,456,62,114,FALSE,FALSE,6,116,0.411,17.27,41.34,9.2,0.303,0.035,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion,vegetarian,mpbamod_dishes_prop,Imbal(59%),FALSE,FALSE,OK,1201,706,0,0,145,FALSE,FALSE,98,167,0.321,NA,81.06,NA,0,0.089,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
2HRX9P6HKXA8V,proportion,vegetarian,vegan_dishes_count,Imbal(100%),FALSE,FALSE,OK,807,807,0,0,245,FALSE,FALSE,3,245,0.045,NA,100.34,NA,0,0.062,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_2HRX9P6HKXA8V_1
ED5J990H5VAZT,proportion,vegetarian,vegan_dishes_count,Imbal(99%),FALSE,FALSE,OK,2618,2598,20,6,86,FALSE,FALSE,6,86,0.482,1.55,17.91,50,0.008,0.139,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion,vegetarian,vegan_dishes_count,Imbal(41%),FALSE,FALSE,OK,1527,626,0,0,54,FALSE,FALSE,14,57,0.234,NA,22.72,NA,0,0.221,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion,vegetarian,vegan_dishes_count,Imbal(100%),FALSE,FALSE,OK,318,318,0,0,64,FALSE,FALSE,6,64,0.617,NA,37.8,NA,0,0.006,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
SRQS8F7JWA9MZ,proportion,vegetarian,vegan_dishes_count,Exp_sparse(2),FALSE,FALSE,OK,1507,1346,161,28,115,TRUE,FALSE,2,116,0.359,8.2,37.15,24.8,0.107,0.035,FALSE,FALSE,FALSE,FALSE,TRUE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion,vegetarian,vegan_dishes_count,Imbal(62%),FALSE,FALSE,OK,1201,744,0,0,150,FALSE,FALSE,20,167,0.163,NA,73.85,NA,0,0.089,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
2HRX9P6HKXA8V,proportion,vegetarian,vegan_dishes_prop,Imbal(100%),FALSE,FALSE,OK,807,807,0,0,245,FALSE,FALSE,9,245,0.024,NA,100.34,NA,0,0.062,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_2HRX9P6HKXA8V_1
ED5J990H5VAZT,proportion,vegetarian,vegan_dishes_prop,Imbal(56%),FALSE,FALSE,OK,2618,1465,0,0,86,FALSE,FALSE,45,86,0.109,NA,22.1,NA,0,0.139,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion,vegetarian,vegan_dishes_prop,Imbal(36%),FALSE,FALSE,OK,1527,549,0,0,53,FALSE,FALSE,50,57,0.255,NA,23.38,NA,0,0.221,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion,vegetarian,vegan_dishes_prop,Imbal(27%),FALSE,FALSE,OK,318,85,0,0,38,FALSE,FALSE,19,64,0.625,NA,52.51,NA,0,0.006,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
SRQS8F7JWA9MZ,proportion,vegetarian,vegan_dishes_prop,OK,FALSE,FALSE,OK,1507,1346,161,28,115,FALSE,FALSE,7,116,0.029,8.2,37.15,24.8,0.107,0.035,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion,vegetarian,vegan_dishes_prop,Imbal(38%),FALSE,FALSE,OK,1201,454,0,0,131,FALSE,FALSE,88,167,-0.195,NA,63.77,NA,0,0.089,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
2HRX9P6HKXA8V,proportion,vegetarian,vegetarian_dishes_count,Imbal(100%),FALSE,FALSE,OK,807,807,0,0,245,FALSE,FALSE,4,245,0.166,NA,100.34,NA,0,0.062,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_2HRX9P6HKXA8V_1
ED5J990H5VAZT,proportion,vegetarian,vegetarian_dishes_count,Imbal(69%),FALSE,FALSE,OK,2618,1804,0,0,85,FALSE,FALSE,18,86,0.417,NA,21.66,NA,0,0.139,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion,vegetarian,vegetarian_dishes_count,Imbal(40%),FALSE,FALSE,OK,1527,608,0,0,54,FALSE,FALSE,20,57,0.25,NA,23.36,NA,0,0.221,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion,vegetarian,vegetarian_dishes_count,Imbal(60%),FALSE,FALSE,OK,318,191,0,0,60,FALSE,FALSE,12,64,0.237,NA,39.61,NA,0,0.006,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
SRQS8F7JWA9MZ,proportion,vegetarian,vegetarian_dishes_count,Imbal(98%),FALSE,FALSE,OK,1507,1473,34,1,116,FALSE,FALSE,8,116,0.466,0,34.85,100,0.023,0.035,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion,vegetarian,vegetarian_dishes_count,Imbal(61%),FALSE,FALSE,OK,1201,738,0,0,149,FALSE,FALSE,30,167,0.272,NA,77.44,NA,0,0.089,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
2HRX9P6HKXA8V,proportion,vegetarian,vegetarian_dishes_prop,Imbal(100%),FALSE,FALSE,OK,807,807,0,0,245,FALSE,FALSE,10,245,0.135,NA,100.34,NA,0,0.062,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_2HRX9P6HKXA8V_1
ED5J990H5VAZT,proportion,vegetarian,vegetarian_dishes_prop,Imbal(52%),FALSE,FALSE,OK,2618,1372,0,0,59,FALSE,FALSE,46,86,-0.373,NA,13.82,NA,0,0.139,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion,vegetarian,vegetarian_dishes_prop,Imbal(38%),FALSE,FALSE,OK,1527,577,0,0,54,FALSE,FALSE,45,57,0.299,NA,24.42,NA,0,0.221,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion,vegetarian,vegetarian_dishes_prop,Imbal(48%),FALSE,FALSE,OK,318,154,0,0,58,FALSE,FALSE,22,64,-0.027,NA,41.89,NA,0,0.006,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
SRQS8F7JWA9MZ,proportion,vegetarian,vegetarian_dishes_prop,Imbal(98%),FALSE,FALSE,OK,1507,1473,34,1,116,FALSE,FALSE,8,116,0.419,0,34.85,100,0.023,0.035,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion,vegetarian,vegetarian_dishes_prop,Imbal(69%),FALSE,FALSE,OK,1201,831,0,0,155,FALSE,FALSE,59,167,0.306,NA,78.1,NA,0,0.089,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
2HRX9P6HKXA8V,proportion_targeted,breakfast_p,breakfast_dishes_count,Imbal(100%),FALSE,FALSE,OK,807,807,0,0,420,FALSE,FALSE,4,420,0.046,NA,232.27,NA,0,0.059,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_2HRX9P6HKXA8V_1
ED5J990H5VAZT,proportion_targeted,breakfast_p,breakfast_dishes_count,OK,FALSE,FALSE,OK,2618,2152,466,6,71,FALSE,FALSE,6,71,0.527,0.14,10.44,92.3,0.178,0.442,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion_targeted,breakfast_p,breakfast_dishes_count,Imbal(100%),FALSE,FALSE,OK,1527,1525,2,1,64,FALSE,FALSE,10,64,0.333,0,18.39,100,0.001,0.222,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion_targeted,breakfast_p,breakfast_dishes_count,Imbal(100%),FALSE,FALSE,OK,318,317,1,1,63,FALSE,FALSE,6,63,0.375,0,26.76,100,0.003,0.028,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
SRQS8F7JWA9MZ,proportion_targeted,breakfast_p,breakfast_dishes_count,Imbal(98%),FALSE,FALSE,OK,1507,1472,35,2,402,FALSE,FALSE,5,403,0.333,0.03,170.29,97.1,0.023,0.033,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion_targeted,breakfast_p,breakfast_dishes_count,SEPARATION | Exp_sparse(2),TRUE,FALSE,"No variation in outcome when unexposed (n=387, outcome always 0)",1201,814,387,1,29,TRUE,FALSE,2,29,0.518,0,8.43,100,0.322,0.448,FALSE,FALSE,FALSE,FALSE,TRUE,exposure_W8T41JZK0ZMEP_1
2HRX9P6HKXA8V,proportion_targeted,breakfast_p,breakfast_dishes_presence,Exp_sparse(1) | Imbal(100%),FALSE,FALSE,OK,807,807,0,0,420,TRUE,FALSE,1,420,NA,NA,232.27,NA,0,0.059,FALSE,FALSE,TRUE,FALSE,TRUE,exposure_2HRX9P6HKXA8V_1
ED5J990H5VAZT,proportion_targeted,breakfast_p,breakfast_dishes_presence,Exp_sparse(2),FALSE,FALSE,OK,2618,2152,466,6,71,TRUE,FALSE,2,71,0.296,0.14,10.44,92.3,0.178,0.442,FALSE,FALSE,FALSE,FALSE,TRUE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion_targeted,breakfast_p,breakfast_dishes_presence,Exp_sparse(2) | Imbal(100%),FALSE,FALSE,OK,1527,1525,2,1,64,TRUE,FALSE,2,64,0.049,0,18.39,100,0.001,0.222,FALSE,FALSE,TRUE,FALSE,TRUE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion_targeted,breakfast_p,breakfast_dishes_presence,Exp_sparse(2) | Imbal(100%),FALSE,FALSE,OK,318,317,1,1,63,TRUE,FALSE,2,63,0.107,0,26.76,100,0.003,0.028,FALSE,FALSE,TRUE,FALSE,TRUE,exposure_L69HYJ4Y3TR91_1
SRQS8F7JWA9MZ,proportion_targeted,breakfast_p,breakfast_dishes_presence,Exp_sparse(2) | Imbal(98%),FALSE,FALSE,OK,1507,1472,35,2,402,TRUE,FALSE,2,403,0.227,0.03,170.29,97.1,0.023,0.033,FALSE,FALSE,TRUE,FALSE,TRUE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion_targeted,breakfast_p,breakfast_dishes_presence,SEPARATION | Exp_sparse(2),TRUE,FALSE,"No variation in outcome when unexposed (n=387, outcome always 0)",1201,814,387,1,29,TRUE,FALSE,2,29,0.518,0,8.43,100,0.322,0.448,FALSE,FALSE,FALSE,FALSE,TRUE,exposure_W8T41JZK0ZMEP_1
JHDN7CF1C03X5,proportion_targeted,chicken_p,chicken_dishes_count,Imbal(67%),FALSE,FALSE,OK,1527,1028,0,0,66,FALSE,FALSE,16,86,-0.19,NA,27.31,NA,0,0.208,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
W8T41JZK0ZMEP,proportion_targeted,chicken_p,chicken_dishes_count,Imbal(100%),FALSE,FALSE,OK,1201,1201,0,0,33,FALSE,FALSE,7,33,0.208,NA,9.41,NA,0,0.167,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
JHDN7CF1C03X5,proportion_targeted,chicken_p,chicken_dishes_presence,Exp_sparse(1) | Imbal(100%),FALSE,FALSE,OK,1527,1527,0,0,86,TRUE,FALSE,1,86,NA,NA,30.28,NA,0,0.208,FALSE,FALSE,TRUE,FALSE,TRUE,exposure_JHDN7CF1C03X5_1
W8T41JZK0ZMEP,proportion_targeted,chicken_p,chicken_dishes_presence,Exp_sparse(1) | Imbal(100%),FALSE,FALSE,OK,1201,1201,0,0,33,TRUE,FALSE,1,33,NA,NA,9.41,NA,0,0.167,FALSE,FALSE,TRUE,FALSE,TRUE,exposure_W8T41JZK0ZMEP_1
ED5J990H5VAZT,proportion_targeted,dairy_p,dairy_dishes_count,Imbal(55%),FALSE,FALSE,OK,2618,1433,0,0,111,FALSE,FALSE,22,114,0.164,NA,25.66,NA,0,0.143,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion_targeted,dairy_p,dairy_dishes_count,Imbal(62%),FALSE,FALSE,OK,1527,952,0,0,107,FALSE,FALSE,16,111,0.181,NA,41.99,NA,0,0.207,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
W8T41JZK0ZMEP,proportion_targeted,dairy_p,dairy_dishes_count,Imbal(63%),FALSE,FALSE,OK,1201,757,0,0,123,FALSE,FALSE,24,137,0.172,NA,60.28,NA,0,0.091,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
ED5J990H5VAZT,proportion_targeted,dairy_p,dairy_dishes_presence,SEPARATION | Exp_sparse(2) | Imbal(98%),TRUE,FALSE,"No variation in outcome when unexposed (n=55, outcome always 0)",2618,2563,55,1,114,TRUE,FALSE,2,114,0.159,0,24.97,100,0.021,0.143,FALSE,FALSE,TRUE,FALSE,TRUE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion_targeted,dairy_p,dairy_dishes_presence,Exp_sparse(1) | Imbal(100%),FALSE,FALSE,OK,1527,1527,0,0,111,TRUE,FALSE,1,111,NA,NA,38.83,NA,0,0.207,FALSE,FALSE,TRUE,FALSE,TRUE,exposure_JHDN7CF1C03X5_1
W8T41JZK0ZMEP,proportion_targeted,dairy_p,dairy_dishes_presence,Exp_sparse(1) | Imbal(100%),FALSE,FALSE,OK,1201,1201,0,0,137,TRUE,FALSE,1,137,NA,NA,57.48,NA,0,0.091,FALSE,FALSE,TRUE,FALSE,TRUE,exposure_W8T41JZK0ZMEP_1
ED5J990H5VAZT,proportion_targeted,egg_p,egg_dishes_count,Imbal(48%),FALSE,FALSE,OK,2618,1253,0,0,76,FALSE,FALSE,15,84,0.113,NA,15.35,NA,0,0.162,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
W8T41JZK0ZMEP,proportion_targeted,egg_p,egg_dishes_count,OK,FALSE,FALSE,OK,1201,406,122,42,67,FALSE,FALSE,15,73,0.318,21.5,31.15,9.8,0.102,0.106,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
ED5J990H5VAZT,proportion_targeted,egg_p,egg_dishes_presence,SEPARATION | Exp_sparse(2) | Imbal(98%),TRUE,FALSE,"No variation in outcome when unexposed (n=55, outcome always 0)",2618,2563,55,1,84,TRUE,FALSE,2,84,0.144,0,15.81,100,0.021,0.162,FALSE,FALSE,TRUE,FALSE,TRUE,exposure_ED5J990H5VAZT_1
W8T41JZK0ZMEP,proportion_targeted,egg_p,egg_dishes_presence,Exp_sparse(1) | Imbal(100%),FALSE,FALSE,OK,1201,1201,0,0,73,TRUE,FALSE,1,73,NA,NA,24.7,NA,0,0.106,FALSE,FALSE,TRUE,FALSE,TRUE,exposure_W8T41JZK0ZMEP_1
JHDN7CF1C03X5,proportion_targeted,untextured_p,untextured_dishes_count,Imbal(99%),FALSE,FALSE,OK,1527,1517,10,1,20,FALSE,FALSE,6,20,0.056,0,4.73,100,0.007,0.238,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
SRQS8F7JWA9MZ,proportion_targeted,untextured_p,untextured_dishes_count,Imbal(100%),FALSE,FALSE,OK,1507,1507,0,0,126,FALSE,FALSE,3,126,0.323,NA,41.93,NA,0,0.036,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion_targeted,untextured_p,untextured_dishes_count,Imbal(100%),FALSE,FALSE,OK,1201,1201,0,0,20,FALSE,FALSE,5,20,0.246,NA,2.75,NA,0,0.365,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
JHDN7CF1C03X5,proportion_targeted,untextured_p,untextured_dishes_presence,Exp_sparse(2) | Imbal(99%),FALSE,FALSE,OK,1527,1517,10,1,20,TRUE,FALSE,2,20,0.099,0,4.73,100,0.007,0.238,FALSE,FALSE,TRUE,FALSE,TRUE,exposure_JHDN7CF1C03X5_1
SRQS8F7JWA9MZ,proportion_targeted,untextured_p,untextured_dishes_presence,Exp_sparse(1) | Imbal(100%),FALSE,FALSE,OK,1507,1507,0,0,126,TRUE,FALSE,1,126,NA,NA,41.93,NA,0,0.036,FALSE,FALSE,TRUE,FALSE,TRUE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion_targeted,untextured_p,untextured_dishes_presence,Exp_sparse(1) | Imbal(100%),FALSE,FALSE,OK,1201,1201,0,0,20,TRUE,FALSE,1,20,NA,NA,2.75,NA,0,0.365,FALSE,FALSE,TRUE,FALSE,TRUE,exposure_W8T41JZK0ZMEP_1
