restaurant_id,analysis,outcome,exposure,issue_summary,separation,quasi_separation,separation_type,n_obs,n_exposed,n_unexposed,distinct_outcome_unexposed,distinct_outcome_exposed,very_sparse_exposure,very_sparse_outcome,distinct_values_exposure,distinct_values_outcome,correlation,mean_outcome_unexposed,mean_outcome_exposed,outcome_pct_zero_when_exp0,prop_zero_exposure,prop_zero_outcome,high_zero_exposure,high_zero_outcome,imbalanced,small_sample,problematic,exposure_column
ED5J990H5VAZT,proportion,meat,mpbamod_dishes_count,OK,FALSE,FALSE,OK,2618,545,2073,65,99,FALSE,FALSE,6,101,0.557,7.67,33.58,32.5,0.792,0.301,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion,meat,mpbamod_dishes_count,Imbal(46%),FALSE,FALSE,OK,1527,703,0,0,66,FALSE,FALSE,18,105,-0.198,NA,28.97,NA,0,0.208,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion,meat,mpbamod_dishes_count,OK,FALSE,FALSE,OK,318,128,190,33,37,FALSE,FALSE,3,45,0.562,14.47,24.44,1.6,0.597,0.009,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
SRQS8F7JWA9MZ,proportion,meat,mpbamod_dishes_count,OK,FALSE,FALSE,OK,1507,1051,456,172,246,FALSE,FALSE,3,269,0.246,77.83,118.05,8.6,0.303,0.032,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion,meat,mpbamod_dishes_count,Imbal(56%),FALSE,FALSE,OK,1201,667,0,0,28,FALSE,FALSE,18,28,0.066,NA,8.46,NA,0,0.162,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
2HRX9P6HKXA8V,proportion,meat,mpbamod_dishes_prop,Imbal(100%),FALSE,FALSE,OK,807,807,0,0,441,FALSE,FALSE,5,441,-0.18,NA,245.51,NA,0,0.059,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_2HRX9P6HKXA8V_1
ED5J990H5VAZT,proportion,meat,mpbamod_dishes_prop,Imbal(21%),FALSE,FALSE,OK,2618,545,0,0,99,FALSE,FALSE,14,101,0.548,NA,33.58,NA,0,0.301,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion,meat,mpbamod_dishes_prop,Imbal(62%),FALSE,FALSE,OK,1527,952,0,0,68,FALSE,FALSE,51,105,-0.304,NA,29.19,NA,0,0.208,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion,meat,mpbamod_dishes_prop,OK,FALSE,FALSE,OK,318,128,190,33,37,FALSE,FALSE,8,45,0.548,14.47,24.44,1.6,0.597,0.009,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
SRQS8F7JWA9MZ,proportion,meat,mpbamod_dishes_prop,OK,FALSE,FALSE,OK,1507,1051,456,172,246,FALSE,FALSE,6,269,0.235,77.83,118.05,8.6,0.303,0.032,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion,meat,mpbamod_dishes_prop,Imbal(59%),FALSE,FALSE,OK,1201,706,0,0,26,FALSE,FALSE,98,28,0.036,NA,7.99,NA,0,0.162,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
2HRX9P6HKXA8V,proportion,meat,vegan_dishes_count,Imbal(100%),FALSE,FALSE,OK,807,807,0,0,441,FALSE,FALSE,3,441,0.036,NA,245.51,NA,0,0.059,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_2HRX9P6HKXA8V_1
ED5J990H5VAZT,proportion,meat,vegan_dishes_count,Imbal(99%),FALSE,FALSE,OK,2618,2598,20,1,101,FALSE,FALSE,6,101,0.539,0,13.17,100,0.008,0.301,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion,meat,vegan_dishes_count,Imbal(41%),FALSE,FALSE,OK,1527,626,0,0,95,FALSE,FALSE,14,105,0.126,NA,38.68,NA,0,0.208,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion,meat,vegan_dishes_count,Imbal(100%),FALSE,FALSE,OK,318,318,0,0,45,FALSE,FALSE,6,45,0.627,NA,18.48,NA,0,0.009,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
