outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,n_rest_model,source,pred_path,exposure_strip,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Chicken,Slope change,-0.24632533007463334,-2.6056995,1.7551460000000019,NA,1.0023066915213734,NA,Restaurant,V3Q26BHF3SE2H,NA,finalized_redone_trunc,NA,"Exposure: Chicken Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.3587859168093277,0.8661352566600611
Chicken,Slope change,-0.18313117517733332,-2.49609275,2.008601500000001,NA,1.009217011780309,NA,Restaurant,V3Q26BHF3SE2H,NA,finalized_redone_trunc,NA,"Exposure: Chicken Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.332287871605905,0.9660255212512384
Chicken,Slope change,-0.32215105204686667,-2.7359187499999997,1.7068660000000002,NA,1.0041040543444921,NA,Restaurant,V3Q26BHF3SE2H,NA,finalized_redone_trunc,NA,"Exposure: Chicken Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.4555145086795196,0.8112124045857863
Chicken,Slope change,0.0978266909028,-1.657168,2.9874835000000046,NA,1.0041848972607799,NA,Restaurant,V3Q26BHF3SE2H,NA,finalized_redone_trunc,NA,"Exposure: Chicken Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.0870333856278134,1.2826867674334135
Dairy,Level change,0.16356618306266665,0.003922281500000003,0.322100025,NA,1.0051447541945995,NA,Restaurant,W8T41JZK0ZMEP,NA,finalized_redone_trunc,NA,"Exposure: Dairy Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.08239839135348298,0.24473397477185033
Dairy,Level change,0.19432739466093332,0.02151923750000001,0.40128530000000007,NA,1.0044919553829967,NA,Restaurant,W8T41JZK0ZMEP,NA,finalized_redone_trunc,NA,"Exposure: Dairy Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.0974482970844027,0.291206492237464
Dairy,Level change,0.14502144360723335,-0.0510586325,0.33321767500000005,NA,1.0105311888652453,NA,Restaurant,W8T41JZK0ZMEP,NA,finalized_redone_trunc,NA,"Exposure: Dairy Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.04699177332662109,0.24305111388784562
Dairy,Level change,0.1473430736465,-0.05231661499999999,0.31641255000000007,NA,1.0044489530944314,NA,Restaurant,W8T41JZK0ZMEP,NA,finalized_redone_trunc,NA,"Exposure: Dairy Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.053279511146499994,0.24140663614650004
Dairy,Level change,0.1534761285757,-0.0353922025,0.3282300250000002,NA,1.0129435793422863,NA,Restaurant,W8T41JZK0ZMEP,NA,finalized_redone_trunc,NA,"Exposure: Dairy Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.060715356254271394,0.24623690089712863
Dairy,Level change,1.935095847627,0.42517065,3.4680030000000004,NA,1.0139581639437105,NA,Restaurant,EMBVNVD207CC6,NA,finalized_redone_trunc,NA,"Exposure: Dairy Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.158863105280061,2.711328589973939
Dairy,Level change,0.3494626019616667,0.0654790925,0.65662115,NA,1.0035705552960181,NA,Restaurant,9XKJD8DQTH559,NA,finalized_redone_trunc,NA,"Exposure: Dairy Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.19866105668105444,0.5002641472422789
Dairy,Level change,0.296749059967,-0.047075879999999994,0.6126968,NA,1.0082161665082368,NA,Restaurant,9XKJD8DQTH559,NA,finalized_redone_trunc,NA,"Exposure: Dairy Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.12843970282414288,0.4650584171098572
Dairy,Slope change,-0.18948580432203332,-1.588874,1.0764242500000003,NA,1.0294043084114615,NA,Restaurant,W8T41JZK0ZMEP,NA,finalized_redone_trunc,NA,"Exposure: Dairy Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.869408827281217,0.4904372186371504
Dairy,Slope change,0.590160875817,-0.32516674999999995,2.4780447500000005,NA,1.0307639465090153,NA,Restaurant,W8T41JZK0ZMEP,NA,finalized_redone_trunc,NA,"Exposure: Dairy Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.12494409867279599,1.305265850306796
Dairy,Slope change,-0.245570260358,-1.5291625,1.0668442500000002,NA,1.0139715209531774,NA,Restaurant,W8T41JZK0ZMEP,NA,finalized_redone_trunc,NA,"Exposure: Dairy Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.9078168802559592,0.4166763595399592
Dairy,Slope change,-0.7197330774033334,-2.9182727499999994,0.3263017250000001,NA,1.0215419192570485,NA,Restaurant,W8T41JZK0ZMEP,NA,finalized_redone_trunc,NA,"Exposure: Dairy Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.5474306475563946,0.10796449274972775
Dairy,Slope change,-0.11599656990573333,-1.316809,1.4528682500000003,NA,1.0262398990919228,NA,Restaurant,W8T41JZK0ZMEP,NA,finalized_redone_trunc,NA,"Exposure: Dairy Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.8225468887832844,0.5905537489718177
Dairy,Slope change,0.21068415231366666,-0.526395875,1.07733525,NA,1.018945985281303,NA,Restaurant,EMBVNVD207CC6,NA,finalized_redone_trunc,NA,"Exposure: Dairy Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.19843093059449657,0.6197992352218299
Dairy,Slope change,-0.603386463337,-1.801068,0.5573368000000003,NA,1.0225454194201793,NA,Restaurant,9XKJD8DQTH559,NA,finalized_redone_trunc,NA,"Exposure: Dairy Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.2050203408880205,-0.001752585785979477
Dairy,Slope change,-0.6137423947933334,-1.75708175,0.5464818750000001,NA,1.0126476914260614,NA,Restaurant,9XKJD8DQTH559,NA,finalized_redone_trunc,NA,"Exposure: Dairy Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.2013861766810885,-0.026098612905578245
Whole-muscle meat,Level change,0.20140848933333333,0.128768575,0.27541752500000005,NA,1.0000180053863301,NA,Restaurant,VLZX7K2M9QD4T,NA,finalized_redone_trunc_cp,NA,"Exposure: Whole-Muscle Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.1639980429047619,0.23881893576190477
Whole-muscle meat,Level change,0.0769315041351,-0.26998264999999994,0.3780442000000001,NA,1.0012389091497425,NA,Restaurant,SAFK7ND1HR6XS,NA,finalized_redone_trunc_cp,NA,"Exposure: Whole-Muscle Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.08838146780367553,0.24224447607387553
Whole-muscle meat,Slope change,-0.3688996680218533,-1.1440677499999998,0.38347912500000003,NA,1.00076316194419,NA,Restaurant,VLZX7K2M9QD4T,NA,finalized_redone_trunc_cp,NA,"Exposure: Whole-Muscle Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.7585799932769552,0.02078065723324868
Whole-muscle meat,Slope change,-0.42393803247,-1.9402667500000002,1.01943825,NA,1.0013312039839344,NA,Restaurant,SAFK7ND1HR6XS,NA,finalized_redone_trunc_cp,NA,"Exposure: Whole-Muscle Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.1789648181842858,0.3310887532442858
Ground meat,Level change,0.10693350382943366,-0.024501128174999998,0.24014667300000006,NA,1.0227296744168934,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.03942130965213772,0.1744456980067296
Ground meat,Level change,-0.0032741346843467665,-0.12146209175,0.119415839,NA,1.0017120620719282,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.06472258640628555,0.05817431703759201
Ground meat,Level change,4.901224153933334,4.11099673,5.797644020000001,NA,1.0040771866678382,NA,Restaurant,JHDN7CF1C03X5,NA,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,4.470956988117007,5.33149131974966
Ground meat,Level change,0.18177236009828435,-0.68713378205,1.1559314744750002,NA,1.0042120267706443,NA,Restaurant,C0BE4NDSW26QN,NA,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.28839734819890955,0.6519420683954782
Ground meat,Level change,0.002346448769419666,-0.98796267525,0.8328006325250009,NA,1.0038162306187863,NA,Restaurant,C0BE4NDSW26QN,NA,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.4621339868874684,0.46682688442630765
Ground meat,Level change,0.06686570438399063,-0.065106728975,0.1991764085,NA,1.0168163360643778,NA,Restaurant,S8MT0YGD2KTN9,NA,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-5.534633392236532e-4,0.1342848721072049
Ground meat,Level change,-0.7904523747966666,-1.1166831775,-0.49272306849999997,NA,1.0023654010845513,NA,Restaurant,1SQPTEGYPH0GA,NA,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.9496258719905442,-0.6312788776027891
Ground meat,Level change,0.044426058828228365,-1.9476488267499998,1.707537480362501,NA,1.0449644760843404,NA,Restaurant,9XKJD8DQTH559,NA,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.8880194276800627,0.9768715453365194
Ground meat,Level change,0.13745007141809967,-1.19691597925,1.5784263023250005,NA,1.041824003939376,NA,Restaurant,9XKJD8DQTH559,NA,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.5705454085755228,0.8454455514117223
Ground meat,Level change,0.5875015059727033,-1.2185572681749999,2.5612484940000004,NA,1.0688635191818925,NA,Restaurant,LQ5EH4BKGV61T,NA,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.37673465784744975,1.5517376697928564
Ground meat,Slope change,-0.6269038342353334,-1.58764465,-0.041515508649999984,NA,1.0309142292442883,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.021324533559313,-0.23248313491135375
Ground meat,Slope change,-0.07145972911572,-0.67771854525,0.8308236447500005,NA,1.0135926052912332,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.45629192044225075,0.3133724622108107
Ground meat,Slope change,-0.28187730969839986,-0.8123589372499999,0.12787633475000024,NA,1.0352636639526167,NA,Restaurant,JHDN7CF1C03X5,NA,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.5217332464330937,-0.04202137296370595
Ground meat,Slope change,-0.044896270934356663,-0.9386365925,0.9330373147500004,NA,1.006331150720432,NA,Restaurant,C0BE4NDSW26QN,NA,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.5223641044164996,0.4325715625477863
Ground meat,Slope change,-0.17487454604999333,-1.1684060399999998,0.69500763025,NA,1.0055770301960094,NA,Restaurant,C0BE4NDSW26QN,NA,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.6502351762158096,0.300486084115823
Ground meat,Slope change,0.14380924253542,-0.1385706635,0.4940077815,NA,1.0723062192658461,NA,Restaurant,S8MT0YGD2KTN9,NA,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.0175628097604984,0.3051812948313384
Ground meat,Slope change,0.48315834662533336,0.16892108275,0.8128498042500001,NA,1.0028627152633556,NA,Restaurant,1SQPTEGYPH0GA,NA,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.3188908156304354,0.6474258776202313
Ground meat,Slope change,-0.33942672214337466,-1.76114964,0.9348918820000006,NA,1.0430577799049048,NA,Restaurant,9XKJD8DQTH559,NA,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.02719241653113,0.3483389722443806
Ground meat,Slope change,-0.47411807506529835,-2.0441965775,0.6679021910000001,NA,1.1053800475629514,NA,Restaurant,9XKJD8DQTH559,NA,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.1659800058050944,0.2177438556744976
Ground meat,Slope change,-0.05265486024998,-1.1840339225,1.0306772475000006,NA,1.0073815223547755,NA,Restaurant,LQ5EH4BKGV61T,NA,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.6176321995356945,0.5123224790357345
