outcome,effect_type,mean,mean_exp,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group,n_rest_in_group,rest_rank,step_size
meat,slope change,-0.23572233352106983,NA,-1.4271163556401458,1.2029723039923526,1.69787105112456,NA,Restaurant,C0BE4NDSW26QN,NA,Animal,22,5,0.5
meat,slope change,0.44468582126144574,NA,-0.9942522733438669,1.631199404215613,1.67035832443386,NA,Restaurant,C0BE4NDSW26QN,NA,Animal,22,6,0.5
meat,slope change,-1.2039728043259361,NA,-4.605170185988091,2.7669478423496954,1.20354504514699,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,22,14,0.5
meat,slope change,0.959350221334602,NA,-3.2188758248682006,3.703768066607687,1.1980896885279,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,22,15,0.5
meat,slope change,-0.7765287894989963,NA,-1.3862943611198906,0.3148107398400336,1.33219745776761,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,22,16,0.5
meat,slope change,1.308332819650179,NA,-0.11653381625595151,2.73696154459663,1.65366966465402,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,22,17,0.5
meat,slope change,-1.0788096613719298,NA,-1.3470736479666092,-0.8209805520698302,1.67355134234239,NA,Restaurant,LBZEEFSBJNB3Z,NA,Animal,22,10,0.5
meat,slope change,0.37843643572024505,NA,-0.4942963218147801,0.9282193027394288,1.17249077997012,NA,Restaurant,SAFK7ND1HR6XS,NA,Animal,22,13,0.5
meat,slope change,0.11332868530700327,NA,0.058268908123975824,0.1906203596086497,1.62569245362331,NA,Restaurant,S8MT0YGD2KTN9,NA,Animal,22,12,0.5
meat,slope change,0.5481214085096876,NA,0.44468582126144574,0.7323678937132266,1.31689104785339,NA,Restaurant,1SQPTEGYPH0GA,NA,Animal,22,1,0.5
meat,slope change,-2.2072749131897207,NA,-3.2188758248682006,-1.0788096613719298,1.6230962985016,NA,Restaurant,9XKJD8DQTH559,NA,Animal,22,3,0.5
meat,slope change,1.9919755158985601,NA,0.8754687373538999,3.0851158346886765,1.68320166087064,NA,Restaurant,9XKJD8DQTH559,NA,Animal,22,4,0.5
