outcome,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,source,color_group,n_rest_in_group,rest_rank,step_size
Chicken,Presence,1.2455917393273728,NA,1.2455917393273728,1.121582063500031,1.40614286008549,1.00213318173367,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,Animal,6,5,0.15
Chicken,Presence,1.0344121637543686,NA,1.0344121637543686,1.0140743178387932,1.056342152496756,1.00081823236432,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal,6,6,0.15
Dairy,Count,1.39,NA,1.033302702902953,1.14,1.66,1.01608545141918,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,Animal,10,1,0.15
Dairy,Count,1.04,NA,1.003716311503973,0.9,1.18,1.00084055863915,Restaurant,C0BE4NDSW26QN,finalized_redone_trunc,Animal,10,2,0.15
Dairy,Count,1.05,NA,1.0046085294426335,1.01,1.09,1.00176526838466,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,Animal,10,3,0.15
Dairy,Count,1.13,NA,1.0122403831055269,0.99,1.32,1.03184241093957,Restaurant,EMBVNVD207CC6,finalized_redone_trunc,Animal,10,4,0.15
Dairy,Count,1.05,NA,1.0045555739887049,1.01,1.08,1.0000880460273,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,Animal,10,5,0.15
Dairy,Count,1,NA,1.0002321161890084,0.93,1.08,1.01097476057465,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,Animal,10,6,0.15
Dairy,Count,1.1,NA,1.0098271539375048,0.82,1.55,1.00582261438459,Restaurant,LFZFT3VASXPED,finalized_redone_trunc,Animal,10,7,0.15
Dairy,Count,1.12,NA,1.0115694899812002,0.88,1.48,1.00566611603791,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,Animal,10,8,0.15
Dairy,Count,0.98,NA,0.9982275746672912,0.88,1.09,1.00104520752112,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,Animal,10,9,0.15
Dairy,Count,1.03,NA,1.00331330502032,1.01,1.06,1.00390860948262,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal,10,10,0.15
Dairy,Presence,1.0863044615255655,NA,1.0863044615255655,1.0513526033129272,1.1226456864312595,1.00048490257787,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,Animal,10,1,0.15
Dairy,Presence,1.107719493966233,NA,1.107719493966233,0.9232541136674268,1.3485388989725673,1.00517675955765,Restaurant,C0BE4NDSW26QN,finalized_redone_trunc,Animal,10,2,0.15
Dairy,Presence,1.0059011834537408,NA,1.0059011834537408,0.9927691996602169,1.0200841112177017,1.00060720826738,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,Animal,10,3,0.15
Dairy,Presence,1.2265997602490986,NA,1.2265997602490986,1.1212254960230472,1.3528823905285565,1.0020758557435,Restaurant,EMBVNVD207CC6,finalized_redone_trunc,Animal,10,4,0.15
Dairy,Presence,1.1490215872485214,NA,1.1490215872485214,0.9548475870408182,1.4210457797444331,1.02161704956889,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,Animal,10,5,0.15
Dairy,Presence,1.1504884649700842,NA,1.1504884649700842,0.9676833077041481,1.4298922148546689,1.02035398233169,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,Animal,10,6,0.15
Dairy,Presence,1.1303729779631868,NA,1.1303729779631868,0.9453388051113798,1.387740285423554,1.00492199159183,Restaurant,LFZFT3VASXPED,finalized_redone_trunc,Animal,10,7,0.15
Dairy,Presence,1.1129616783350107,NA,1.1129616783350107,0.9348824726202953,1.3518911424754094,1.00733732615629,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,Animal,10,8,0.15
Dairy,Presence,0.9817099799808898,NA,0.9817099799808898,0.9578363965785066,1.0067888050184637,1.00059554887124,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,Animal,10,9,0.15
Dairy,Presence,1.1440836579717153,NA,1.1440836579717153,0.9607435561536403,1.4181846755918879,1.01041356809208,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal,10,10,0.15
Egg,Count,1.07,NA,1.0067420505311646,1.01,1.16,1.00552521702983,Restaurant,78AY09MVJVTYE,finalized_redone_trunc,Animal,5,1,0.15
Egg,Count,1.03,NA,1.0032804928312435,1,1.07,1.01277388121505,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,Animal,5,2,0.15
Egg,Count,1.04,NA,1.0040866564405508,0.96,1.11,1.00158137165739,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,Animal,5,3,0.15
Egg,Count,1.07,NA,1.007008737257334,1.03,1.14,1.01002967809778,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,Animal,5,4,0.15
Egg,Count,1.06,NA,1.0055569797520991,1.03,1.09,1.00009575366493,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal,5,5,0.15
Egg,Presence,1.0087954647000097,NA,1.0087954647000097,1,1.0183993761470242,1.00237037283173,Restaurant,78AY09MVJVTYE,finalized_redone_trunc,Animal,5,1,0.15
Egg,Presence,1.009342814269184,NA,1.009342814269184,0.9938315630347766,1.025791204689333,1.00140083921507,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,Animal,5,2,0.15
