outcome,effect_type,mean,q5,q95,rhat,ess_bulk,estimate_type,restaurant_id
nonvegan,Level Change,-0.05129329438755058,-0.18632957819149348,0.0769610411361284,1.0255825469513373,NA,Restaurant,SRQS8F7JWA9MZ
nonvegan,Slope Change,-0.5447271754416722,-1.5141277326297755,0.08617769624105241,1.0559051445095113,NA,Restaurant,SRQS8F7JWA9MZ
nonvegan,Slope Change,-0.11653381625595151,-0.916290731874155,0.7884573603642703,1.0622510205775435,NA,Restaurant,SRQS8F7JWA9MZ
nonvegan,Level Change,-0.5621189181535413,-0.8209805520698302,-0.3285040669720361,1.0100048590213602,NA,Restaurant,2HRX9P6HKXA8V
nonvegan,Slope Change,-0.23572233352106983,-0.6733445532637656,0.2468600779315258,1.0294411352208737,NA,Restaurant,2HRX9P6HKXA8V
nonvegan,Level Change,0.009950330853168092,-0.21072103131565253,0.2468600779315258,1.2606968109231458,NA,Restaurant,JHDN7CF1C03X5
nonvegan,Level Change,-0.21072103131565253,-0.37106368139083207,-0.06187540371808753,1.013415089297529,NA,Restaurant,JHDN7CF1C03X5
nonvegan,Slope Change,0.04879016416943205,-0.616186139423817,0.62057648772511,1.1088801355127316,NA,Restaurant,JHDN7CF1C03X5
nonvegan,Slope Change,0.34358970439007686,-0.18632957819149348,0.9631743177730056,1.0692726850339862,NA,Restaurant,JHDN7CF1C03X5
nonvegan,Level Change,0.2151113796169455,0,0.4574248470388755,1.0441281601577879,NA,Restaurant,L69HYJ4Y3TR91
nonvegan,Slope Change,0.6471032420585384,-0.11653381625595151,1.724550719534605,1.0422421847176713,NA,Restaurant,L69HYJ4Y3TR91
nonvegan,Level Change,0,-0.2484613592984996,0.26236426446749106,1.1399856979790872,NA,Restaurant,ED5J990H5VAZT
nonvegan,Slope Change,0.23111172096338664,-0.08338160893905101,0.5709795465857378,1.0033433769237587,NA,Restaurant,ED5J990H5VAZT
total,Level Change,-0.05129329438755058,-0.3285040669720361,0.22314355131420976,1.0008010762518762,NA,Restaurant,VLZX7K2M9QD4T
total,Slope Change,0.01980262729617973,-1.2039728043259361,1.2325602611778486,1.0071433587201088,NA,Restaurant,VLZX7K2M9QD4T
total,Level Change,-0.05129329438755058,-0.1743533871447778,0.0769610411361284,1.0004103783251075,NA,Restaurant,SRQS8F7JWA9MZ
total,Level Change,-0.05129329438755058,-0.16251892949777494,0.0769610411361284,1.000625333018303,NA,Restaurant,SRQS8F7JWA9MZ
total,Slope Change,-0.5621189181535413,-1.4696759700589417,-0.01005033585350145,1.001894525382416,NA,Restaurant,SRQS8F7JWA9MZ
total,Slope Change,-0.08338160893905101,-0.6539264674066639,0.8241754429663494,1.0023105020727794,NA,Restaurant,SRQS8F7JWA9MZ
total,Level Change,-0.5621189181535413,-0.7985076962177716,-0.31471074483970024,1.0020477583756302,NA,Restaurant,2HRX9P6HKXA8V
total,Slope Change,-0.2613647641344075,-0.7550225842780328,0.23111172096338664,1.0063118882488071,NA,Restaurant,2HRX9P6HKXA8V
total,Level Change,-0.09431067947124129,-0.2744368457017603,0.10436001532424286,1.0090485941087417,NA,Restaurant,JHDN7CF1C03X5
total,Level Change,-0.19845093872383832,-0.35667494393873245,-0.05129329438755058,1.0008069583472816,NA,Restaurant,JHDN7CF1C03X5
total,Slope Change,-0.12783337150988489,-0.843970070294529,0.3920420877760237,1.0048040294455194,NA,Restaurant,JHDN7CF1C03X5
total,Slope Change,0.28517894223366247,-0.19845093872383832,0.9707789171582248,1.0087626452139482,NA,Restaurant,JHDN7CF1C03X5
total,Level Change,0.23111172096338664,-0.020202707317519466,0.47000362924573563,1.0010849314020902,NA,Restaurant,L69HYJ4Y3TR91
total,Slope Change,1.095273387402595,0.02955880224154443,2.3841650799864684,1.0026649655641573,NA,Restaurant,L69HYJ4Y3TR91
