fit_dir,total_dir,analysis,outcome,gamma_index,level,restaurant,type_fine,model_col,total_source,mean,median,q2.5,q16,q84,q97.5
model_fits/finalized_redone_trunc_cp/a5_customer_day/meat,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,meat,NA,restaurant,SRQS8F7JWA9MZ,gender_female,exposure_SRQS8F7JWA9MZ_2_genderfemale,matched_restaurant,-0.0595114109679333,-0.04863405,-0.3133548825,-0.175855608,0.0495393488,0.1575177125
model_fits/finalized_redone_trunc_cp/a5_customer_day/meat,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,meat,NA,restaurant,2HRX9P6HKXA8V,gender_male,exposure_2HRX9P6HKXA8V_1_gendermale,matched_restaurant,-0.0304826770414667,-0.03118214,-0.275646435,-0.1547898584,0.097824716,0.2133797725
model_fits/finalized_redone_trunc_cp/a5_customer_day/meat,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,meat,NA,restaurant,2HRX9P6HKXA8V,gender_female,exposure_2HRX9P6HKXA8V_1_genderfemale,matched_restaurant,0.0598427850101333,0.05883515,-0.217912148,-0.09021312,0.216045804,0.33786049575
model_fits/finalized_redone_trunc_cp/a5_customer_day/meat,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,meat,NA,restaurant,L69HYJ4Y3TR91,gender_male,exposure_L69HYJ4Y3TR91_1_gendermale,matched_restaurant,-0.248508377657179,-0.2473303,-0.4742299575,-0.3606804752,-0.134170364,-0.0316851674999999
model_fits/finalized_redone_trunc_cp/a5_customer_day/meat,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,meat,NA,restaurant,L69HYJ4Y3TR91,gender_female,exposure_L69HYJ4Y3TR91_1_genderfemale,matched_restaurant,-0.0210770252734667,-0.021393105,-0.2202823875,-0.11911938,0.077779288,0.1749143725
model_fits/finalized_redone_trunc_cp/a5_customer_day/meat,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,meat,NA,restaurant,ED5J990H5VAZT,gender_male,exposure_ED5J990H5VAZT_1_gendermale,matched_restaurant,-0.1394098451893,-0.139395155,-0.20167647325,-0.1718256456,-0.106429584,-0.074814075
model_fits/finalized_redone_trunc_cp/a5_customer_day/meat,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,meat,NA,restaurant,ED5J990H5VAZT,gender_female,exposure_ED5J990H5VAZT_1_genderfemale,matched_restaurant,-0.0895408181821667,-0.0898308,-0.1507825075,-0.120657204,-0.0585365532,-0.0257041699
model_fits/finalized_redone_trunc_cp/a5_customer_day/meat,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,meat,1,pooled,NA,level,NA,mu_gamma_total,0.0100245427367967,0.017890775,-0.2610397325,-0.07760874,0.1024804848,0.22186940175
model_fits/finalized_redone_trunc_cp/a5_customer_day/meat,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,meat,2,pooled,NA,slope,NA,mu_gamma_total,0.129379685370633,0.11765615,-0.247034669,-0.0567031,0.310821092,0.6011882
model_fits/finalized_redone_trunc_cp/a5_customer_day/meat,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,meat,3,pooled,NA,gender_male,NA,mu_gamma_total,-0.0860689038801,-0.09674525,-0.49241265,-0.255345008,0.0888507279999999,0.4073916075
