outcome,effect_type,mean,mean_exp,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,source,pred_path,color_group,n_rest_in_group,rest_rank,step_size
dairy,slope change,-0.2484613592984996,NA,-1.5141277326297755,1.0681530811834012,1.01397152095318,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal,8,6,0.5
dairy,slope change,-0.7133498878774648,NA,-2.995732273553991,0.3293037471426003,1.02154191925705,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal,8,7,0.5
dairy,slope change,-0.11653381625595151,NA,-1.3093333199837622,1.4539530095937054,1.02623989909192,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal,8,8,0.5
dairy,slope change,0.20701416938432612,NA,-0.527632742082372,1.0784095813505903,1.0189459852813,NA,Restaurant,EMBVNVD207CC6,finalized_redone_trunc,NA,Animal,8,3,0.5
dairy,slope change,-0.5978370007556204,NA,-1.7719568419318752,0.5596157879354227,1.02254541942018,NA,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,NA,Animal,8,1,0.5
dairy,slope change,-0.616186139423817,NA,-1.7719568419318752,0.5481214085096876,1.01264769142606,NA,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,NA,Animal,8,2,0.5
textured,level change,0.19885085874516517,NA,0.131028262406404,0.27763173659827955,1.00001800538633,NA,Restaurant,VLZX7K2M9QD4T,finalized_redone_trunc_cp,NA,Animal,2,2,0.5
textured,level change,0.08617769624105241,NA,-0.2613647641344075,0.37843643572024505,1.00123890914974,NA,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc_cp,NA,Animal,2,1,0.5
textured,slope change,-0.37106368139083207,NA,-1.1394342831883648,0.37843643572024505,1.00076316194419,NA,Restaurant,VLZX7K2M9QD4T,finalized_redone_trunc_cp,NA,Animal,2,2,0.5
textured,slope change,-0.4462871026284195,NA,-1.9661128563728327,0.9555114450274363,1.00133120398393,NA,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc_cp,NA,Animal,2,1,0.5
untextured,level change,0.09531017980432493,NA,-0.040821994520255166,0.23111172096338664,1.0227296744168899,NA,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc_cp,NA,Animal,10,9,0.5
untextured,level change,0,NA,-0.12783337150988489,0.12221763272424911,1.00171206207193,NA,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc_cp,NA,Animal,10,10,0.5
untextured,level change,4.915884957550445,NA,4.106437809909484,5.817319471598163,1.00407718666784,NA,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc_cp,NA,Animal,10,6,0.5
untextured,level change,0.26236426446749106,NA,-0.6348782724359695,1.1939224684724346,1.00421202677064,NA,Restaurant,C0BE4NDSW26QN,finalized_redone_trunc_cp,NA,Animal,10,4,0.5
untextured,level change,0.13976194237515863,NA,-0.8209805520698302,0.9122827104766164,1.00381623061879,NA,Restaurant,C0BE4NDSW26QN,finalized_redone_trunc_cp,NA,Animal,10,5,0.5
untextured,level change,0.0769610411361284,NA,-0.05129329438755058,0.20701416938432612,1.01681633606438,NA,Restaurant,S8MT0YGD2KTN9,finalized_redone_trunc_cp,NA,Animal,10,8,0.5
untextured,level change,-0.7985076962177716,NA,-1.1086626245216111,-0.4942963218147801,1.00236540108455,NA,Restaurant,1SQPTEGYPH0GA,finalized_redone_trunc_cp,NA,Animal,10,1,0.5
untextured,level change,0.3074846997479607,NA,-1.4271163556401458,1.827769906751088,1.04496447608434,NA,Restaurant,9XKJD8DQTH559,finalized_redone_trunc_cp,NA,Animal,10,2,0.5
untextured,level change,0.35065687161316933,NA,-0.916290731874155,1.7316555451583497,1.04182400393938,NA,Restaurant,9XKJD8DQTH559,finalized_redone_trunc_cp,NA,Animal,10,3,0.5
untextured,level change,0.5007752879124892,NA,-1.171182981502945,2.494031557565001,1.06886351918189,NA,Restaurant,LQ5EH4BKGV61T,finalized_redone_trunc_cp,NA,Animal,10,7,0.5
untextured,slope change,-0.6539264674066639,NA,-1.6607312068216509,-0.06187540371808753,1.03091422924429,NA,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc_cp,NA,Animal,10,9,0.5
untextured,slope change,-0.10536051565782628,NA,-0.7133498878774648,0.8372475245337022,1.01359260529123,NA,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc_cp,NA,Animal,10,10,0.5
untextured,slope change,-0.2744368457017603,NA,-0.7550225842780328,0.13976194237515863,1.03526366395262,NA,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc_cp,NA,Animal,10,6,0.5
untextured,slope change,-0.020202707317519466,NA,-0.8915981192837836,1.000631880307906,1.00633115072043,NA,Restaurant,C0BE4NDSW26QN,finalized_redone_trunc_cp,NA,Animal,10,4,0.5
untextured,slope change,-0.18632957819149348,NA,-1.2378743560016174,0.6981347220709843,1.00557703019601,NA,Restaurant,C0BE4NDSW26QN,finalized_redone_trunc_cp,NA,Animal,10,5,0.5
untextured,slope change,0.1906203596086497,NA,-0.11653381625595151,0.5247285289349821,1.07230621926585,NA,Restaurant,S8MT0YGD2KTN9,finalized_redone_trunc_cp,NA,Animal,10,8,0.5
untextured,slope change,0.4762341789963717,NA,0.1823215567939546,0.7929925155296614,1.00286271526336,NA,Restaurant,1SQPTEGYPH0GA,finalized_redone_trunc_cp,NA,Animal,10,1,0.5
untextured,slope change,-0.3285040669720361,NA,-1.8325814637483102,0.9439058989071284,1.0430577799049,NA,Restaurant,9XKJD8DQTH559,finalized_redone_trunc_cp,NA,Animal,10,2,0.5
untextured,slope change,-0.4155154439616658,NA,-1.9661128563728327,0.7975071958841882,1.10538004756295,NA,Restaurant,9XKJD8DQTH559,finalized_redone_trunc_cp,NA,Animal,10,3,0.5
untextured,slope change,-0.030459207484708574,NA,-1.2039728043259361,1.0402767116551463,1.00738152235478,NA,Restaurant,LQ5EH4BKGV61T,finalized_redone_trunc_cp,NA,Animal,10,7,0.5
