outcome,exposure_group,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,pred_path,color_group,step_size
total,vegetarian,Count,0.009950330853168092,NA,1.0007304878019532,-0.06187540371808753,0.0769610411361284,1.00858424979854,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_count/plots/2HRX9P6HKXA8V.png,Total,0.05714285714285715
total,vegetarian,Count,0.10436001532424286,NA,1.0104397066264503,0.08617769624105241,0.131028262406404,1.00044271490254,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_count/plots/ED5J990H5VAZT.png,Total,0.05714285714285715
total,vegetarian,Count,0,NA,1.0003413305263023,-0.01005033585350145,0.01980262729617973,1.0007436301694,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_count/plots/JHDN7CF1C03X5.png,Total,0.05714285714285715
total,vegetarian,Count,0.06765864847381486,NA,1.006617403247401,0.02955880224154443,0.10436001532424286,1.00794047108607,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_count/plots/L69HYJ4Y3TR91.png,Total,0.05714285714285715
total,vegetarian,Count,0.058268908123975824,NA,1.00604253831909,0.03922071315328133,0.08617769624105241,1.0031119224842,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_count/plots/SRQS8F7JWA9MZ.png,Total,0.05714285714285715
total,vegetarian,Count,0.01980262729617973,NA,1.0018575892713752,0.009950330853168092,0.02955880224154443,1.00060944923047,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_count/plots/W8T41JZK0ZMEP.png,Total,0.05714285714285715
total,vegetarian,Proportion,0.43178241642553783,NA,1.0438579622399218,-1.3470736479666092,1.6808279085207734,1.0064553162769,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_prop/plots/2HRX9P6HKXA8V.png,Total,0.05714285714285715
total,vegetarian,Proportion,1.4398351280479205,NA,1.1548069543228003,0.5653138090500605,2.4706386779902956,1.01193458523088,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_prop/plots/ED5J990H5VAZT.png,Total,0.05714285714285715
total,vegetarian,Proportion,0.37843643572024505,NA,1.0383742150913897,-0.6348782724359695,1.2267122912954254,1.01454089613666,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_prop/plots/JHDN7CF1C03X5.png,Total,0.05714285714285715
total,vegetarian,Proportion,1.766441661243765,NA,1.1932306264245447,0.5068176023684519,3.7157647828953184,1.02293123712029,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_prop/plots/L69HYJ4Y3TR91.png,Total,0.05714285714285715
total,vegetarian,Proportion,0.9516578757114463,NA,1.1000143788217194,0.5423242908253617,1.3812818192963463,1.00048367458432,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_prop/plots/SRQS8F7JWA9MZ.png,Total,0.05714285714285715
total,vegetarian,Proportion,1.5769147207285403,NA,1.1706965757733718,0.6575200029167941,2.758109400974947,1.00972816111389,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_prop/plots/W8T41JZK0ZMEP.png,Total,0.05714285714285715
nonvegan,mpbamod,Count,-0.09431067947124129,NA,0.9906412461174102,-0.2613647641344075,0.058268908123975824,1.00145994979798,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count/plots/2HRX9P6HKXA8V.png,Animal,0.05714285714285715
