outcome,effect_type,mean,q2.5,q16,q84,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
nonvegan,NA,-0.0194639646773,-0.248255775,NA,NA,0.2004423375,NA,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.1339277688864837,0.09499983953188368
nonvegan,NA,0.0148065386400167,-0.049596122,NA,NA,0.08046390325,NA,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.01837203922988126,0.04798511650991466
nonvegan,NA,0.0026059734427,-0.059668852625,NA,NA,0.06769955625,NA,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.02988596759684082,0.03509791448224082
meat,NA,0.0379013341143133,-0.1720127325,NA,NA,0.26969571,NA,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.07477939101323772,0.1505820592418643
meat,NA,-0.0200392612682,-0.2343280025,NA,NA,0.1922594925,NA,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.1288626018294245,0.08878407929302448
meat,NA,0.0466744253942667,-0.1722840825,NA,NA,0.2888229625,NA,NA,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/2HRX9P6HKXA8V.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.070954922820019,0.16430377360855242
meat,NA,-0.02097643372326,-0.29676615,NA,NA,0.18657416,NA,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.14427753321305592,0.10232466576653593
meat,NA,0.0243634932567967,-0.064598835,NA,NA,0.1130206625,NA,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.020947603044223714,0.06967458955781711
meat,NA,-0.0906564358023333,-1.232861475,NA,NA,0.9865005625,NA,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.6568202208788638,0.47550734927419724
meat,NA,0.145966129950767,-0.9097963175,NA,NA,1.334350525,NA,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.4265203094624984,0.7184525693640323
meat,NA,0.0343876994993367,-0.206082945,NA,NA,0.2751558975,NA,NA,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/2HRX9P6HKXA8V.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.08837731134250004,0.15715271034117345
meat,NA,0.192625192751067,-0.403839155,NA,NA,0.915607527500001,NA,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.14396834870301495,0.5292187342051489
meat,NA,0.155630916002207,-0.0313396,NA,NA,0.3398462355,NA,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.06094065184404372,0.25032118016037025
meat,NA,-0.076484293944,-0.3302775775,NA,NA,0.1793288125,NA,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.2064859240460408,0.0535173361580408
meat,NA,0.09887598630291,-0.1052578775,NA,NA,0.3486771525,NA,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.0169237662481104,0.2146757388539304
meat,NA,0.0566575402002667,-0.209548215,NA,NA,0.3164595905,NA,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.07752812446810067,0.19084320486863407
meat,NA,-0.0595114109679333,-0.3133548825,NA,NA,0.1575177125,NA,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.17963197091691288,0.060609148981046294
meat,NA,-0.0304826770414667,-0.275646435,NA,NA,0.2133797725,NA,NA,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/2HRX9P6HKXA8V.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.15523426058738507,0.09426890650445167
meat,NA,0.0598427850101333,-0.217912148,NA,NA,0.33786049575,NA,NA,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/2HRX9P6HKXA8V.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.08193595064037693,0.2016215206606435
meat,NA,-0.248508377657179,-0.4742299575,NA,NA,-0.0316851674999999,NA,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.3614024567388117,-0.1356142985755463
meat,NA,-0.0210770252734667,-0.2202823875,NA,NA,0.1749143725,NA,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.12189252527346672,0.07973847472653331
meat,NA,-0.1394098451893,-0.20167647325,NA,NA,-0.074814075,NA,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.17177270188572857,-0.10704698849287142
meat,NA,-0.0895408181821667,-0.1507825075,NA,NA,-0.0257041699,NA,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.12144855736584018,-0.05763307899849324
chicken_fish,NA,0.00507426824156667,-0.153567252825,NA,NA,0.159042311275,NA,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.07467306953904555,0.0848216060221789
chicken_fish,NA,0.0166725182851685,-0.147572718713425,NA,NA,0.16970550170275,NA,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.06426580324957003,0.09761083981990702
chicken_fish,NA,0.198499944196267,-0.0360892575,NA,NA,0.464350925,NA,NA,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/2HRX9P6HKXA8V.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.0708366323340221,0.3261632560585119
chicken_fish,NA,0.212440793425217,-0.093004225,NA,NA,0.445952835,NA,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.07495174750684963,0.34992983934358435
