outcome,effect_type,mean,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,color_group
vegan,Slope Change,-0.08338160893905101,-0.2231435513142097,0.06765864847381486,0.9998395201151049,NA,Restaurant,VLZX7K2M9QD4T,Plant-based
vegan,Level Change,0.5007752879124892,0.28517894223366247,0.7227059828014898,1.0022463695406232,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegan,Level Change,0.0769610411361284,-0.12783337150988489,0.3148107398400336,1.0009117223426287,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegan,Slope Change,-0.40047756659712525,-1.7147984280919266,0.4762341789963717,1.0028749653505051,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegan,Slope Change,0.058268908123975824,-0.8209805520698302,1.358409157630355,1.0026830891531286,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegan,Level Change,-0.040821994520255166,-0.1743533871447778,0.08617769624105241,0.9994275295759402,NA,Restaurant,2HRX9P6HKXA8V,Plant-based
vegan,Slope Change,0,-0.030459207484708574,0.02955880224154443,1.0006719712914522,NA,Restaurant,2HRX9P6HKXA8V,Plant-based
vegan,Level Change,-0.3856624808119846,-0.4620354595965587,-0.3011050927839216,0.99967017273633485,NA,Restaurant,JHDN7CF1C03X5,Plant-based
vegan,Slope Change,-0.05129329438755058,-0.07257069283483537,-0.020202707317519466,1.0001954674320666,NA,Restaurant,JHDN7CF1C03X5,Plant-based
vegan,Level Change,0.1570037488096647,0,0.30010459245033816,0.999366205674478,NA,Restaurant,L69HYJ4Y3TR91,Plant-based
vegan,Slope Change,1.814824742159051,1.3937663759585917,2.2082744135228043,0.9995475660621881,NA,Restaurant,L69HYJ4Y3TR91,Plant-based
vegan,Level Change,0.9932517730102834,0.8329091229351039,1.1631508098056809,0.9994874478325011,NA,Restaurant,ED5J990H5VAZT,Plant-based
vegan,Slope Change,0.2700271372130602,0.09531017980432493,0.45107561936021673,0.9998321601176413,NA,Restaurant,ED5J990H5VAZT,Plant-based
