outcome,effect_type,mean,mean_exp,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group,step_size
vegetarian,Level Change,1.14,NA,1.03,1.27,1.0014710377254,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a3_its/vegetarian/plots/SRQS8F7JWA9MZ.png,Plant-based,0.05
vegetarian,Level Change,0.87,NA,0.73,1.07,1.00739092510768,NA,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a3_its/vegetarian/plots/2HRX9P6HKXA8V.png,Plant-based,0.05
vegetarian,Level Change,1.11,NA,1.01,1.2,1.00366875466987,NA,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc_cp/a3_its/vegetarian/plots/JHDN7CF1C03X5.png,Plant-based,0.05
vegetarian,Level Change,1.32,NA,1.06,1.71,1.00660212143176,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a3_its/vegetarian/plots/L69HYJ4Y3TR91.png,Plant-based,0.05
vegetarian,Level Change,1.11,NA,1,1.24,1.00140001330909,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a3_its/vegetarian/plots/ED5J990H5VAZT.png,Plant-based,0.05
vegetarian,Slope Change,1.52,NA,0.96,2.75,1.00735009491093,NA,Restaurant,VLZX7K2M9QD4T,../../model_fits/finalized_redone_trunc_cp/a3_its/vegetarian/plots/VLZX7K2M9QD4T.png,Plant-based,0.05
vegetarian,Slope Change,0.54,NA,0.23,1.07,1.00157577463286,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a3_its/vegetarian/plots/SRQS8F7JWA9MZ.png,Plant-based,0.05
vegetarian,Slope Change,1.01,NA,0.5,2.36,1.00336043910131,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a3_its/vegetarian/plots/SRQS8F7JWA9MZ.png,Plant-based,0.05
vegetarian,Slope Change,1.56,NA,1.07,2.86,1.00611207329819,NA,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a3_its/vegetarian/plots/2HRX9P6HKXA8V.png,Plant-based,0.05
vegetarian,Slope Change,1.51,NA,1.26,1.82,1.00566941679393,NA,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc_cp/a3_its/vegetarian/plots/JHDN7CF1C03X5.png,Plant-based,0.05
vegetarian,Slope Change,1.82,NA,1.1,5.16,1.00306127468147,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a3_its/vegetarian/plots/L69HYJ4Y3TR91.png,Plant-based,0.05
vegetarian,Slope Change,1.37,NA,1.13,1.64,1.0024688889752,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a3_its/vegetarian/plots/ED5J990H5VAZT.png,Plant-based,0.05
vegan,Level Change,1.16,NA,1.07,1.25,1.02384872661219,NA,Restaurant,VLZX7K2M9QD4T,../../model_fits/finalized_redone_trunc_cp/a3_its/vegan/plots/VLZX7K2M9QD4T.png,Plant-based,0.05
vegan,Level Change,1.11,NA,1,1.24,1.03783814691113,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a3_its/vegan/plots/SRQS8F7JWA9MZ.png,Plant-based,0.05
vegan,Level Change,1.17,NA,1.07,1.31,1.02504264770117,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a3_its/vegan/plots/SRQS8F7JWA9MZ.png,Plant-based,0.05
vegan,Level Change,1.03,NA,0.9,1.14,1.25545174619698,NA,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a3_its/vegan/plots/2HRX9P6HKXA8V.png,Plant-based,0.05
vegan,Level Change,1.06,NA,0.98,1.14,1.07888797985878,NA,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc_cp/a3_its/vegan/plots/JHDN7CF1C03X5.png,Plant-based,0.05
vegan,Level Change,1.15,NA,0.99,1.45,1.06277456372204,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a3_its/vegan/plots/L69HYJ4Y3TR91.png,Plant-based,0.05
vegan,Level Change,1.19,NA,1.05,1.52,1.14096959748108,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a3_its/vegan/plots/ED5J990H5VAZT.png,Plant-based,0.05
vegan,Slope Change,0.79,NA,0.36,1.37,1.13133825122152,NA,Restaurant,VLZX7K2M9QD4T,../../model_fits/finalized_redone_trunc_cp/a3_its/vegan/plots/VLZX7K2M9QD4T.png,Plant-based,0.05
vegan,Slope Change,0.59,NA,0.24,1.16,1.02955697953501,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a3_its/vegan/plots/SRQS8F7JWA9MZ.png,Plant-based,0.05
vegan,Slope Change,2.03,NA,0.98,5.14,1.03625785866938,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a3_its/vegan/plots/SRQS8F7JWA9MZ.png,Plant-based,0.05
vegan,Slope Change,1.26,NA,1.04,1.54,1.13272139155999,NA,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a3_its/vegan/plots/2HRX9P6HKXA8V.png,Plant-based,0.05
vegan,Slope Change,1.09,NA,0.95,1.25,1.03119617499719,NA,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc_cp/a3_its/vegan/plots/JHDN7CF1C03X5.png,Plant-based,0.05
vegan,Slope Change,2.4,NA,0.97,10.35,1.21539671855214,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a3_its/vegan/plots/L69HYJ4Y3TR91.png,Plant-based,0.05
vegan,Slope Change,1.35,NA,1.04,1.84,1.03612606721086,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a3_its/vegan/plots/ED5J990H5VAZT.png,Plant-based,0.05
