outcome,effect_type,mean,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group
nonvegan,NA,0.0278643558794411,-0.2180828911,0.263431536725,1.06228138930484,35.3270196028238,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/L69HYJ4Y3TR91.png,Animal
nonvegan,NA,-0.0211967278128353,-0.212462056325,0.154014551125,1.13755818202282,502.514769162427,Restaurant,LBZEEFSBJNB3Z,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/LBZEEFSBJNB3Z.png,Animal
nonvegan,NA,-0.0392455656159335,-0.351134103,0.209842864775,1.07675712162863,219.145770621397,Restaurant,LBZEEFSBJNB3Z,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/LBZEEFSBJNB3Z.png,Animal
nonvegan,NA,-0.03441507020088,-0.2331353675,0.190066235675,1.08690917765503,25.4390028889529,Restaurant,LBZEEFSBJNB3Z,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/LBZEEFSBJNB3Z.png,Animal
nonvegan,NA,-5.9884095280766e-4,-0.1849129644,0.19265742,1.17016756323387,12.705203885382,Restaurant,LBZEEFSBJNB3Z,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/LBZEEFSBJNB3Z.png,Animal
nonvegan,NA,-0.0408995235386353,-0.33846949875,0.27879366645,1.182899458522,11.5453451585826,Restaurant,LQ5EH4BKGV61T,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/LQ5EH4BKGV61T.png,Animal
nonvegan,NA,-0.010812414550509,-0.348954843,0.3072096525,1.14098677692559,801.037537660283,Restaurant,LQ5EH4BKGV61T,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/LQ5EH4BKGV61T.png,Animal
nonvegan,NA,0.0208525115160607,-0.396662169075,0.4609888848,1.04183541338314,66.8471132672816,Restaurant,LQ5EH4BKGV61T,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/LQ5EH4BKGV61T.png,Animal
nonvegan,NA,0.094005625588023,-0.556824639075,0.743477631,1.1791767805985,11.9309556911789,Restaurant,LQ5EH4BKGV61T,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/LQ5EH4BKGV61T.png,Animal
nonvegan,NA,-0.00395791607729667,-0.248688388,0.24755029225,1.04765514978692,70.6648884224883,Restaurant,S8MT0YGD2KTN9,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/S8MT0YGD2KTN9.png,Animal
nonvegan,NA,0.0430543882809785,-0.10335497874,0.205505332875,1.04200264770536,198.998113258496,Restaurant,S8MT0YGD2KTN9,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/S8MT0YGD2KTN9.png,Animal
nonvegan,NA,0.032581857482884,-0.1832652871,0.27006810475,1.03558031081072,118.636391828378,Restaurant,S8MT0YGD2KTN9,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/S8MT0YGD2KTN9.png,Animal
nonvegan,NA,0.01246426859932,-0.28785900175,0.284472857875,1.1848201485256,614.746560482486,Restaurant,S8MT0YGD2KTN9,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/S8MT0YGD2KTN9.png,Animal
nonvegan,NA,-0.00801002724989027,-0.17949681765,0.1817324195,1.08737064463492,25.0180872038634,Restaurant,SAFK7ND1HR6XS,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/SAFK7ND1HR6XS.png,Animal
nonvegan,NA,-0.014127950574502,-0.336749965025,0.29935001575,1.02935620517766,182.180708527646,Restaurant,SAFK7ND1HR6XS,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/SAFK7ND1HR6XS.png,Animal
nonvegan,NA,0.0727377917464233,-0.167665525775,0.2937553795,1.07335081081729,31.137997264144,Restaurant,SAFK7ND1HR6XS,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/SAFK7ND1HR6XS.png,Animal
nonvegan,NA,-0.0117707217271373,-0.2973591935,0.249532811175,1.11762519799896,18.3695584558115,Restaurant,SAFK7ND1HR6XS,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/SAFK7ND1HR6XS.png,Animal
nonvegan,NA,0.0221082982175816,-0.11947480175,0.1614941108,1.06855765480995,447.222194202176,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/SRQS8F7JWA9MZ.png,Animal
nonvegan,NA,-0.0119129791033427,-0.172845213,0.134867170625,1.20639172807955,10.55561467043,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/SRQS8F7JWA9MZ.png,Animal
nonvegan,NA,0.0044605409506919,-0.26169314975,0.283677877,1.06139954752775,39.1849773271388,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/SRQS8F7JWA9MZ.png,Animal
nonvegan,NA,0.00598469553267,-0.272105096775,0.273408008275,1.03244322466563,343.298025556208,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/SRQS8F7JWA9MZ.png,Animal
nonvegan,NA,-0.0372579938103783,-0.24605786685,0.17740679125,1.0400411051901,77.8527897722924,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/SRQS8F7JWA9MZ.png,Animal
nonvegan,NA,0.0720865216753723,-0.13936296625,0.302181051375,1.07611425039129,716.651952224132,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/SRQS8F7JWA9MZ.png,Animal
nonvegan,NA,0.0985927454109793,-0.11331101325,0.310816816825,1.20109065883216,759.961204221929,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/SRQS8F7JWA9MZ.png,Animal
nonvegan,NA,-0.0682045564458659,-0.311531944,0.146969413475,1.16439809733875,936.166544244851,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/SRQS8F7JWA9MZ.png,Animal
nonvegan,NA,-0.0663714338351767,-0.2602195125,0.110956817875,1.24979953918846,713.934296258215,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/V3Q26BHF3SE2H.png,Animal
nonvegan,NA,-0.0658068439871167,-0.257814961125,0.108832253875,1.03248172479633,336.643620847018,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/V3Q26BHF3SE2H.png,Animal
nonvegan,NA,0.0689871183218813,-0.101202855875,0.25571725525,1.21214979542487,532.866255177718,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/V3Q26BHF3SE2H.png,Animal
nonvegan,NA,0.00216985008229,-0.1708310555,0.176828869625,1.06693239576752,34.3998619763363,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/V3Q26BHF3SE2H.png,Animal
nonvegan,NA,0.0254486689611517,-0.31173611575,0.3370674614,1.03519153716622,111.636941583124,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/V3Q26BHF3SE2H.png,Animal
nonvegan,NA,0.018312645950378,-0.290185308,0.361999524,1.0695362115216,31.7449938596746,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/V3Q26BHF3SE2H.png,Animal
nonvegan,NA,-0.0322268230137247,-0.4355021215,0.295464500175,1.03059569527791,163.906119434198,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/V3Q26BHF3SE2H.png,Animal
nonvegan,NA,0.0371541503131897,-0.29124264425,0.3988206208275,1.0733324618204,35.3560582506076,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/V3Q26BHF3SE2H.png,Animal
nonvegan,NA,0.0395610266063158,-0.270818907225,0.34736560825,1.23797783916812,929.741149255128,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/V3Q26BHF3SE2H.png,Animal
nonvegan,NA,0.0378618664532633,-0.37797293625,0.483166740825,1.03289278118579,214.894185515733,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/V3Q26BHF3SE2H.png,Animal
nonvegan,NA,0.001404725102336,-0.282142381975,0.285707435125,1.06017429996451,42.9531498259489,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/V3Q26BHF3SE2H.png,Animal
nonvegan,NA,-0.0650996997362716,-0.435151677575,0.268964059075,1.07821426970204,30.005268436831,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/V3Q26BHF3SE2H.png,Animal
nonvegan,NA,-0.0601892595574458,-0.28235644725,0.165643839425,1.11699702430752,17.5989187035724,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/V3Q26BHF3SE2H.png,Animal
nonvegan,NA,0.025183032471869,-0.2404703624,0.273717096,1.12223550533853,17.3891929684626,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/V3Q26BHF3SE2H.png,Animal
nonvegan,NA,-0.0123697781544607,-0.250262102565,0.221171193953,1.20448511155716,1421.38342849621,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/V3Q26BHF3SE2H.png,Animal
nonvegan,NA,-0.0503495516273303,-0.3521485856,0.26248654025,1.14567946447684,14.7930829394825,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/V3Q26BHF3SE2H.png,Animal
nonvegan,NA,0.037739817219433,-0.144019083425,0.2301083275,1.0985137028264,22.0986021046436,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/W8T41JZK0ZMEP.png,Animal
nonvegan,NA,-0.187134962811143,-0.3908034475,-0.0142150441,1.18470574700486,563.947258379645,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/W8T41JZK0ZMEP.png,Animal
nonvegan,NA,0.0786628252609067,-0.11800335905,0.2853060525,1.20297652376773,10.6722157898972,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/W8T41JZK0ZMEP.png,Animal
nonvegan,NA,-0.0414127944569519,-0.19923564025,0.129370442,1.03531544430684,96.9030903650341,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/W8T41JZK0ZMEP.png,Animal
nonvegan,NA,-0.0668672708695657,-0.264853990575,0.13476885915,1.08367818237863,29.9236795119423,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/W8T41JZK0ZMEP.png,Animal
nonvegan,NA,-0.00604908976780567,-0.38694242175,0.3243627105,1.17812669838491,12.6028798807728,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/W8T41JZK0ZMEP.png,Animal
nonvegan,NA,-0.0548468473176927,-0.41584490025,0.285616535425,1.15754781454381,13.2657617520448,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/W8T41JZK0ZMEP.png,Animal
nonvegan,NA,0.0253926325269317,-0.3155110905,0.39281694696725,1.1569617062192,13.6673324078337,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/W8T41JZK0ZMEP.png,Animal
nonvegan,NA,0.0127232595225317,-0.299480968,0.39874228675,1.03572679201842,87.3168887823828,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/W8T41JZK0ZMEP.png,Animal
nonvegan,NA,-0.0516730665221835,-0.4142526045,0.3022168286,1.11691541517612,18.6453944543504,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/W8T41JZK0ZMEP.png,Animal
nonvegan,NA,0.16004761111968,-0.1988898885,0.640667199675,1.16163978097752,12.801668092933,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/W8T41JZK0ZMEP.png,Animal
nonvegan,NA,0.0554717101439783,-0.30357851775,0.403332227,1.09735927055052,20.652723346652,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/W8T41JZK0ZMEP.png,Animal
nonvegan,NA,0.157827725937791,-0.1340842655,0.44056126245,1.16453085706436,468.081856070397,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/W8T41JZK0ZMEP.png,Animal
nonvegan,NA,-0.060515344953736,-0.319807642425,0.188903656425,1.07127654813649,417.1911175468,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/W8T41JZK0ZMEP.png,Animal
nonvegan,NA,-0.0894404596635023,-0.4078651246,0.1854200286,1.02644301211328,624.839415633058,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/W8T41JZK0ZMEP.png,Animal
nonvegan,NA,-0.0575444360284033,-0.3719827539,0.2569570535,1.17284654332677,531.518939038077,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/W8T41JZK0ZMEP.png,Animal
nonvegan,NA,0.11649044611993,-0.15345966095,0.431983368425,1.13931156184571,14.8770247567941,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/W8T41JZK0ZMEP.png,Animal
nonvegan,NA,0.0923745369642873,-0.2151607716,0.42244579395,1.08495792182535,909.530227956986,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/W8T41JZK0ZMEP.png,Animal
