created_at,location_id,item_quantity_day,vegan_window_quantity,vegetarian_window_quantity,meat_window_quantity,vegan_window_avg,vegetarian_window_avg,meat_window_avg,vegan_outcome,vegetarian_outcome,day_of_week_cat,day_of_week,weekend,day_of_month_cat,day_of_month,month_cat,month,season,year_cat,year,date,location_id_y,cuisine,restaurant_type,pos_type,batch
2013-04-04 00:00:00+00:00,1SQPTEGYPH0GA,43.0,505.0,505.0,1538.0,567.5247233386768,567.5247233386768,354.2261858237261,9.0,9.0,3,3,0,4,3,4,3,spring,2013,0,35,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-04-05 00:00:00+00:00,1SQPTEGYPH0GA,21.0,68.0,68.0,299.0,557.0105820105821,557.0105820105821,277.27943219982143,5.0,5.0,4,4,0,5,4,4,3,spring,2013,0,36,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-04-06 00:00:00+00:00,1SQPTEGYPH0GA,75.0,622.0,622.0,3499.0,578.2386835386835,578.2386835386835,302.4501990526569,10.0,10.0,5,5,1,6,5,4,3,spring,2013,0,37,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-04-07 00:00:00+00:00,1SQPTEGYPH0GA,,,,,578.2386835386835,578.2386835386835,302.4501990526569,0.0,0.0,6,6,1,7,6,4,3,spring,2013,0,38,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-04-08 00:00:00+00:00,1SQPTEGYPH0GA,10.0,12.0,12.0,116.0,579.1666666666666,579.1666666666666,410.4416666666667,0.0,0.0,0,0,0,8,7,4,3,spring,2013,0,39,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-04-09 00:00:00+00:00,1SQPTEGYPH0GA,23.0,14.0,14.0,375.0,542.0289855072464,542.0289855072464,346.2008900710274,3.0,3.0,1,1,0,9,8,4,3,spring,2013,0,40,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-04-10 00:00:00+00:00,1SQPTEGYPH0GA,37.0,104.0,104.0,854.0,543.6936936936936,543.6936936936936,525.4791663277881,4.0,4.0,2,2,0,10,9,4,3,spring,2013,0,41,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-04-11 00:00:00+00:00,1SQPTEGYPH0GA,29.0,200.0,200.0,749.0,553.0617131910235,553.0617131910235,398.98434905522697,9.0,9.0,3,3,0,11,10,4,3,spring,2013,0,42,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-04-12 00:00:00+00:00,1SQPTEGYPH0GA,51.0,697.0,697.0,1312.0,515.6002692680894,515.6002692680894,331.1518477678308,16.0,16.0,4,4,0,12,11,4,3,spring,2013,0,43,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-04-13 00:00:00+00:00,1SQPTEGYPH0GA,33.0,371.0,371.0,1174.0,652.4899620086785,652.4899620086785,304.08852348995686,7.0,7.0,5,5,1,13,12,4,3,spring,2013,0,44,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-04-14 00:00:00+00:00,1SQPTEGYPH0GA,,,,,652.4899620086785,652.4899620086785,304.08852348995686,0.0,0.0,6,6,1,14,13,4,3,spring,2013,0,45,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-04-15 00:00:00+00:00,1SQPTEGYPH0GA,14.0,41.0,41.0,132.0,682.9761904761905,682.9761904761905,666.912925170068,4.0,4.0,0,0,0,15,14,4,3,spring,2013,0,46,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-04-16 00:00:00+00:00,1SQPTEGYPH0GA,25.0,94.0,94.0,406.0,495.3,495.3,469.1932285495124,5.0,5.0,1,1,0,16,15,4,3,spring,2013,0,47,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-04-17 00:00:00+00:00,1SQPTEGYPH0GA,45.0,382.0,382.0,1365.0,516.4080949914282,516.4080949914282,322.943484895353,13.0,13.0,2,2,0,17,16,4,3,spring,2013,0,48,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-04-18 00:00:00+00:00,1SQPTEGYPH0GA,58.0,744.0,744.0,1719.0,770.0521461297324,770.0521461297324,573.5374558232353,10.0,10.0,3,3,0,18,17,4,3,spring,2013,0,49,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-04-19 00:00:00+00:00,1SQPTEGYPH0GA,56.0,662.0,662.0,3058.0,746.2246681889538,746.2246681889538,443.1997315537254,10.0,10.0,4,4,0,19,18,4,3,spring,2013,0,50,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-04-20 00:00:00+00:00,1SQPTEGYPH0GA,65.0,623.0,623.0,3967.0,587.0843173920098,587.0843173920098,388.2098935678957,13.0,13.0,5,5,1,20,19,4,3,spring,2013,0,51,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-04-21 00:00:00+00:00,1SQPTEGYPH0GA,,,,,587.0843173920098,587.0843173920098,388.2098935678957,0.0,0.0,6,6,1,21,20,4,3,spring,2013,0,52,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-04-22 00:00:00+00:00,1SQPTEGYPH0GA,29.0,123.0,123.0,335.0,639.0380405035577,639.0380405035577,556.8357131175883,9.0,9.0,0,0,0,22,21,4,3,spring,2013,0,53,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-04-23 00:00:00+00:00,1SQPTEGYPH0GA,44.0,665.0,665.0,1438.0,747.0974664632754,747.0974664632754,547.5800595600631,14.0,14.0,1,1,0,23,22,4,3,spring,2013,0,54,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-04-24 00:00:00+00:00,1SQPTEGYPH0GA,27.0,246.0,246.0,570.0,657.6675485008818,657.6675485008818,441.15727148750886,7.0,7.0,2,2,0,24,23,4,3,spring,2013,0,55,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-04-25 00:00:00+00:00,1SQPTEGYPH0GA,44.0,557.0,557.0,657.0,958.3237212349054,958.3237212349054,569.1649514700986,18.0,18.0,3,3,0,25,24,4,3,spring,2013,0,56,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-04-26 00:00:00+00:00,1SQPTEGYPH0GA,29.0,634.0,634.0,771.0,935.9726640176416,935.9726640176416,675.3637430750313,12.0,12.0,4,4,0,26,25,4,3,spring,2013,0,57,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-04-27 00:00:00+00:00,1SQPTEGYPH0GA,64.0,727.0,727.0,1838.0,913.63473128179,913.63473128179,803.1891435007257,16.0,16.0,5,5,1,27,26,4,3,spring,2013,0,58,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-04-28 00:00:00+00:00,1SQPTEGYPH0GA,,,,,913.63473128179,913.63473128179,803.1891435007257,0.0,0.0,6,6,1,28,27,4,3,spring,2013,0,59,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-04-29 00:00:00+00:00,1SQPTEGYPH0GA,24.0,64.0,64.0,259.0,816.4583333333334,816.4583333333334,328.8892049875506,6.0,6.0,0,0,0,29,28,4,3,spring,2013,0,60,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-04-30 00:00:00+00:00,1SQPTEGYPH0GA,37.0,357.0,357.0,942.0,758.4289134289135,758.4289134289135,390.8992536144049,12.0,12.0,1,1,0,30,29,4,3,spring,2013,0,61,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-05-01 00:00:00+00:00,1SQPTEGYPH0GA,100.0,1611.0,1611.0,5241.0,668.3979346225669,668.3979346225669,433.4888763105497,16.0,16.0,2,2,0,1,0,5,4,spring,2013,0,62,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-05-02 00:00:00+00:00,1SQPTEGYPH0GA,77.0,1101.0,1101.0,4953.0,811.1847156217859,811.1847156217859,419.9725087017011,17.0,17.0,3,3,0,2,1,5,4,spring,2013,0,63,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-05-03 00:00:00+00:00,1SQPTEGYPH0GA,48.0,689.0,689.0,2373.0,677.3785993919508,677.3785993919508,465.5837620551287,11.0,11.0,4,4,0,3,2,5,4,spring,2013,0,64,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-05-04 00:00:00+00:00,1SQPTEGYPH0GA,44.0,595.0,595.0,1771.0,615.0557251486044,615.0557251486044,464.8003920626901,12.0,12.0,5,5,1,4,3,5,4,spring,2013,0,65,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-05-05 00:00:00+00:00,1SQPTEGYPH0GA,,,,,615.0557251486044,615.0557251486044,464.8003920626901,0.0,0.0,6,6,1,5,4,5,4,spring,2013,0,66,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-05-06 00:00:00+00:00,1SQPTEGYPH0GA,,,,,615.0557251486044,615.0557251486044,464.8003920626901,0.0,0.0,0,0,0,6,5,5,4,spring,2013,0,67,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-05-07 00:00:00+00:00,1SQPTEGYPH0GA,22.0,58.0,58.0,240.0,602.7597402597403,602.7597402597403,319.99245967995967,6.0,6.0,1,1,0,7,6,5,4,spring,2013,0,68,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-05-08 00:00:00+00:00,1SQPTEGYPH0GA,9.0,62.0,62.0,82.0,594.4444444444445,594.4444444444445,772.2528594771242,4.0,4.0,2,2,0,8,7,5,4,spring,2013,0,69,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-05-09 00:00:00+00:00,1SQPTEGYPH0GA,28.0,158.0,158.0,342.0,615.9183673469388,615.9183673469388,400.5607196488582,7.0,7.0,3,3,0,9,8,5,4,spring,2013,0,70,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-05-10 00:00:00+00:00,1SQPTEGYPH0GA,35.0,254.0,254.0,820.0,579.095804988662,579.095804988662,534.7618906513316,12.0,12.0,4,4,0,10,9,5,4,spring,2013,0,71,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-05-11 00:00:00+00:00,1SQPTEGYPH0GA,15.0,66.0,66.0,168.0,598.6111111111111,598.6111111111111,771.5172882672883,2.0,2.0,5,5,1,11,10,5,4,spring,2013,0,72,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-05-12 00:00:00+00:00,1SQPTEGYPH0GA,3.0,6.0,6.0,42.0,600.0,600.0,606.3919413919414,0.0,0.0,6,6,1,12,11,5,4,spring,2013,0,73,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-05-13 00:00:00+00:00,1SQPTEGYPH0GA,34.0,182.0,182.0,313.0,601.0795985060691,601.0795985060691,484.92352276879126,10.0,10.0,0,0,0,13,12,5,4,spring,2013,0,74,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-05-14 00:00:00+00:00,1SQPTEGYPH0GA,42.0,586.0,586.0,1289.0,523.0209680025857,523.0209680025857,479.99278010741097,16.0,16.0,1,1,0,14,13,5,4,spring,2013,0,75,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-05-15 00:00:00+00:00,1SQPTEGYPH0GA,60.0,1077.0,1077.0,2093.0,540.8234267989493,540.8234267989493,455.9094591136074,17.0,17.0,2,2,0,15,14,5,4,spring,2013,0,76,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-05-16 00:00:00+00:00,1SQPTEGYPH0GA,86.0,1325.0,1325.0,3898.0,565.0039134577033,565.0039134577033,367.9781679896571,23.0,23.0,3,3,0,16,15,5,4,spring,2013,0,77,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-05-17 00:00:00+00:00,1SQPTEGYPH0GA,96.0,1837.0,1837.0,5998.0,581.7658251996971,581.7658251996971,293.6260150403855,17.0,17.0,4,4,0,17,16,5,4,spring,2013,0,78,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-05-18 00:00:00+00:00,1SQPTEGYPH0GA,42.0,863.0,863.0,3256.0,532.4210108540099,532.4210108540099,293.6887396219567,11.0,11.0,5,5,1,18,17,5,4,spring,2013,0,79,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-05-19 00:00:00+00:00,1SQPTEGYPH0GA,,,,,532.4210108540099,532.4210108540099,293.6887396219567,0.0,0.0,6,6,1,19,18,5,4,spring,2013,0,80,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-05-20 00:00:00+00:00,1SQPTEGYPH0GA,43.0,371.0,371.0,703.0,498.74243973081184,498.74243973081184,465.2441543465,14.0,14.0,0,0,0,20,19,5,4,spring,2013,0,81,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-05-21 00:00:00+00:00,1SQPTEGYPH0GA,39.0,695.0,695.0,1632.0,544.8789970635945,544.8789970635945,364.2028096232341,10.0,10.0,1,1,0,21,20,5,4,spring,2013,0,82,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-05-22 00:00:00+00:00,1SQPTEGYPH0GA,,,,,544.8789970635945,544.8789970635945,364.2028096232341,0.0,0.0,2,2,0,22,21,5,4,spring,2013,0,83,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-05-23 00:00:00+00:00,1SQPTEGYPH0GA,15.0,56.0,56.0,189.0,621.9047619047618,621.9047619047618,260.527417027417,3.0,3.0,3,3,0,23,22,5,4,spring,2013,0,84,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
