outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,color_group
vegetarian,mpbamod,Proportion,1.1861421450898504,1.06345023813903,1.320001893216086,NA,1.1861421450898504,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegetarian,mpbamod,Proportion,0.8130997167813732,0,1.2209216120520214,NA,0.8130997167813732,NA,Restaurant,2HRX9P6HKXA8V,Plant-based
vegetarian,mpbamod,Proportion,0.7688477921756137,0.6309573444801932,0.9101363514059139,NA,0.7688477921756137,NA,Restaurant,JHDN7CF1C03X5,Plant-based
vegetarian,mpbamod,Proportion,1.0898360164843417,0.7042261140012369,1.6736467612036539,NA,1.0898360164843417,NA,Restaurant,L69HYJ4Y3TR91,Plant-based
vegetarian,mpbamod,Proportion,1.001885350969763,0.959299887533659,1.0474654632468505,NA,1.001885350969763,NA,Restaurant,ED5J990H5VAZT,Plant-based
vegetarian,mpbamod,Proportion,0.9978611292803329,0.8705505632961241,1.1434214531455542,NA,0.9978611292803329,NA,Restaurant,W8T41JZK0ZMEP,Plant-based
vegetarian,vegan,Count,0.68,0.54,0.86,NA,0.9619484009027875,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegetarian,vegan,Count,1.03,0.89,1.17,NA,1.0022738141470193,NA,Restaurant,2HRX9P6HKXA8V,Plant-based
vegetarian,vegan,Count,1.04,1.01,1.06,NA,1.0036431660758516,NA,Restaurant,JHDN7CF1C03X5,Plant-based
vegetarian,vegan,Count,1.02,0.94,1.09,NA,1.0014386117511167,NA,Restaurant,L69HYJ4Y3TR91,Plant-based
vegetarian,vegan,Count,1.02,0.94,1.11,NA,1.00234140307724,NA,Restaurant,ED5J990H5VAZT,Plant-based
vegetarian,vegan,Count,1,0.98,1.02,NA,0.9996469623653997,NA,Restaurant,W8T41JZK0ZMEP,Plant-based
vegetarian,vegan,Proportion,0.8435310128809266,0.7767996097157338,0.9169062415024053,NA,0.8435310128809266,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegetarian,vegan,Proportion,1.0717341221170282,0.8513399225207846,1.3209848952741368,NA,1.0717341221170282,NA,Restaurant,2HRX9P6HKXA8V,Plant-based
vegetarian,vegan,Proportion,1.1863688868380808,1.0392779987370508,1.3482674538538502,NA,1.1863688868380808,NA,Restaurant,JHDN7CF1C03X5,Plant-based
vegetarian,vegan,Proportion,0.9613661127324489,0.7247796636776955,1.2667594791478436,NA,0.9613661127324489,NA,Restaurant,L69HYJ4Y3TR91,Plant-based
vegetarian,vegan,Proportion,1.0070860798908852,0.8739716291356506,1.1556834473676476,NA,1.0070860798908852,NA,Restaurant,ED5J990H5VAZT,Plant-based
vegetarian,vegan,Proportion,0.995568733882916,0.8772762586965452,1.129514134678065,NA,0.995568733882916,NA,Restaurant,W8T41JZK0ZMEP,Plant-based
vegetarian,vegetarian,Count,1.09,1.04,1.13,NA,1.0083048270942014,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based
