outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,color_group
nonvegan,NA,0.0359030898333333,-0.227601775,0.287130525,NA,1.00253002132776,NA,Restaurant,JHDN7CF1C03X5,Animal
nonvegan,NA,-0.0444581928603333,-1.0637468,0.9085372,NA,1.00553222410993,NA,Restaurant,L69HYJ4Y3TR91,Animal
nonvegan,NA,-0.0631630229,-0.420181525,0.3076127,NA,1.00786491081674,NA,Restaurant,ED5J990H5VAZT,Animal
meat,NA,-0.0107097677306432,-0.095895804074975,0.083508305,NA,1.00849633443374,NA,Restaurant,VLZX7K2M9QD4T,Animal
meat,NA,-0.03521997703165,-0.1707753375,0.0951887224999999,NA,1.00932418130737,NA,Restaurant,SRQS8F7JWA9MZ,Animal
meat,NA,-0.0312409295634333,-0.15562929675,0.0918786699999999,NA,1.01075257495245,NA,Restaurant,SRQS8F7JWA9MZ,Animal
meat,NA,-0.00290875880048333,-0.220236355,0.2038355725,NA,1.01274779120605,NA,Restaurant,2HRX9P6HKXA8V,Animal
meat,NA,-0.0528121193490867,-0.15812127525,0.0487243025,NA,1.00602192905919,NA,Restaurant,JHDN7CF1C03X5,Animal
meat,NA,-0.1125533608442,-0.340125069,0.0494060825,NA,1.02316659598929,NA,Restaurant,L69HYJ4Y3TR91,Animal
meat,NA,-0.056370865015,-0.2471748825,0.1057917075,NA,1.01134523027309,NA,Restaurant,ED5J990H5VAZT,Animal
meat,NA,-0.0706734143305,-0.874713075,0.6794081,NA,1.01931082495892,NA,Restaurant,VLZX7K2M9QD4T,Animal
meat,NA,-0.0134660886,-1.037807775,0.997839575,NA,1.0126446578946,NA,Restaurant,SRQS8F7JWA9MZ,Animal
meat,NA,0.00206561842683333,-0.9733100125,1.006856675,NA,1.01511239817326,NA,Restaurant,SRQS8F7JWA9MZ,Animal
meat,NA,-0.142242448235733,-0.8509039125,0.462914375,NA,1.01213557189119,NA,Restaurant,2HRX9P6HKXA8V,Animal
meat,NA,-7.51015000000001e-4,-0.25737815000000003,0.2494715,NA,1.00796890264033,NA,Restaurant,JHDN7CF1C03X5,Animal
meat,NA,-0.144976476441667,-1.12941955,0.690775525,NA,1.0094429261991,NA,Restaurant,L69HYJ4Y3TR91,Animal
meat,NA,-0.00327840666833333,-0.39810655,0.38769485,NA,1.00588629556991,NA,Restaurant,ED5J990H5VAZT,Animal
chicken_fish,NA,-0.0534587504920817,-0.148374487,0.04006447425,NA,1.00067421367054,NA,Restaurant,VLZX7K2M9QD4T,Animal
chicken_fish,NA,-0.128924920431417,-0.37509174,0.0604660125,NA,1.00402756843356,NA,Restaurant,2HRX9P6HKXA8V,Animal
chicken_fish,NA,0.00319216870213333,-0.081546765,0.0921298525,NA,1.00384556577936,NA,Restaurant,JHDN7CF1C03X5,Animal
chicken_fish,NA,-0.0542075405662717,-0.511012825,0.314305175,NA,1.01116506505875,NA,Restaurant,L69HYJ4Y3TR91,Animal
chicken_fish,NA,-0.160514506784867,-0.650232375,0.0717724875,NA,1.01483584978293,NA,Restaurant,ED5J990H5VAZT,Animal
chicken_fish,NA,0.159069675535833,-0.58916165,0.8377832,NA,1.01097950154827,NA,Restaurant,VLZX7K2M9QD4T,Animal
chicken_fish,NA,0.39690350124635,-0.107381875,0.839107725,NA,1.01709800122419,NA,Restaurant,2HRX9P6HKXA8V,Animal
chicken_fish,NA,0.702246666666667,0.517384075,0.901810825,NA,1.01275472343718,NA,Restaurant,JHDN7CF1C03X5,Animal
chicken_fish,NA,0.729539077321333,-0.74349705,2.292237,NA,1.00640192193733,NA,Restaurant,L69HYJ4Y3TR91,Animal
chicken_fish,NA,1.20320064206667,0.541832625,1.85574425,NA,1.0338340291338,NA,Restaurant,ED5J990H5VAZT,Animal
vegetarian,NA,0.00246561947891833,-0.093502193,0.100538295,NA,1.00742770595527,NA,Restaurant,VLZX7K2M9QD4T,Plant-based
vegetarian,NA,0.112650552704467,-0.032992895,0.2669168225,NA,1.00558923134898,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegetarian,NA,0.07483157605085,-0.060775915,0.21648759125,NA,1.0014710377254,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegetarian,NA,-0.127092771385253,-0.3529214715,0.12961400725,NA,1.00739092510768,NA,Restaurant,2HRX9P6HKXA8V,Plant-based
vegetarian,NA,0.0102841336051967,-0.1065583045,0.123719495,NA,1.00366875466987,NA,Restaurant,JHDN7CF1C03X5,Plant-based
vegetarian,NA,0.17207479306115,-0.118267155,0.460726335,NA,1.00660212143176,NA,Restaurant,L69HYJ4Y3TR91,Plant-based
vegetarian,NA,0.0436025242499,-0.11069346,0.2014470875,NA,1.00140001330909,NA,Restaurant,ED5J990H5VAZT,Plant-based
vegetarian,NA,-0.141155771652333,-0.824233415,0.637645345,NA,1.00735009491093,NA,Restaurant,VLZX7K2M9QD4T,Plant-based
vegetarian,NA,0.513518320013667,-0.563551025,1.5300930675,NA,1.00157577463286,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegetarian,NA,-0.328127887973833,-1.373599825,0.763537375,NA,1.00336043910131,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegetarian,NA,-0.221875183627717,-0.83265493,0.514005999999998,NA,1.00611207329819,NA,Restaurant,2HRX9P6HKXA8V,Plant-based
vegetarian,NA,-0.325631754433333,-0.5896036,-0.0692891750000002,NA,1.00566941679393,NA,Restaurant,JHDN7CF1C03X5,Plant-based
vegetarian,NA,-0.20534391605,-1.23232535,1.008425375,NA,1.00306127468147,NA,Restaurant,L69HYJ4Y3TR91,Plant-based
vegetarian,NA,-0.211974565267167,-0.530876675,0.1119229,NA,1.0024688889752,NA,Restaurant,ED5J990H5VAZT,Plant-based
vegan,NA,0.0993048827309183,1.16964999999996e-4,0.2001474075,NA,1.02384872661219,NA,Restaurant,VLZX7K2M9QD4T,Plant-based
vegan,NA,0.04240487335575,-0.0988687225,0.18380095,NA,1.03783814691113,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegan,NA,0.105826272695517,-0.020404625,0.242964845,NA,1.02504264770117,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegan,NA,0.0341476222090833,-0.1489416875,0.2452643175,NA,1.25545174619698,NA,Restaurant,2HRX9P6HKXA8V,Plant-based
vegan,NA,-0.031187621534575,-0.145804769,0.0720115175,NA,1.07888797985878,NA,Restaurant,JHDN7CF1C03X5,Plant-based
vegan,NA,0.0297701124235183,-0.201207005,0.301089885,NA,1.06277456372204,NA,Restaurant,L69HYJ4Y3TR91,Plant-based
vegan,NA,0.112558884657933,-0.0644795475,0.3801991125,NA,1.14096959748108,NA,Restaurant,ED5J990H5VAZT,Plant-based
vegan,NA,-0.802642116665317,-1.721547615,0.00986096499999965,NA,1.13133825122152,NA,Restaurant,VLZX7K2M9QD4T,Plant-based
vegan,NA,0.596141604267773,-0.562356625,1.578152025,NA,1.02955697953501,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegan,NA,0.3694829917085,-0.63024587,1.53090185,NA,1.03625785866938,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegan,NA,-0.435589897875952,-0.988154235,0.0659202249999998,NA,1.13272139155999,NA,Restaurant,2HRX9P6HKXA8V,Plant-based
vegan,NA,-0.652151044453917,-0.8826556075,-0.4260195,NA,1.03119617499719,NA,Restaurant,JHDN7CF1C03X5,Plant-based
vegan,NA,0.0738086306062333,-1.2791271725,1.6822534,NA,1.21539671855214,NA,Restaurant,L69HYJ4Y3TR91,Plant-based
vegan,NA,-0.2215176237581,-0.585292425,0.171544075,NA,1.03612606721086,NA,Restaurant,ED5J990H5VAZT,Plant-based
