location_id,outcome,dataset,n_obs,rest_mean,rest_sd,threshold_3sd,n_zeros,zero_rate,n_structural,structural_rate,structural_among_zeros,max_value,outcome_type
75WYSXR9QBK5M,meat,customer,1260,6.892857142857143,13.41097601860036,-33.340070912943936,840,0.6666666666666666,840,0.6666666666666666,1,131,Main Category
75WYSXR9QBK5M,meat,its,1324,16.496223564954683,26.408887008244573,-62.73043745977903,797,0.601963746223565,797,0.601963746223565,1,169,Main Category
75WYSXR9QBK5M,meat,proportion,1324,16.496223564954683,26.408887008244573,-62.73043745977903,797,0.601963746223565,797,0.601963746223565,1,169,Main Category
75WYSXR9QBK5M,nonvegan,customer,1260,7.177777777777778,13.946060215500818,-34.660402868724674,840,0.6666666666666666,840,0.6666666666666666,1,131,Main Category
75WYSXR9QBK5M,nonvegan,its,1324,17.11858006042296,27.333393934595083,-64.8816017433623,796,0.6012084592145015,796,0.6012084592145015,1,172,Main Category
75WYSXR9QBK5M,nonvegan,proportion,1324,17.11858006042296,27.333393934595083,-64.8816017433623,796,0.6012084592145015,796,0.6012084592145015,1,172,Main Category
75WYSXR9QBK5M,textured,customer,1260,0,0,0,1260,1,0,0,0,0,Targeted (ITS)
75WYSXR9QBK5M,textured,its,1324,0,0,0,1324,1,0,0,0,0,Targeted (ITS)
75WYSXR9QBK5M,textured_p,proportion_targeted,1324,0.736404833836858,2.3760274917875437,-6.3916776415257734,1061,0.8013595166163142,1061,0.8013595166163142,1,26,Targeted (Proportion)
75WYSXR9QBK5M,textured_t2,customer,1260,0,0,0,1260,1,0,0,0,0,Other
75WYSXR9QBK5M,total,customer,1260,8.112698412698412,15.732523918198671,-39.0848733418976,837,0.6642857142857143,837,0.6642857142857143,1,133,Total
75WYSXR9QBK5M,total,its,1324,18.569486404833835,29.481851999446633,-69.87606959350606,795,0.600453172205438,795,0.600453172205438,1,191,Total
75WYSXR9QBK5M,total,proportion,1324,18.569486404833835,29.481851999446633,-69.87606959350606,795,0.600453172205438,795,0.600453172205438,1,191,Total
75WYSXR9QBK5M,untextured,customer,1260,0,0,0,1260,1,0,0,0,0,Targeted (ITS)
75WYSXR9QBK5M,untextured,its,1324,0,0,0,1324,1,0,0,0,0,Targeted (ITS)
75WYSXR9QBK5M,untextured_p,proportion_targeted,1324,2.573262839879154,5.883210382309842,-15.076368307050371,925,0.6986404833836858,925,0.6986404833836858,1,131,Targeted (Proportion)
75WYSXR9QBK5M,untextured_t2,customer,1260,0,0,0,1260,1,0,0,0,0,Other
75WYSXR9QBK5M,vegan,customer,1260,0.9349206349206349,2.199115912342996,-5.662427102108353,955,0.7579365079365079,955,0.7579365079365079,1,15,Main Category
75WYSXR9QBK5M,vegan,its,1324,1.450906344410876,3.1310273890932723,-7.94217582286894,936,0.7069486404833837,936,0.7069486404833837,1,39,Main Category
75WYSXR9QBK5M,vegan,proportion,1324,1.450906344410876,3.1310273890932723,-7.94217582286894,936,0.7069486404833837,936,0.7069486404833837,1,39,Main Category
75WYSXR9QBK5M,vegetarian,customer,1260,1.21984126984127,2.737104789313674,-6.9914730980997515,930,0.7380952380952381,930,0.7380952380952381,1,20,Main Category
75WYSXR9QBK5M,vegetarian,its,1324,2.073262839879154,4.317859473658718,-10.880315581097,915,0.6910876132930514,915,0.6910876132930514,1,46,Main Category
75WYSXR9QBK5M,vegetarian,proportion,1324,2.073262839879154,4.317859473658718,-10.880315581097,915,0.6910876132930514,915,0.6910876132930514,1,46,Main Category
78AY09MVJVTYE,breakfast,customer,3200,0,0,0,3200,1,0,0,0,0,Targeted (ITS)
78AY09MVJVTYE,breakfast,its,3208,0,0,0,3208,1,0,0,0,0,Targeted (ITS)
78AY09MVJVTYE,breakfast_p,proportion_targeted,3208,40.10660847880299,36.66906562963357,-69.90058841009773,851,0.26527431421446385,851,0.26527431421446385,1,202,Targeted (Proportion)
78AY09MVJVTYE,breakfast_t2,customer,3200,4.275625,8.206899763951206,-20.34507429185362,1774,0.554375,1774,0.554375,1,100,Other
78AY09MVJVTYE,chicken,customer,3200,0,0,0,3200,1,0,0,0,0,Other
78AY09MVJVTYE,chicken_fish,customer,3200,1.08375,2.1292669496905976,-5.304050849071793,2130,0.665625,2130,0.665625,1,19,Main Category
78AY09MVJVTYE,chicken_fish,its,3208,7.403678304239402,7.552131193351129,-15.252715275813983,957,0.2983167082294264,957,0.2983167082294264,1,56,Main Category
78AY09MVJVTYE,chicken_fish,proportion,3208,7.403678304239402,7.552131193351129,-15.252715275813983,957,0.2983167082294264,957,0.2983167082294264,1,56,Main Category
78AY09MVJVTYE,chicken_p,proportion_targeted,3208,7.6415211970074814,8.120040869864447,-16.71860141258586,957,0.2983167082294264,957,0.2983167082294264,1,76,Targeted (Proportion)
78AY09MVJVTYE,chicken_t2,customer,3200,0,0,0,3200,1,0,0,0,0,Other
78AY09MVJVTYE,dairy,customer,3200,0,0,0,3200,1,0,0,0,0,Other
78AY09MVJVTYE,dairy_p,proportion_targeted,3208,17.581982543640898,19.84535188535064,-41.95407311241103,903,0.28148379052369077,903,0.28148379052369077,1,112,Targeted (Proportion)
78AY09MVJVTYE,dairy_t2,customer,3200,0,0,0,3200,1,0,0,0,0,Other
78AY09MVJVTYE,egg_p,proportion_targeted,3208,11.45635910224439,16.144555618125253,-36.97730775213137,1009,0.3145261845386534,1009,0.3145261845386534,1,94,Targeted (Proportion)
78AY09MVJVTYE,meat,customer,3200,5.7578125,10.278998043466432,-25.079181630399297,1720,0.5375,1720,0.5375,1,100,Main Category
78AY09MVJVTYE,meat,its,3208,46.92955112219451,41.92621281529307,-78.8490873236847,840,0.26184538653366585,840,0.26184538653366585,1,258,Main Category
78AY09MVJVTYE,meat,proportion,3208,46.92955112219451,41.92621281529307,-78.8490873236847,840,0.26184538653366585,840,0.26184538653366585,1,258,Main Category
78AY09MVJVTYE,nonvegan,customer,3200,6.42125,11.598311782272976,-28.37368534681893,1706,0.533125,1706,0.533125,1,100,Main Category
78AY09MVJVTYE,nonvegan,its,3208,51.85536159600998,48.06433716978847,-92.33764991335545,840,0.26184538653366585,840,0.26184538653366585,1,284,Main Category
78AY09MVJVTYE,nonvegan,proportion,3208,51.85536159600998,48.06433716978847,-92.33764991335545,840,0.26184538653366585,840,0.26184538653366585,1,284,Main Category
78AY09MVJVTYE,textured,customer,3200,0,0,0,3200,1,0,0,0,0,Targeted (ITS)
78AY09MVJVTYE,textured,its,3208,0,0,0,3208,1,0,0,0,0,Targeted (ITS)
78AY09MVJVTYE,textured_p,proportion_targeted,3208,0.03615960099750624,0.4288495157592145,-1.2503889462801372,3159,0.9847256857855362,3159,0.9847256857855362,1,10,Targeted (Proportion)
78AY09MVJVTYE,textured_t2,customer,3200,0,0,0,3200,1,0,0,0,0,Other
78AY09MVJVTYE,total,customer,3200,6.7478125,12.169115262286002,-29.75953328685801,1697,0.5303125,1697,0.5303125,1,101,Total
78AY09MVJVTYE,total,its,3208,55.369700748129674,50.447889598939774,-95.97396804868964,834,0.25997506234413964,834,0.25997506234413964,1,288,Total
78AY09MVJVTYE,total,proportion,3208,55.369700748129674,50.447889598939774,-95.97396804868964,834,0.25997506234413964,834,0.25997506234413964,1,288,Total
