outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,color_group,step_size
nonvegan,vegan,Proportion,NA,NA,0.49499403483892995,1.09998806242672,0.956337078956302,1.00049924298683,Restaurant,L69HYJ4Y3TR91,Animal,0.021052631578947368
nonvegan,vegan,Proportion,-0.5795525041305265,NA,0.9650389343060628,3.07064604861803,1.0635440079225,0.999974838505603,Restaurant,LBZEEFSBJNB3Z,Animal,0.021052631578947368
nonvegan,vegan,Proportion,NA,NA,1.170348896543277,3.48452356959984,0.986335627946676,1.00056551653423,Restaurant,LFZFT3VASXPED,Animal,0.021052631578947368
nonvegan,vegan,Proportion,-2.4284549106161637,NA,1.0063650065375205,2.69822565095141,1.01760879319683,1.00316613201169,Restaurant,LQ5EH4BKGV61T,Animal,0.021052631578947368
nonvegan,vegan,Proportion,NA,NA,0.926223085338008,2.32694311468089,1.00393604773268,1.0007296410945,Restaurant,S8MT0YGD2KTN9,Animal,0.021052631578947368
nonvegan,vegan,Proportion,NA,NA,1.1200545838007678,3.33618222437645,1.00999784232818,1.0009395728584,Restaurant,SAFK7ND1HR6XS,Animal,0.021052631578947368
nonvegan,vegan,Proportion,NA,NA,-0.6411182905392134,0.913791831434825,0.985722647432132,1.0018503059566,Restaurant,SRQS8F7JWA9MZ,Animal,0.021052631578947368
nonvegan,vegan,Proportion,NA,NA,-0.2975463582735956,0.734466084199276,0.952932790869175,1.00067021485167,Restaurant,V3Q26BHF3SE2H,Animal,0.021052631578947368
nonvegan,vegan,Proportion,NA,NA,0.04977535965732549,0.984733029518728,0.978056800292864,1.00157037838263,Restaurant,W8T41JZK0ZMEP,Animal,0.021052631578947368
nonvegan,vegetarian,Count,NA,NA,-4.470864991575409,0.997670801642538,0.999764484733734,1.00114680957858,Restaurant,1SQPTEGYPH0GA,Animal,0.021052631578947368
nonvegan,vegetarian,Count,NA,NA,-2.457763799726601,1.00043336601764,0.999957389157708,1.00097970458054,Restaurant,2HRX9P6HKXA8V,Animal,0.021052631578947368
nonvegan,vegetarian,Count,NA,NA,-3.8696687223019186,0.997721078013869,0.999765910979578,1.00397723368404,Restaurant,78AY09MVJVTYE,Animal,0.021052631578947368
nonvegan,vegetarian,Count,NA,NA,-4.559008762025871,0.998657121026451,0.999863919563368,1.00011675566245,Restaurant,9XKJD8DQTH559,Animal,0.021052631578947368
nonvegan,vegetarian,Count,NA,NA,-3.671239835415513,0.995170581814543,0.999505267245209,0.999866230509,Restaurant,C0BE4NDSW26QN,Animal,0.021052631578947368
nonvegan,vegetarian,Count,NA,NA,-4.412190079715047,0.998527904932789,0.999850200957405,1.00044122896259,Restaurant,CB2KHY1C2G9PT,Animal,0.021052631578947368
nonvegan,vegetarian,Count,NA,NA,-3.669484934592211,0.99692279903919,0.99968243070329,1.00111236090047,Restaurant,ED5J990H5VAZT,Animal,0.021052631578947368
nonvegan,vegetarian,Count,-3.4234603427538874,NA,-2.0111275448161248,1.03446680177351,1.00327816893234,1.00331176826173,Restaurant,EMBVNVD207CC6,Animal,0.021052631578947368
nonvegan,vegetarian,Count,NA,NA,-4.306435623637587,0.995032496539991,0.999498270934518,1.00024105810254,Restaurant,JHDN7CF1C03X5,Animal,0.021052631578947368
nonvegan,vegetarian,Count,NA,NA,-3.1244720386690252,0.993766052977814,0.999347025041904,1.00178894315104,Restaurant,L69HYJ4Y3TR91,Animal,0.021052631578947368
nonvegan,vegetarian,Count,-4.359729778014998,NA,-2.725962843590393,1.01320562652818,1.00128238062326,1.00212876337868,Restaurant,LBZEEFSBJNB3Z,Animal,0.021052631578947368
nonvegan,vegetarian,Count,NA,NA,-2.0000104883517626,0.995626524268477,0.99934014044359,1.00049584056498,Restaurant,LFZFT3VASXPED,Animal,0.021052631578947368
nonvegan,vegetarian,Count,-7.040441329260632,NA,-1.99533327716291,1.00305121460079,1.00010925897722,1.00217409822637,Restaurant,LQ5EH4BKGV61T,Animal,0.021052631578947368
nonvegan,vegetarian,Count,-5.282079469549749,NA,-3.3310430719058246,1.00521821872788,1.00050954301252,1.00111606924232,Restaurant,S8MT0YGD2KTN9,Animal,0.021052631578947368
nonvegan,vegetarian,Count,-5.424210387767738,NA,-1.8011960728173735,1.00730530184702,1.00046971896657,1.00102020959533,Restaurant,SAFK7ND1HR6XS,Animal,0.021052631578947368
nonvegan,vegetarian,Count,-8.214905528044627,NA,-3.4490493033187817,1.00038825044967,1.00002823460358,0.999553266312974,Restaurant,SRQS8F7JWA9MZ,Animal,0.021052631578947368
nonvegan,vegetarian,Count,-8.045042496890668,NA,-2.960408477181284,1.0006810784701,1.00003566935218,1.00065298994686,Restaurant,V3Q26BHF3SE2H,Animal,0.021052631578947368
nonvegan,vegetarian,Count,-5.050704362464683,NA,-3.837623327431854,1.00645502159018,1.000640981915,1.00163779818325,Restaurant,W8T41JZK0ZMEP,Animal,0.021052631578947368
nonvegan,vegetarian,Proportion,-2.101863170057405,NA,0.29640583435939516,1.36837011506496,1.01421495956383,1.0157134399852,Restaurant,1SQPTEGYPH0GA,Animal,0.021052631578947368
nonvegan,vegetarian,Proportion,NA,NA,0.5685612337212076,1.53616142387125,1.00092854036271,1.00958648903703,Restaurant,2HRX9P6HKXA8V,Animal,0.021052631578947368
nonvegan,vegetarian,Proportion,NA,NA,-0.44755773105836494,1.03863880194971,0.998579079208078,1.01081962274136,Restaurant,78AY09MVJVTYE,Animal,0.021052631578947368
nonvegan,vegetarian,Proportion,NA,NA,-0.12768216135180796,0.950153606401383,0.979873587178602,1.01780328020944,Restaurant,9XKJD8DQTH559,Animal,0.021052631578947368
nonvegan,vegetarian,Proportion,NA,NA,0.18225190978532466,1.0992788386697,0.989855207668489,1.01197849810247,Restaurant,C0BE4NDSW26QN,Animal,0.021052631578947368
nonvegan,vegetarian,Proportion,-2.792131901642028,NA,-0.10173793596339781,1.16298708466162,1.00705262400344,1.00470582171003,Restaurant,CB2KHY1C2G9PT,Animal,0.021052631578947368
nonvegan,vegetarian,Proportion,NA,NA,-0.12331913964030622,0.889817392888046,0.971289335493436,1.00884986941718,Restaurant,ED5J990H5VAZT,Animal,0.021052631578947368
nonvegan,vegetarian,Proportion,NA,NA,-0.1953413905788782,0.806237574592655,0.961291895655292,1.01466330449523,Restaurant,EMBVNVD207CC6,Animal,0.021052631578947368
nonvegan,vegetarian,Proportion,NA,NA,-0.13659558819461948,0.901318721263038,0.972907287891165,1.00581162921682,Restaurant,JHDN7CF1C03X5,Animal,0.021052631578947368
nonvegan,vegetarian,Proportion,NA,NA,0.5148433260304698,1.07314442457851,0.94718929386464,1.00530208796305,Restaurant,L69HYJ4Y3TR91,Animal,0.021052631578947368
nonvegan,vegetarian,Proportion,-3.16445517002421,NA,0.27758057676691034,1.28034569873163,1.00631516193151,1.01587158622441,Restaurant,LBZEEFSBJNB3Z,Animal,0.021052631578947368
nonvegan,vegetarian,Proportion,NA,NA,0.8039492080940428,1.83202753478066,0.953670218894883,1.01774863868938,Restaurant,LFZFT3VASXPED,Animal,0.021052631578947368
nonvegan,vegetarian,Proportion,-3.604031104456821,NA,0.8060878012939169,1.91697347299298,1.00900039218741,1.00088135660848,Restaurant,LQ5EH4BKGV61T,Animal,0.021052631578947368
nonvegan,vegetarian,Proportion,-2.149932618872914,NA,0.11675910735400609,1.29092994377416,1.01312500431912,1.00395837295875,Restaurant,S8MT0YGD2KTN9,Animal,0.021052631578947368
nonvegan,vegetarian,Proportion,NA,NA,0.9195672109494453,2.82092866521679,0.991167196048751,1.03416725814205,Restaurant,SAFK7ND1HR6XS,Animal,0.021052631578947368
