outcome,exposure_group,exposure_type,mean,q5,q95,rhat,estimate_type,restaurant_id
meat,vegetarian,Proportion,0.9607435561536403,0.9453388051113798,0.9742021249237081,1.000166603102078,Restaurant,ED5J990H5VAZT
meat,vegetarian,Proportion,0.9884142560352875,0.9827157772761715,0.9938315630347766,1.0002008293396598,Restaurant,W8T41JZK0ZMEP
nonvegan,mpbamod,Count,1.02,0.98,1.07,1.0002481519994817,Restaurant,SRQS8F7JWA9MZ
nonvegan,mpbamod,Count,1.03,0.94,1.18,1.0011501450077394,Restaurant,2HRX9P6HKXA8V
nonvegan,mpbamod,Count,1,0.94,1.05,0.999794124204258,Restaurant,JHDN7CF1C03X5
nonvegan,mpbamod,Count,1.05,0.99,1.17,0.9999951794022682,Restaurant,L69HYJ4Y3TR91
nonvegan,mpbamod,Count,1.02,1,1.04,0.9999179952327297,Restaurant,ED5J990H5VAZT
nonvegan,mpbamod,Count,1.05,0.99,1.14,1.0000106119194896,Restaurant,W8T41JZK0ZMEP
nonvegan,mpbamod,Proportion,1.0019822247447452,0.9690189854225577,1.046804807994881,1.0024722579796552,Restaurant,SRQS8F7JWA9MZ
nonvegan,mpbamod,Proportion,0.9979817686415696,0.9548475870408182,1.0538739520617835,1.0047043835213592,Restaurant,2HRX9P6HKXA8V
nonvegan,mpbamod,Proportion,0.9827157772761715,0.9767034215585771,0.9895192582062144,1.002235866945401,Restaurant,JHDN7CF1C03X5
nonvegan,mpbamod,Proportion,1.0009955282949736,0.9578363965785066,1.058159820292016,1.0043980225843134,Restaurant,L69HYJ4Y3TR91
nonvegan,mpbamod,Proportion,1.0039297727022005,0.9916965051523726,1.0166891778440417,1.001098491856466,Restaurant,ED5J990H5VAZT
nonvegan,mpbamod,Proportion,0.9948838031081763,0.9861703143068244,1.0039297727022005,1.0005953078295715,Restaurant,W8T41JZK0ZMEP
nonvegan,vegan,Count,2.08,1.77,2.44,1.0006870414861069,Restaurant,SRQS8F7JWA9MZ
nonvegan,vegan,Count,1.03,0.84,1.27,1.0011170578997919,Restaurant,2HRX9P6HKXA8V
nonvegan,vegan,Count,1.01,0.97,1.06,0.999752683967664,Restaurant,JHDN7CF1C03X5
nonvegan,vegan,Count,1.11,1.05,1.18,0.9997748478196213,Restaurant,L69HYJ4Y3TR91
nonvegan,vegan,Count,1.37,1.28,1.46,1.0002624525825796,Restaurant,ED5J990H5VAZT
nonvegan,vegan,Count,1.12,1.05,1.2,1.0001655781911127,Restaurant,W8T41JZK0ZMEP
nonvegan,vegan,Proportion,1.217562608044029,1.1463800159556026,1.292491601170991,1.0020121461639648,Restaurant,SRQS8F7JWA9MZ
nonvegan,vegan,Proportion,1.0113973287615656,0.8594928497600735,1.1821503656770507,1.0001542792252347,Restaurant,2HRX9P6HKXA8V
nonvegan,vegan,Proportion,1.0019822247447452,0.9969587133618938,1.0067888050184637,1.0003806498295897,Restaurant,JHDN7CF1C03X5
nonvegan,vegan,Proportion,1.0183993761470242,1.0086550094987714,1.0296994477882186,0.9999936944807806,Restaurant,L69HYJ4Y3TR91
nonvegan,vegan,Proportion,0.9895192582062144,0.9803505238485178,0.9979817686415696,1.0003629791210407,Restaurant,ED5J990H5VAZT
nonvegan,vegan,Proportion,1.0009955282949736,0.9959261213978506,1.0067888050184637,1.0003607704152164,Restaurant,W8T41JZK0ZMEP
nonvegan,vegetarian,Count,1.01,0.98,1.03,1.0009156499218212,Restaurant,SRQS8F7JWA9MZ
nonvegan,vegetarian,Count,0.9,0.79,1.02,0.9997797502823165,Restaurant,2HRX9P6HKXA8V
nonvegan,vegetarian,Count,1.03,0.99,1.08,1.0001506111870717,Restaurant,JHDN7CF1C03X5
nonvegan,vegetarian,Count,1.2,1.11,1.31,0.9998590990769338,Restaurant,L69HYJ4Y3TR91
nonvegan,vegetarian,Count,1.81,1.66,1.99,1.0004916303309779,Restaurant,ED5J990H5VAZT
nonvegan,vegetarian,Count,1.14,1.05,1.24,1.0000541738990805,Restaurant,W8T41JZK0ZMEP
nonvegan,vegetarian,Proportion,1.0950782873588571,1.0349560586847328,1.1583743322958617,1.0014737939940175,Restaurant,SRQS8F7JWA9MZ
nonvegan,vegetarian,Proportion,0.9663308284400851,0.8376158603010033,1.06345023813903,1.001943925218248,Restaurant,2HRX9P6HKXA8V
nonvegan,vegetarian,Proportion,1.0067888050184637,1.0019822247447452,1.0122967542169528,1.0010402786390185,Restaurant,JHDN7CF1C03X5
nonvegan,vegetarian,Proportion,1.0048909381985118,0.9959261213978506,1.0140743178387932,1.0001983073438234,Restaurant,L69HYJ4Y3TR91
nonvegan,vegetarian,Proportion,0.9827157772761715,0.9729294719520967,0.9938315630347766,0.9999676048113202,Restaurant,ED5J990H5VAZT
nonvegan,vegetarian,Proportion,0.9959261213978506,0.9906132650954108,1.0009955282949736,1.0019539429689979,Restaurant,W8T41JZK0ZMEP
total,mpbamod,Count,1.02,0.97,1.06,1.00111551436564,Restaurant,SRQS8F7JWA9MZ
total,mpbamod,Count,1.03,0.93,1.17,1.0021382517846322,Restaurant,2HRX9P6HKXA8V
total,mpbamod,Count,1,0.94,1.05,1.000928388829604,Restaurant,JHDN7CF1C03X5
total,mpbamod,Count,1.06,0.99,1.19,1.0006747144632184,Restaurant,L69HYJ4Y3TR91
total,mpbamod,Count,1.02,1,1.04,0.9998973983984037,Restaurant,ED5J990H5VAZT
total,mpbamod,Count,1.03,0.97,1.12,1.0004001287460318,Restaurant,W8T41JZK0ZMEP
total,mpbamod,Proportion,1.0009955282949736,0.9703382962383449,1.0434439926896288,1.0017128398937913,Restaurant,SRQS8F7JWA9MZ
total,mpbamod,Proportion,0.9979817686415696,0.9533210199136081,1.052620071910597,1.001248238105372,Restaurant,2HRX9P6HKXA8V
total,mpbamod,Proportion,0.9827157772761715,0.9767034215585771,0.9895192582062144,1.0018623772207482,Restaurant,JHDN7CF1C03X5
total,mpbamod,Proportion,1.0009955282949736,0.956352499790037,1.0651622954916389,1.0003459277206346,Restaurant,L69HYJ4Y3TR91
total,mpbamod,Proportion,1.0029602531456534,0.9916965051523726,1.0158242733348055,1.00112039001063,Restaurant,ED5J990H5VAZT
total,mpbamod,Proportion,0.9948838031081763,0.9850308790880502,1.0048909381985118,0.999755898361726,Restaurant,W8T41JZK0ZMEP
total,vegan,Count,2.27,1.95,2.68,1.0018677660051247,Restaurant,SRQS8F7JWA9MZ
total,vegan,Count,1.03,0.84,1.26,1.0023580276020907,Restaurant,2HRX9P6HKXA8V
total,vegan,Count,1.01,0.97,1.06,1.001053701656991,Restaurant,JHDN7CF1C03X5
total,vegan,Count,1.14,1.08,1.2,0.9996792264605362,Restaurant,L69HYJ4Y3TR91
total,vegan,Count,1.35,1.26,1.44,1.0003700246103804,Restaurant,ED5J990H5VAZT
total,vegan,Count,1.09,1.01,1.19,1.0010772925371891,Restaurant,W8T41JZK0ZMEP
total,vegan,Proportion,1.2562563476324593,1.1823719704588231,1.335881259877165,1.0000668769917576,Restaurant,SRQS8F7JWA9MZ
total,vegan,Proportion,1.0192448764914566,0.8555037734677596,1.2037882108921085,1.0003902292062894,Restaurant,2HRX9P6HKXA8V
total,vegan,Proportion,1.0019822247447452,0.9969587133618938,1.0067888050184637,1.0005845755397789,Restaurant,JHDN7CF1C03X5
total,vegan,Proportion,1.0217441704214383,1.0113973287615656,1.03198184410593,1.0002806871011702,Restaurant,L69HYJ4Y3TR91
total,vegan,Proportion,0.9979817686415696,0.9906132650954108,1.0058439001618265,1.00351949138407,Restaurant,ED5J990H5VAZT
total,vegan,Proportion,1,0.9938315630347766,1.0067888050184637,1.0000103517602377,Restaurant,W8T41JZK0ZMEP
total,vegetarian,Count,1,0.98,1.03,1.0010019716229643,Restaurant,SRQS8F7JWA9MZ
total,vegetarian,Count,0.92,0.8,1.04,1.0010840270330275,Restaurant,2HRX9P6HKXA8V
total,vegetarian,Count,1.03,0.98,1.08,1.001051882552342,Restaurant,JHDN7CF1C03X5
total,vegetarian,Count,1.23,1.14,1.33,1.0000861415428688,Restaurant,L69HYJ4Y3TR91
total,vegetarian,Count,1.58,1.45,1.73,1.0009499996889495,Restaurant,ED5J990H5VAZT
total,vegetarian,Count,1.1,1,1.21,1.0017423963073158,Restaurant,W8T41JZK0ZMEP
total,vegetarian,Proportion,1.0905804187347243,1.0233803045571623,1.1518188513888727,1.001465239228399,Restaurant,SRQS8F7JWA9MZ
total,vegetarian,Proportion,0.9729294719520967,0.8555037734677596,1.0645943590510007,1.0006205155114487,Restaurant,2HRX9P6HKXA8V
total,vegetarian,Proportion,1.0067888050184637,1.0019822247447452,1.0122967542169528,0.9996552720404369,Restaurant,JHDN7CF1C03X5
total,vegetarian,Proportion,1.0058439001618265,0.9969587133618938,1.0149526899409642,0.9999531064240765,Restaurant,L69HYJ4Y3TR91
total,vegetarian,Proportion,0.9895192582062144,0.9791483623609768,1,1.000225310058324,Restaurant,ED5J990H5VAZT
total,vegetarian,Proportion,0.9969587133618938,0.9906132650954108,1.0029602531456534,1.0010208557066103,Restaurant,W8T41JZK0ZMEP
vegan,mpbamod,Count,1.05,0.98,1.13,0.999975070249907,Restaurant,SRQS8F7JWA9MZ
vegan,mpbamod,Count,1.06,0.9,1.27,0.9994390940217887,Restaurant,2HRX9P6HKXA8V
vegan,mpbamod,Count,1.02,0.96,1.08,0.9996250686970451,Restaurant,JHDN7CF1C03X5
vegan,mpbamod,Count,1.13,1.01,1.38,1.0012498021534348,Restaurant,L69HYJ4Y3TR91
vegan,mpbamod,Count,1.05,1.03,1.07,1.0008098269589358,Restaurant,ED5J990H5VAZT
vegan,mpbamod,Count,1.03,0.94,1.12,0.9997468068537426,Restaurant,W8T41JZK0ZMEP
vegan,mpbamod,Proportion,1.0166891778440417,0.9607435561536403,1.091493425617897,1.0002887314513833,Restaurant,SRQS8F7JWA9MZ
vegan,mpbamod,Proportion,1.0058439001618265,0.9252855568989151,1.1044253752367947,1.000327823916916,Restaurant,2HRX9P6HKXA8V
vegan,mpbamod,Proportion,0.9803505238485178,0.9742021249237081,0.9861703143068244,1.0000662004774534,Restaurant,JHDN7CF1C03X5
vegan,mpbamod,Proportion,1.0200841112177017,0.9469843445639475,1.13051268020414,1.0000384213337385,Restaurant,L69HYJ4Y3TR91
vegan,mpbamod,Proportion,1.0241896249073048,1.0104906465227195,1.0378552826828715,1.000819176049534,Restaurant,ED5J990H5VAZT
vegan,mpbamod,Proportion,0.9959261213978506,0.9861703143068244,1.0048909381985118,1.0011725270752083,Restaurant,W8T41JZK0ZMEP
vegan,vegan,Count,342.44,149.07,878.13,1.0033431398094368,Restaurant,SRQS8F7JWA9MZ
vegan,vegan,Count,1.23,1.03,1.5,1.0126843450520802,Restaurant,2HRX9P6HKXA8V
vegan,vegan,Count,1.09,1.04,1.15,1.0083675111982358,Restaurant,JHDN7CF1C03X5
vegan,vegan,Count,1.24,1.14,1.34,1.0110567309044083,Restaurant,L69HYJ4Y3TR91
vegan,vegan,Count,1.46,1.32,1.61,1.0142487823419402,Restaurant,ED5J990H5VAZT
vegan,vegan,Count,1.06,0.99,1.15,1.0023168342201867,Restaurant,W8T41JZK0ZMEP
vegan,vegan,Proportion,2.0609917396608473,1.7445657419419476,2.45378234543722,0.9998702999532465,Restaurant,SRQS8F7JWA9MZ
vegan,vegan,Proportion,1.1703202072854084,0.9124435365554808,1.5198803035243746,0.9997633254004739,Restaurant,2HRX9P6HKXA8V
vegan,vegan,Proportion,1.0086550094987714,1.0029602531456534,1.0149526899409642,0.9999350513733586,Restaurant,JHDN7CF1C03X5
vegan,vegan,Proportion,1.0364147944268143,1.0200841112177017,1.052620071910597,0.9998277094752389,Restaurant,L69HYJ4Y3TR91
vegan,vegan,Proportion,1.0166891778440417,1.0077257952426748,1.025791204689333,1.0010806902658655,Restaurant,ED5J990H5VAZT
vegan,vegan,Proportion,1,0.9938315630347766,1.0058439001618265,1.0003799314978445,Restaurant,W8T41JZK0ZMEP
vegan,vegetarian,Count,1.01,0.96,1.06,1.0004564424841116,Restaurant,SRQS8F7JWA9MZ
vegan,vegetarian,Count,1.04,0.94,1.15,0.9998160641584312,Restaurant,2HRX9P6HKXA8V
vegan,vegetarian,Count,1.09,1.04,1.14,1.0006583219983534,Restaurant,JHDN7CF1C03X5
vegan,vegetarian,Count,1.14,1.04,1.26,0.9996131111149548,Restaurant,L69HYJ4Y3TR91
vegan,vegetarian,Count,1.2,1.09,1.34,1.0004997942257954,Restaurant,ED5J990H5VAZT
vegan,vegetarian,Count,1.05,0.96,1.15,1.0000881814975993,Restaurant,W8T41JZK0ZMEP
vegan,vegetarian,Proportion,1.0158242733348055,0.9850308790880502,1.058159820292016,1.0018573904807655,Restaurant,SRQS8F7JWA9MZ
vegan,vegetarian,Proportion,1.009576582776887,0.9690189854225577,1.0494252306643652,1.0022884316665983,Restaurant,2HRX9P6HKXA8V
vegan,vegetarian,Proportion,1.009576582776887,1.0048909381985118,1.0149526899409642,1.0030091038218443,Restaurant,JHDN7CF1C03X5
vegan,vegetarian,Proportion,1.0149526899409642,1.0039297727022005,1.026583631304232,0.9998999813143248,Restaurant,L69HYJ4Y3TR91
vegan,vegetarian,Proportion,1.0217441704214383,1.0077257952426748,1.0364147944268143,1.0002982135560976,Restaurant,ED5J990H5VAZT
vegan,vegetarian,Proportion,0.9959261213978506,0.9895192582062144,1.0029602531456534,1.0018732425623391,Restaurant,W8T41JZK0ZMEP
vegetarian,mpbamod,Count,1.23,1.14,1.32,0.9995268689415657,Restaurant,SRQS8F7JWA9MZ
vegetarian,mpbamod,Count,1.11,0.86,1.47,1.0011965390624813,Restaurant,2HRX9P6HKXA8V
vegetarian,mpbamod,Count,1,0.94,1.06,1.0014817555441016,Restaurant,JHDN7CF1C03X5
vegetarian,mpbamod,Count,1.14,1.01,1.29,1.0026126220999383,Restaurant,L69HYJ4Y3TR91
vegetarian,mpbamod,Count,1.02,1.01,1.04,0.9995368724863308,Restaurant,ED5J990H5VAZT
vegetarian,mpbamod,Count,1.07,0.97,1.18,1.0008787481199206,Restaurant,W8T41JZK0ZMEP
vegetarian,mpbamod,Proportion,1.229285111663931,1.145204834038768,1.3242148463013452,1.0005077043599013,Restaurant,SRQS8F7JWA9MZ
vegetarian,mpbamod,Proportion,1.0744232213528402,0.8804725142695762,1.3350671694700145,1.0021720420597307,Restaurant,2HRX9P6HKXA8V
vegetarian,mpbamod,Proportion,0.9803505238485178,0.9742021249237081,0.9861703143068244,1.0013849271889572,Restaurant,JHDN7CF1C03X5
vegetarian,mpbamod,Proportion,1.0985605433061179,0.9146993820210588,1.352816510349501,0.9997066526281678,Restaurant,L69HYJ4Y3TR91
vegetarian,mpbamod,Proportion,1.0104906465227195,1,1.020917177548195,0.9999044410106235,Restaurant,ED5J990H5VAZT
vegetarian,mpbamod,Proportion,0.9959261213978506,0.9861703143068244,1.0058439001618265,0.9994493104695896,Restaurant,W8T41JZK0ZMEP
