outcome,effect_type,mean,q5,q95,rhat,estimate_type,restaurant_id,ess_bulk
vegan,Slope Change,0.88,0.52,1.35,1.2379254203123982,Restaurant,2HRX9P6HKXA8V,NA
vegan,Level Change,1.02,0.89,1.19,1.1042661855442137,Restaurant,JHDN7CF1C03X5,NA
vegan,Level Change,0.88,0.78,0.99,1.0300032764527607,Restaurant,JHDN7CF1C03X5,NA
vegan,Slope Change,1.07,0.63,1.87,1.0620622155756783,Restaurant,JHDN7CF1C03X5,NA
vegan,Slope Change,0.76,0.37,1.53,1.4554506325512475,Restaurant,JHDN7CF1C03X5,NA
vegan,Level Change,1.22,0.96,1.69,1.0281237655465576,Restaurant,L69HYJ4Y3TR91,NA
vegan,Slope Change,5.55,1.18,38.13,1.2739312009640975,Restaurant,L69HYJ4Y3TR91,NA
vegan,Level Change,1.25,1.01,1.57,1.036456665838547,Restaurant,ED5J990H5VAZT,NA
vegan,Slope Change,1.6,1.04,2.39,1.112983195750834,Restaurant,ED5J990H5VAZT,NA
vegetarian,Level Change,1,0.77,1.3,1.001054292977993,Restaurant,VLZX7K2M9QD4T,NA
vegetarian,Slope Change,1.17,0.59,2.23,1.0030032901453683,Restaurant,VLZX7K2M9QD4T,NA
vegetarian,Level Change,1.24,1.09,1.44,1.005715633034964,Restaurant,SRQS8F7JWA9MZ,NA
vegetarian,Level Change,1.14,1,1.3,1.0004492942252883,Restaurant,SRQS8F7JWA9MZ,NA
vegetarian,Slope Change,0.82,0.41,1.46,1.0053538355041465,Restaurant,SRQS8F7JWA9MZ,NA
vegetarian,Slope Change,0.95,0.52,1.89,1.0026715977782372,Restaurant,SRQS8F7JWA9MZ,NA
vegetarian,Level Change,0.58,0.46,0.73,1.0028951558611743,Restaurant,2HRX9P6HKXA8V,NA
vegetarian,Slope Change,1.21,0.88,1.69,1.0024891795863617,Restaurant,2HRX9P6HKXA8V,NA
vegetarian,Level Change,0.96,0.83,1.13,1.003598831161121,Restaurant,JHDN7CF1C03X5,NA
vegetarian,Level Change,0.78,0.67,0.91,1.0006047926981503,Restaurant,JHDN7CF1C03X5,NA
vegetarian,Slope Change,0.77,0.41,1.2,1.0035552917202377,Restaurant,JHDN7CF1C03X5,NA
vegetarian,Slope Change,1.33,0.85,2.61,1.005480943997255,Restaurant,JHDN7CF1C03X5,NA
vegetarian,Level Change,1.51,1.18,1.94,1.000401218181268,Restaurant,L69HYJ4Y3TR91,NA
vegetarian,Slope Change,1.66,0.92,4.23,1.0025262666055978,Restaurant,L69HYJ4Y3TR91,NA
vegetarian,Level Change,1.06,0.86,1.3,1.0000326672461115,Restaurant,ED5J990H5VAZT,NA
vegetarian,Slope Change,1.31,1,1.75,1.0056054204409535,Restaurant,ED5J990H5VAZT,NA
