outcome,exposure_group,exposure_type,mean,q2.5,q16,q84,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
vegan,Exposure: Vegan,Form: Proportion,1.0669459340048058,0.9024777390065771,0.9806538616843467,1.159285872051479,1.26251202263343,1.9117193110340787,1.0669459340048058,NA,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegan/vegan_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.9806538616843467,1.159285872051479
vegan,Exposure: Vegetarian,Form: Count,1.0050283499312582,0.9264273948992237,0.9650707965824858,1.0434836301855053,1.0929530220176231,1.0050283499312582,1.0005017008097739,NA,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegan/vegetarian_dishes_count/plots/all_restaurants_weekly.png,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.9650707965824858,1.0434836301855053
vegan,Exposure: Vegetarian,Form: Proportion,1.0311822917227522,0.9104395718603676,0.9695088538047256,1.10055059116502,1.1896432550423128,1.3594225309769277,1.0311822917227522,NA,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegan/vegetarian_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.9695088538047256,1.10055059116502
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,1.007716066590318,0.8021728224427509,0.8974774466645604,1.1310272470976666,1.2668505929708564,1.007716066590318,1.0007689404832705,NA,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count/plots/2HRX9P6HKXA8V.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8974774466645604,1.1310272470976666
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,0.9979875277432668,0.9749292909175434,0.986715677918287,1.0090433946213064,1.0203666540917276,0.9979875277432668,0.9997985702896888,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.986715677918287,1.0090433946213064
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,1.0016326062528442,0.9619000832510703,0.9809921765726511,1.022244567918375,1.0414482187207994,1.0016326062528442,1.000163140806014,NA,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count/plots/JHDN7CF1C03X5.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9809921765726511,1.022244567918375
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,0.9783175190824581,0.8191990146642879,0.8988725190720004,1.0720772396871912,1.170148185426054,0.9783175190824581,0.9978103008965494,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8988725190720004,1.0720772396871912
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,1.007742317935775,0.9197361210746905,0.9608355581522496,1.0552208906121858,1.103014322248669,1.007742317935775,1.000771547489756,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9608355581522496,1.0552208906121858
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,1.0039159975597287,0.9759234953531873,0.9895254719769994,1.0184083156151267,1.0323639702689544,1.0039159975597287,1.0003909113859497,NA,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count/plots/W8T41JZK0ZMEP.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9895254719769994,1.0184083156151267
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,0.9830492926256263,0.6828647345991028,0.8287006390333075,1.167171102555827,1.395861740948109,0.8428551605805414,0.9830492926256263,NA,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_prop/plots/2HRX9P6HKXA8V.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8287006390333075,1.167171102555827
