outcome,exposure_group,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,pred_path,color_group,step_size
total,vegetarian,count,1.02,NA,1.0018575892713752,1.01,1.03,1.00060944923047,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_count/plots/W8T41JZK0ZMEP.png,Total,0.5
total,vegetarian,proportion,1.0438579622399218,NA,1.0438579622399218,0.8739716291356506,1.1830345510319877,1.0064553162769,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_prop/plots/2HRX9P6HKXA8V.png,Total,0.5
total,vegetarian,proportion,1.1548069543228003,NA,1.1548069543228003,1.058159820292016,1.280260877611609,1.01193458523088,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_prop/plots/ED5J990H5VAZT.png,Total,0.5
total,vegetarian,proportion,1.0383742150913897,NA,1.0383742150913897,0.9384855431870388,1.13051268020414,1.01454089613666,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_prop/plots/JHDN7CF1C03X5.png,Total,0.5
total,vegetarian,proportion,1.1932306264245447,NA,1.1932306264245447,1.0519880555770451,1.4500187368137778,1.02293123712029,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_prop/plots/L69HYJ4Y3TR91.png,Total,0.5
total,vegetarian,proportion,1.1000143788217194,NA,1.1000143788217194,1.0557299559853683,1.1481227094267568,1.00048367458432,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_prop/plots/SRQS8F7JWA9MZ.png,Total,0.5
total,vegetarian,proportion,1.1706965757733718,NA,1.1706965757733718,1.0679618300990312,1.3175987353894736,1.00972816111389,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_prop/plots/W8T41JZK0ZMEP.png,Total,0.5
nonvegan,mpbamod,count,0.91,NA,0.9906412461174102,0.77,1.06,1.00145994979798,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count/plots/2HRX9P6HKXA8V.png,Animal,0.5
nonvegan,mpbamod,count,1.02,NA,1.0019123713884193,1,1.04,1.00051753582691,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count/plots/ED5J990H5VAZT.png,Animal,0.5
nonvegan,mpbamod,count,1,NA,1.0002896238769512,0.97,1.03,1.00216613461077,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count/plots/JHDN7CF1C03X5.png,Animal,0.5
nonvegan,mpbamod,count,1.07,NA,1.0070585529660079,0.94,1.23,1.00715646816109,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count/plots/L69HYJ4Y3TR91.png,Animal,0.5
