outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,pred_path,color_group
nonvegan,Vegetarian,Proportion,0.983774627618708,0.8516121723999239,1.1264748079226736,1.06921860384458,0.983774627618708,1.00176184450764,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_prop/plots/ED5J990H5VAZT.png,Animal
nonvegan,Vegetarian,Proportion,0.977006852150104,0.8424531492505747,1.1234398897031515,1.01436699255016,0.977006852150104,1.02165835255882,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_prop/plots/JHDN7CF1C03X5.png,Animal
nonvegan,Vegetarian,Proportion,0.962792354113339,0.7443134921349276,1.2069928882376706,1.30789865721209,0.962792354113339,1.00478580899006,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_prop/plots/L69HYJ4Y3TR91.png,Animal
nonvegan,Vegetarian,Proportion,1.00069960859029,0.9431474225541508,1.0625233255135718,1.05005459599401,1.00069960859029,1.00208450867949,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_prop/plots/SRQS8F7JWA9MZ.png,Animal
nonvegan,Vegetarian,Proportion,0.919141791192069,0.7867861606773329,1.0520575572145578,0.542651178296021,0.919141791192069,1.00367636320652,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_prop/plots/W8T41JZK0ZMEP.png,Animal
meat,MPBA-Modifiable,Count,1.08350453250655,0.863369365696161,1.327827711736854,1.08350453250655,1.00751834997467,1.0077159350856,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_count/plots/2HRX9P6HKXA8V.png,Animal
meat,MPBA-Modifiable,Count,0.996985849922077,0.9712222950521092,1.0250159103371004,0.996985849922077,0.999689422230574,1.00100015973338,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_count/plots/ED5J990H5VAZT.png,Animal
meat,MPBA-Modifiable,Count,0.999487246010994,0.9579469160670795,1.0413777202698564,0.999487246010994,0.99992888613591,1.00022160790297,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_count/plots/JHDN7CF1C03X5.png,Animal
meat,MPBA-Modifiable,Count,0.946790568748489,0.786228290732276,1.121932183488317,0.946790568748489,0.994176010074593,1.00529691349106,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_count/plots/L69HYJ4Y3TR91.png,Animal
meat,MPBA-Modifiable,Count,0.945366260244667,0.8525995177704521,1.0447850808430967,0.945366260244667,0.994282027206632,1.00562808285876,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_count/plots/SRQS8F7JWA9MZ.png,Animal
meat,MPBA-Modifiable,Count,0.983966999576419,0.954114551304102,1.0133463641237621,0.983966999576419,0.998374404193097,1.00189130576359,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_count/plots/W8T41JZK0ZMEP.png,Animal
