estimate,std_error,t_value,p_value,term,ci_lower,ci_upper,location_id,n_obs,n_customers,n_restaurants,analysis,outcome_name
-1.6262065599658708,2.0604137618614735,-0.7892621327168191,0.42995881397844116,year_cat2016,-5.664617533214359,2.412204413282617,pooled,66784,5836,4,A5,vegetarian
-1.550438344014758,1.7550897422540834,-0.8833954792667815,0.37702263246667744,year_cat2017,-4.990414238832761,1.8895375508032453,pooled,66784,5836,4,A5,vegetarian
-1.179636710880174,1.4863344924805586,-0.7936549389441043,0.4273963397310939,year_cat2018,-4.092852316142069,1.733578894381721,pooled,66784,5836,4,A5,vegetarian
-0.9202252321402824,1.2107566750793652,-0.7600414278781172,0.4472298219658422,year_cat2019,-3.2933083152958385,1.4528578510152736,pooled,66784,5836,4,A5,vegetarian
-0.7663633307370159,0.9952903497787854,-0.7699897129589862,0.4413059948742851,year_cat2020,-2.717132416303435,1.1844057548294034,pooled,66784,5836,4,A5,vegetarian
-0.36270710861738953,0.6664840246115126,-0.5442097563085749,0.5862971388549201,year_cat2021,-1.669015796855954,0.9436015796211751,pooled,66784,5836,4,A5,vegetarian
-0.06808166368066718,0.4098451495732735,-0.1661155774359001,0.8680659954524145,year_cat2022,-0.8713781568442832,0.7352148294829489,pooled,66784,5836,4,A5,vegetarian
-3.889176715082307e-4,8.285522449182881e-4,-0.4693942643853265,0.6387878473520245,date_code,-0.0020128800715480755,0.001235044728531614,pooled,66784,5836,4,A5,vegetarian
0.00178951149322266,0.017417322404199333,0.10274320309941595,0.9181667839456538,day_of_week_cat1,-0.032348440419008036,0.03592746340545335,pooled,66784,5836,4,A5,vegetarian
0.008531997095339451,0.012072699328498877,0.7067182626837044,0.4797415780711844,day_of_week_cat2,-0.015130493588518347,0.03219448777919725,pooled,66784,5836,4,A5,vegetarian
-0.020979064835715194,0.026981811015792962,-0.777526194347583,0.43684838630954426,day_of_week_cat3,-0.0738634144266694,0.031905284755239016,pooled,66784,5836,4,A5,vegetarian
-0.0246113931178827,0.029690936804252166,-0.8289193864155204,0.40715002460519667,day_of_week_cat4,-0.08280562925421694,0.03358284301845155,pooled,66784,5836,4,A5,vegetarian
0.005620585159464475,0.04876136591682974,0.11526718035444856,0.9082333512168357,day_of_week_cat5,-0.0899516920375218,0.10119286235645077,pooled,66784,5836,4,A5,vegetarian
-0.00818519931593418,0.004655651703943163,-1.7581210615479725,0.07872691285805815,inflation,-0.01731027665566278,9.398780237944177e-4,pooled,66784,5836,4,A5,vegetarian
-7.521990726498217e-6,7.10890774432712e-5,-0.10581077989794897,0.9157324836859891,any_exposureTRUE:date_code,-1.4685658251530976e-4,1.3181260106231334e-4,pooled,66784,5836,4,A5,vegetarian
0.0854277479966308,0.042471700653292345,2.0114039862448636,0.044282802644374376,any_exposureTRUE:gendermale,0.0021832147161778143,0.16867228127708378,pooled,66784,5836,4,A5,vegetarian
