outcome,exposure_group,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,pred_path,color_group,n_rest_in_group,rest_rank,step_size
total,mpbamod,proportion,-3.506557897319982,NA,0.6968495245121963,-4.605170185988091,-2.0402208285265546,1.00067449686404,Restaurant,78AY09MVJVTYE,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_prop/plots/78AY09MVJVTYE.png,Total,18,17,0.5
total,mpbamod,proportion,0.4252677354043441,NA,1.043615931120845,-0.527632742082372,1.3962446919730587,1.0027101488706,Restaurant,9XKJD8DQTH559,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_prop/plots/9XKJD8DQTH559.png,Total,18,8,0.5
total,mpbamod,proportion,-4.605170185988091,NA,0.6449528153617873,-Inf,-1.6607312068216509,1.00043657411351,Restaurant,C0BE4NDSW26QN,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_prop/plots/C0BE4NDSW26QN.png,Total,18,18,0.5
total,mpbamod,proportion,-2.4079456086518722,NA,0.7881480659486767,-3.2188758248682006,-1.5606477482646683,1.00033045623702,Restaurant,CB2KHY1C2G9PT,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_prop/plots/CB2KHY1C2G9PT.png,Total,18,13,0.5
total,mpbamod,proportion,0.22314355131420976,NA,1.0228589786403957,-0.06187540371808753,0.5187937934151675,1.00319087191199,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_prop/plots/ED5J990H5VAZT.png,Total,18,10,0.5
total,mpbamod,proportion,0.23901690047049992,NA,1.0239241510345656,-0.7133498878774648,1.332366019094335,1.00361875256132,Restaurant,EMBVNVD207CC6,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_prop/plots/EMBVNVD207CC6.png,Total,18,9,0.5
total,mpbamod,proportion,-0.8209805520698302,NA,0.9204676509476349,-2.0402208285265546,0.3576744442718159,1.00012440014778,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_prop/plots/JHDN7CF1C03X5.png,Total,18,11,0.5
total,mpbamod,proportion,1.1474024528375417,NA,1.121410343533372,-2.3025850929940455,4.602767301371781,1.00079696146303,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_prop/plots/L69HYJ4Y3TR91.png,Total,18,5,0.5
total,mpbamod,proportion,-2.8134107167600364,NA,0.760745816487095,-4.605170185988091,-0.4942963218147801,1.00110515632344,Restaurant,LBZEEFSBJNB3Z,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_prop/plots/LBZEEFSBJNB3Z.png,Total,18,15,0.5
total,mpbamod,proportion,2.3263016196113617,NA,1.2618802155244022,-2.659260036932778,8.380470426060436,0.999962619077624,Restaurant,LFZFT3VASXPED,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_prop/plots/LFZFT3VASXPED.png,Total,18,2,0.5
total,mpbamod,proportion,2.0255131996542803,NA,1.2245702582011226,-0.6539264674066639,5.525054453372377,1.00313453609578,Restaurant,LQ5EH4BKGV61T,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_prop/plots/LQ5EH4BKGV61T.png,Total,18,3,0.5
total,mpbamod,proportion,4.914418036354433,NA,1.6346662916276413,2.7206373166076814,7.167485307664348,1.00127546662165,Restaurant,S8MT0YGD2KTN9,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_prop/plots/S8MT0YGD2KTN9.png,Total,18,1,0.5
total,mpbamod,proportion,1.0577902941478545,NA,1.1114087264150847,-1.8325814637483102,4.155282860327181,1.00139135536813,Restaurant,SAFK7ND1HR6XS,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_prop/plots/SAFK7ND1HR6XS.png,Total,18,6,0.5
total,mpbamod,proportion,1.3912819026309295,NA,1.1491397166951307,0.8754687373538999,1.9430489167742813,1.00126467442645,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_prop/plots/SRQS8F7JWA9MZ.png,Total,18,4,0.5
total,mpbamod,proportion,-0.9942522733438669,NA,0.9047378832586084,-1.5141277326297755,-0.527632742082372,1.00181812205029,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_prop/plots/V3Q26BHF3SE2H.png,Total,18,12,0.5
total,mpbamod,proportion,0.5709795465857378,NA,1.0586540244118852,-0.4307829160924542,1.6054298910365616,1.00303730396481,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_prop/plots/W8T41JZK0ZMEP.png,Total,18,7,0.5
total,vegan,count,0.16551443847757333,NA,1.0170882350278196,0.13976194237515863,0.19885085874516517,1.01728539081853,Restaurant,1SQPTEGYPH0GA,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegan_dishes_count/plots/1SQPTEGYPH0GA.png,Total,18,6,0.5
total,vegan,count,0,NA,0.9998339462405037,-0.08338160893905101,0.0769610411361284,1.02792672573802,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegan_dishes_count/plots/2HRX9P6HKXA8V.png,Total,18,16,0.5
total,vegan,count,0.01980262729617973,NA,1.0015323162754792,0,0.02955880224154443,1.13455461536446,Restaurant,78AY09MVJVTYE,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegan_dishes_count/plots/78AY09MVJVTYE.png,Total,18,14,0.5
total,vegan,count,0.02955880224154443,NA,1.0028473567755185,0.009950330853168092,0.04879016416943205,1.06080834457564,Restaurant,9XKJD8DQTH559,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegan_dishes_count/plots/9XKJD8DQTH559.png,Total,18,11,0.5
total,vegan,count,0.04879016416943205,NA,1.0051915812000933,0.01980262729617973,0.08617769624105241,1.02738668660974,Restaurant,C0BE4NDSW26QN,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegan_dishes_count/plots/C0BE4NDSW26QN.png,Total,18,10,0.5
total,vegan,count,0.02955880224154443,NA,1.0031026327723083,0.01980262729617973,0.04879016416943205,1.06178385600145,Restaurant,CB2KHY1C2G9PT,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegan_dishes_count/plots/CB2KHY1C2G9PT.png,Total,18,12,0.5
total,vegan,count,0.22314355131420976,NA,1.0228922592061005,0.1823215567939546,0.27763173659827955,1.13908157221854,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegan_dishes_count/plots/ED5J990H5VAZT.png,Total,18,3,0.5
total,vegan,count,0.26236426446749106,NA,1.0266710866707618,0.13976194237515863,0.37843643572024505,1.04379036900522,Restaurant,EMBVNVD207CC6,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegan_dishes_count/plots/EMBVNVD207CC6.png,Total,18,2,0.5
total,vegan,count,-0.01005033585350145,NA,0.9992822041265184,-0.020202707317519466,0.009950330853168092,1.03865774437348,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegan_dishes_count/plots/JHDN7CF1C03X5.png,Total,18,17,0.5
total,vegan,count,0.10436001532424286,NA,1.0103864179659614,0.06765864847381486,0.14842000511827322,1.05524720538142,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegan_dishes_count/plots/L69HYJ4Y3TR91.png,Total,18,8,0.5
total,vegan,count,0.10436001532424286,NA,1.010173650440911,0.04879016416943205,0.14842000511827322,1.15945091850274,Restaurant,LBZEEFSBJNB3Z,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegan_dishes_count/plots/LBZEEFSBJNB3Z.png,Total,18,9,0.5
total,vegan,count,0.009950330853168092,NA,1.0008171807202415,-0.12783337150988489,0.17395330712343798,1.04609513191193,Restaurant,LFZFT3VASXPED,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegan_dishes_count/plots/LFZFT3VASXPED.png,Total,18,15,0.5
total,vegan,count,0.1823215567939546,NA,1.0186904574043572,0.03922071315328133,0.35065687161316933,1.02565136598334,Restaurant,LQ5EH4BKGV61T,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegan_dishes_count/plots/LQ5EH4BKGV61T.png,Total,18,4,0.5
total,vegan,count,-0.020202707317519466,NA,0.997565087017423,-0.09431067947124129,0.058268908123975824,1.10228008023036,Restaurant,S8MT0YGD2KTN9,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegan_dishes_count/plots/S8MT0YGD2KTN9.png,Total,18,18,0.5
total,vegan,count,0.131028262406404,NA,1.0135980484998186,-0.08338160893905101,0.3576744442718159,1.0135674055875,Restaurant,SAFK7ND1HR6XS,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegan_dishes_count/plots/SAFK7ND1HR6XS.png,Total,18,7,0.5
total,vegan,count,0.6678293725756554,NA,1.0690550077702852,0.5306282510621704,0.7747271675523681,1.07891160712904,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegan_dishes_count/plots/SRQS8F7JWA9MZ.png,Total,18,1,0.5
total,vegan,count,0.17395330712343798,NA,1.017281132378893,0.12221763272424911,0.22314355131420976,1.03347322846438,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegan_dishes_count/plots/V3Q26BHF3SE2H.png,Total,18,5,0.5
total,vegan,count,0.02955880224154443,NA,1.0026455627236934,0.009950330853168092,0.03922071315328133,1.01762030416548,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegan_dishes_count/plots/W8T41JZK0ZMEP.png,Total,18,13,0.5
total,vegan,proportion,-1.2378743560016174,NA,0.8831553826400047,-2.5257286443082556,-0.08338160893905101,1.0017327426344,Restaurant,1SQPTEGYPH0GA,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegan_dishes_prop/plots/1SQPTEGYPH0GA.png,Total,18,18,0.5
total,vegan,proportion,0.06765864847381486,NA,1.0071887946265305,-1.3862943611198906,1.4973884086254774,1.00148559051907,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegan_dishes_prop/plots/2HRX9P6HKXA8V.png,Total,18,16,0.5
