outcome,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,source,pred_path,color_group,n_rest_in_group,rest_rank,step_size
Chicken,Presence,0.3364722366212129,NA,1.0344121637543686,0.13976194237515863,0.5481214085096876,1.00081823236432,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/chicken_p/chicken_dishes_presence/plots/W8T41JZK0ZMEP.png,Animal,6,6,0.15
Dairy,Count,0.3293037471426003,NA,1.033302702902953,0.131028262406404,0.5068176023684519,1.01608545141918,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_count/plots/9XKJD8DQTH559.png,Animal,10,1,0.15
Dairy,Count,0.03922071315328133,NA,1.003716311503973,-0.10536051565782628,0.16551443847757333,1.00084055863915,Restaurant,C0BE4NDSW26QN,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_count/plots/C0BE4NDSW26QN.png,Animal,10,7,0.15
Dairy,Count,0.04879016416943205,NA,1.0046085294426335,0.009950330853168092,0.08617769624105241,1.00176526838466,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_count/plots/ED5J990H5VAZT.png,Animal,10,5,0.15
Dairy,Count,0.12221763272424911,NA,1.0122403831055269,-0.01005033585350145,0.27763173659827955,1.03184241093957,Restaurant,EMBVNVD207CC6,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_count/plots/EMBVNVD207CC6.png,Animal,10,2,0.15
Dairy,Count,0.04879016416943205,NA,1.0045555739887049,0.009950330853168092,0.0769610411361284,1.0000880460273,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_count/plots/JHDN7CF1C03X5.png,Animal,10,6,0.15
Dairy,Count,0,NA,1.0002321161890084,-0.07257069283483537,0.0769610411361284,1.01097476057465,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_count/plots/LBZEEFSBJNB3Z.png,Animal,10,9,0.15
Dairy,Count,0.09531017980432493,NA,1.0098271539375048,-0.19845093872383832,0.4382549309311553,1.00582261438459,Restaurant,LFZFT3VASXPED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_count/plots/LFZFT3VASXPED.png,Animal,10,4,0.15
Dairy,Count,0.11332868530700327,NA,1.0115694899812002,-0.12783337150988489,0.3920420877760237,1.00566611603791,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_count/plots/SAFK7ND1HR6XS.png,Animal,10,3,0.15
Dairy,Count,-0.020202707317519466,NA,0.9982275746672912,-0.12783337150988489,0.08617769624105241,1.00104520752112,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_count/plots/V3Q26BHF3SE2H.png,Animal,10,10,0.15
Dairy,Count,0.02955880224154443,NA,1.00331330502032,0.009950330853168092,0.058268908123975824,1.00390860948262,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_count/plots/W8T41JZK0ZMEP.png,Animal,10,8,0.15
Dairy,Presence,0.8285518175661483,NA,1.0863044615255655,0.5007752879124892,1.1568811967920856,1.00048490257787,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_presence/plots/9XKJD8DQTH559.png,Animal,10,8,0.15
Dairy,Presence,1.0224509277025455,NA,1.107719493966233,-0.7985076962177716,2.9902170928658807,1.00517675955765,Restaurant,C0BE4NDSW26QN,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_presence/plots/C0BE4NDSW26QN.png,Animal,10,7,0.15
Dairy,Presence,0.058268908123975824,NA,1.0059011834537408,-0.07257069283483537,0.19885085874516517,1.00060720826738,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_presence/plots/ED5J990H5VAZT.png,Animal,10,9,0.15
Dairy,Presence,2.0425181875752383,NA,1.2265997602490986,1.144222799920162,3.0223742045004123,1.0020758557435,Restaurant,EMBVNVD207CC6,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_presence/plots/EMBVNVD207CC6.png,Animal,10,1,0.15
Dairy,Presence,1.3887912413184778,NA,1.1490215872485214,-0.4620354595965587,3.5139306516493947,1.02161704956889,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_presence/plots/JHDN7CF1C03X5.png,Animal,10,3,0.15
Dairy,Presence,1.4011829736136412,NA,1.1504884649700842,-0.3285040669720361,3.5759906720353185,1.02035398233169,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_presence/plots/LBZEEFSBJNB3Z.png,Animal,10,2,0.15
Dairy,Presence,1.2267122912954254,NA,1.1303729779631868,-0.5621189181535413,3.2767673032839784,1.00492199159183,Restaurant,LFZFT3VASXPED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_presence/plots/LFZFT3VASXPED.png,Animal,10,5,0.15
Dairy,Presence,1.0715836162801904,NA,1.1129616783350107,-0.6733445532637656,3.015044584586364,1.00733732615629,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_presence/plots/SAFK7ND1HR6XS.png,Animal,10,6,0.15
Dairy,Presence,-0.18632957819149348,NA,0.9817099799808898,-0.4307829160924542,0.06765864847381486,1.00059554887124,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_presence/plots/V3Q26BHF3SE2H.png,Animal,10,10,0.15
Dairy,Presence,1.3454723665996355,NA,1.1440836579717153,-0.40047756659712525,3.4937765629552486,1.01041356809208,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_presence/plots/W8T41JZK0ZMEP.png,Animal,10,4,0.15
Egg,Count,0.06765864847381486,NA,1.0067420505311646,0.009950330853168092,0.14842000511827322,1.00552521702983,Restaurant,78AY09MVJVTYE,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/egg_p/egg_dishes_count/plots/78AY09MVJVTYE.png,Animal,5,1,0.15
Egg,Count,0.02955880224154443,NA,1.0032804928312435,0,0.06765864847381486,1.01277388121505,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/egg_p/egg_dishes_count/plots/ED5J990H5VAZT.png,Animal,5,5,0.15
Egg,Count,0.03922071315328133,NA,1.0040866564405508,-0.040821994520255166,0.10436001532424286,1.00158137165739,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/egg_p/egg_dishes_count/plots/LBZEEFSBJNB3Z.png,Animal,5,4,0.15
Egg,Count,0.06765864847381486,NA,1.007008737257334,0.02955880224154443,0.131028262406404,1.01002967809778,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/egg_p/egg_dishes_count/plots/V3Q26BHF3SE2H.png,Animal,5,2,0.15
Egg,Count,0.058268908123975824,NA,1.0055569797520991,0.02955880224154443,0.08617769624105241,1.00009575366493,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/egg_p/egg_dishes_count/plots/W8T41JZK0ZMEP.png,Animal,5,3,0.15
