outcome,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,source,pred_path,exposure_strip,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Egg,Form: Count,-2.711796928671581,-4.421931757982371,-1.9244368837385646,1.0686726369583643,1.0066638404530024,1.00552521702983,Restaurant,78AY09MVJVTYE,finalized_redone_trunc,NA,Exposure: Egg Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-3.3489129680194907,-2.0746808893236715
Egg,Form: Count,-3.426807101253622,NA,-2.728362404210093,1.0330240940967719,1.003254335314309,1.01277388121505,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,NA,Exposure: Egg Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Egg,Form: Count,-3.184137058882245,NA,-2.2392038036910176,1.0422834884711918,1.0041499842545365,1.00158137165739,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,NA,Exposure: Egg Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Egg,Form: Count,-2.668468830118783,-3.6872277189797753,-2.0532057301897324,1.0718202200986402,1.006959942949831,1.01002967809778,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,NA,Exposure: Egg Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-3.0853111741978756,-2.25162648603969
Egg,Form: Count,-2.890865015367632,-3.5335103739807323,-2.4654333414172283,1.057098783624821,1.0055682613696368,1.00009575366493,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Exposure: Egg Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-3.1633336461236277,-2.618396384611636
Ground meat,Form: Count,-1.7298620897114372,-2.4442538471798896,-1.311782427712361,1.1939998161593441,1.0178890114459225,1.00017568735827,Restaurant,1SQPTEGYPH0GA,finalized_redone_trunc,NA,Exposure: Ground Meat Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-2.018757859983766,-1.4409663194391085
Ground meat,Form: Count,-2.568062032578986,-3.5050605189507373,-2.083823930332807,1.079700850655342,1.0076978787525315,0.999920558778355,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,NA,Exposure: Ground Meat Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-2.930622386818254,-2.205501678339718
Ground meat,Form: Count,-1.82150900424147,NA,-0.9872836378115579,1.1756032707671342,1.0163097185324796,1.00055291215551,Restaurant,C0BE4NDSW26QN,finalized_redone_trunc,NA,Exposure: Ground Meat Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Ground meat,Form: Count,NA,NA,-3.3030801906571243,0.9228299187009045,0.9920011294340103,1.00282151810237,Restaurant,CB2KHY1C2G9PT,finalized_redone_trunc,NA,Exposure: Ground Meat Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Ground meat,Form: Count,-0.41830721276766836,-4.2738221269979215,1.19550515475743,1.9312355939781998,1.0680301817676174,1.02723563602912,Restaurant,EMBVNVD207CC6,finalized_redone_trunc,NA,Exposure: Ground Meat Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.8135437642358703,0.9769293387005336
Ground meat,Form: Count,-2.143690900248491,-3.688611989885682,-1.5365671696187628,1.1243683273215466,1.0117911126287769,1.00135910228468,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,NA,Exposure: Ground Meat Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-2.692681925826787,-1.5946998746701955
Ground meat,Form: Count,-1.0358615745339605,NA,0.33897855745924144,1.426067218569132,1.0361294065901576,1.01468052397313,Restaurant,LFZFT3VASXPED,finalized_redone_trunc,NA,Exposure: Ground Meat Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Ground meat,Form: Count,-1.6378344633419293,NA,-0.466029695789184,1.2145827089196166,1.0196302451648773,1.01464297322953,Restaurant,LQ5EH4BKGV61T,finalized_redone_trunc,NA,Exposure: Ground Meat Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Ground meat,Form: Count,-2.178894248815169,NA,-1.4470119247552826,1.1198184742173263,1.011380935182686,1.00045313832555,Restaurant,S8MT0YGD2KTN9,finalized_redone_trunc,NA,Exposure: Ground Meat Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Ground meat,Form: Count,-1.3382513411805124,NA,0.13568538361938526,1.2999215908118054,1.02657743932162,1.01086721974932,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,NA,Exposure: Ground Meat Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Ground meat,Form: Count,-1.7776111411264512,-2.720286940546543,-1.3124114785826502,1.1841692591000537,1.017047831743457,1.00126469788833,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc,NA,Exposure: Ground Meat Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-2.136763044688669,-1.4184592375642335
Ground meat,Form: Count,-1.004836637468971,-1.4378456887951667,-0.6731228131440409,1.442105844959637,1.037288859780444,1.00450635504269,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Exposure: Ground Meat Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.199919003706503,-0.809754271231439
