path,height,y_lo,y_hi,y_span,px_per_y_unit,n_points,status
/home/godli/testing/forest_plots/total_adjusted/t2_sorted/A3_its_forest_restaurants.html,2490.0000,-4.9890,46.1433,51.1322,48.6973,120,OK
/home/godli/testing/forest_plots/total_adjusted/t2_sorted/A4_its_targeted_forest_restaurants.html,1170.0000,-3.3381,20.6614,23.9995,48.7510,52,OK
/home/godli/testing/forest_plots/total_adjusted/t2_sorted/A5_gaussian_iid_day_forest_restaurants_adj.html,3600.0000,0.4275,157.7094,157.2819,22.8888,1054,CRAMPED
/home/godli/testing/forest_plots/total_adjusted/t2_sorted/A5_gaussian_iid_forest_restaurants_adj.html,3600.0000,-62.7000,658.4750,721.1750,4.9919,1044,CRAMPED
/home/godli/testing/forest_plots/total_adjusted/t2_sorted/A6_gaussian_iid_day_targeted_forest_restaurants_adj.html,3600.0000,2.1231,81.9209,79.7978,45.1140,334,OK
/home/godli/testing/forest_plots/total_adjusted/t2_sorted/grid.html,,,,,,,NO_JSON
/home/godli/testing/forest_plots/total_adjusted/t2_sorted/z_A5_transaction_gaussian_iid_forest_restaurants_adj.html,,-9.6450,7.3850,17.0300,23.4880,1044,NO_HEIGHT
/home/godli/testing/forest_plots/z_log_and_overlay/forest_plots_restaurants_trunc_recolored_adj_log/A1_proportion_forest_restaurants_log.html,,-0.7618,6.3723,7.1340,56.0695,428,NO_HEIGHT
/home/godli/testing/forest_plots/z_log_and_overlay/forest_plots_restaurants_trunc_recolored_adj_log/A2_proportion_targeted_forest_restaurants_log.html,,5.8950,6.0900,0.1950,2051.2821,8,NO_HEIGHT
/home/godli/testing/forest_plots/z_log_and_overlay/forest_plots_restaurants_trunc_recolored_adj_log/A3_its_forest_restaurants_log.html,,-1.3890,6.6970,8.0860,49.4682,162,NO_HEIGHT
/home/godli/testing/forest_plots/z_log_and_overlay/forest_plots_restaurants_trunc_recolored_adj_log/A4_its_targeted_forest_restaurants_log.html,,3.8875,4.0975,0.2100,1904.7619,8,NO_HEIGHT
/home/godli/testing/forest_plots/z_log_and_overlay/forest_plots_restaurants_trunc_recolored_adj_overlay/A1_proportion_forest_restaurants.html,,-0.7618,6.3723,7.1340,56.0695,452,NO_HEIGHT
