outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,pred_path,color_group,step_size
nonvegan,mpbamod,Count,-0.002250683546783,-0.0700112915,0.06759213325,0.9977518473423314,0.9997749569713038,0.99980634594859,Restaurant,1SQPTEGYPH0GA,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/1SQPTEGYPH0GA.png,Animal,0.15
nonvegan,mpbamod,Count,-0.00847144994584303,-0.19371110065,0.17287935995,0.9915643316742252,0.9991532137314318,1.00034753022509,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/2HRX9P6HKXA8V.png,Animal,0.15
nonvegan,mpbamod,Count,-0.0010861474656,-0.080653535475,0.086073508725,0.9989144421790589,0.999891391151808,0.99979377936328,Restaurant,78AY09MVJVTYE,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/78AY09MVJVTYE.png,Animal,0.15
nonvegan,mpbamod,Count,-0.00355792698066667,-0.0292784665,0.025093010825,0.9964483949416647,0.9996442705886495,1.00138451815796,Restaurant,9XKJD8DQTH559,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/9XKJD8DQTH559.png,Animal,0.15
nonvegan,mpbamod,Count,0.0130919959184227,-0.1594337727,0.1688356597725,1.0131780713197482,1.0013100569677458,1.00009539972885,Restaurant,C0BE4NDSW26QN,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/C0BE4NDSW26QN.png,Animal,0.15
nonvegan,mpbamod,Count,0.009622556720775,-0.0647151246175,0.085537327235,1.009669002375476,1.0009627187886003,0.999204531021544,Restaurant,CB2KHY1C2G9PT,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/CB2KHY1C2G9PT.png,Animal,0.15
nonvegan,mpbamod,Count,0.00167493289864413,-0.0183721442125,0.0187488631025,1.0016763363822225,1.0001675073176486,1.00071313230548,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/ED5J990H5VAZT.png,Animal,0.15
nonvegan,mpbamod,Count,0.0608617823401533,-0.097158817375,0.20852425045,1.06275201293903,1.006104736647598,1.0017088950305,Restaurant,EMBVNVD207CC6,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/EMBVNVD207CC6.png,Animal,0.15
nonvegan,mpbamod,Count,-0.00332619331840377,-0.042742530075,0.0422650348575,0.996679332334431,0.9996674359798369,1.00256819809078,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/JHDN7CF1C03X5.png,Animal,0.15
nonvegan,mpbamod,Count,0.014530726144065,-0.1650696796375,0.1656622157775,1.0146368103492547,1.0014541288359449,1.00069893835527,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/L69HYJ4Y3TR91.png,Animal,0.15
nonvegan,mpbamod,Count,0.006325588529724,-0.0934429809725,0.110406124675,1.006345637316012,1.0006327589605146,1.00036674496163,Restaurant,LBZEEFSBJNB3Z,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/LBZEEFSBJNB3Z.png,Animal,0.15
nonvegan,mpbamod,Count,-0.0162237702727323,-0.2991005541425,0.297770011325,0.9839071262538054,0.998378938314913,1.00154936305391,Restaurant,LFZFT3VASXPED,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/LFZFT3VASXPED.png,Animal,0.15
