"fit_dir","model_col","type_fine","restaurant","variable","mean","q2.5","q97.5","rhat","ess_bulk"
"model_fits/finalized_redone_trunc_cp/t2_proportion/chicken_fish/vegan_dishes_prop","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",0.04728119873877,-0.938662996,1.046052845,1.00278823757493,1489.53992779426
"model_fits/finalized_redone_trunc_cp/t2_proportion/chicken_fish/vegan_dishes_prop","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",-0.0221937261885933,-1.59897164,1.588468805,1.00016959871503,2246.92911020719
"model_fits/finalized_redone_trunc_cp/t2_proportion/chicken_fish/vegetarian_dishes_count","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",0.0177810807192882,-0.00963538352,0.04630341985,1.00137997375096,917.966021340848
"model_fits/finalized_redone_trunc_cp/t2_proportion/chicken_fish/vegetarian_dishes_count","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",-0.0270706699977667,-1.67976924,1.65208422,1.00063579180039,2639.90403307675
"model_fits/finalized_redone_trunc_cp/t2_proportion/chicken_fish/vegetarian_dishes_prop","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",-1.38474127822753,-2.189890505,-0.5599011555,1.00540853581113,400.456769854339
"model_fits/finalized_redone_trunc_cp/t2_proportion/chicken_fish/vegetarian_dishes_prop","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",0.00669563518519133,-1.66523929,1.650544775,1.0045440494482,1236.10841827218
"model_fits/finalized_redone_trunc_cp2/customer_gaussian_iid_day/chicken_fish","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",0.065282275,-0.114003,0.19351555,2.59984174527487,3.56819668605656
"model_fits/finalized_redone_trunc_cp2/customer_gaussian_iid_day/chicken_fish","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",-0.152209353366667,-0.19876305,-0.07577899,2.52037569946999,3.61023560528629
"model_fits/finalized_redone_trunc_cp2/customer_gaussian_iid_day/chicken_fish","mu_gamma[3]","pooled_mu_gamma",NA,"mu_gamma[3]",-0.0534191083,-0.074024805,-0.0199287,3.14715467771338,3.39130767493599
"model_fits/finalized_redone_trunc_cp2/customer_gaussian_iid_day/chicken_fish","mu_gamma[4]","pooled_mu_gamma",NA,"mu_gamma[4]",-0.0435943326666667,-0.1782652,0.16025005,3.67834073234024,3.27257330692552
"model_fits/finalized_redone_trunc_cp2/customer_gaussian_iid_day/meat","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",0.0158970809943967,-0.07273565,0.1153897,1.01190509572113,189.861865980202
"model_fits/finalized_redone_trunc_cp2/customer_gaussian_iid_day/meat","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",0.1649198593303,-0.0957274549999999,0.4716054,1.04448175457076,108.825780394026
"model_fits/finalized_redone_trunc_cp2/customer_gaussian_iid_day/meat","mu_gamma[3]","pooled_mu_gamma",NA,"mu_gamma[3]",-0.0444200325917,-0.23561775,0.1473775,1.01694199540457,116.880128412869
"model_fits/finalized_redone_trunc_cp2/customer_gaussian_iid_day/meat","mu_gamma[4]","pooled_mu_gamma",NA,"mu_gamma[4]",-0.0560982330295073,-0.181384,0.063101645,1.01422334687803,186.284058183191
"model_fits/finalized_redone_trunc_cp2/customer_gaussian_iid_day/nonvegan","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",-0.0187943422176667,-0.19390025,0.1475649,1.02719426345497,196.895125506507
"model_fits/finalized_redone_trunc_cp2/customer_gaussian_iid_day/nonvegan","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",0.0381643290074167,-0.17265605,0.25312465,1.04133282131263,84.2067513101857
"model_fits/finalized_redone_trunc_cp2/customer_gaussian_iid_day/nonvegan","mu_gamma[3]","pooled_mu_gamma",NA,"mu_gamma[3]",0.0966887206173,-0.12903975,0.3595059,1.0373912609869,145.451941350658
"model_fits/finalized_redone_trunc_cp2/customer_gaussian_iid_day/nonvegan","mu_gamma[4]","pooled_mu_gamma",NA,"mu_gamma[4]",-0.0299685855112843,-0.21142475,0.100047,1.00880856908126,130.61368095777
"model_fits/finalized_redone_trunc_cp2/customer_gaussian_iid_day/total","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",0.0058725382576,-0.1235302,0.18423565,1.01355373767856,164.018249696776
"model_fits/finalized_redone_trunc_cp2/customer_gaussian_iid_day/total","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",0.0355401739596667,-0.16266585,0.23034645,1.01841545947306,139.159439706198
"model_fits/finalized_redone_trunc_cp2/customer_gaussian_iid_day/total","mu_gamma[3]","pooled_mu_gamma",NA,"mu_gamma[3]",0.0416488712884,-0.2377024,0.2622927,1.04451144411476,102.927526399675
"model_fits/finalized_redone_trunc_cp2/customer_gaussian_iid_day/total","mu_gamma[4]","pooled_mu_gamma",NA,"mu_gamma[4]",-0.0433800036009667,-0.23729225,0.13948015,1.01632032918769,156.030937932677
"model_fits/finalized_redone_trunc_cp2/customer_gaussian_iid_day/vegan","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",0.0118411328713667,-0.07071579,0.081954455,1.12838474865292,24.1218648782872
"model_fits/finalized_redone_trunc_cp2/customer_gaussian_iid_day/vegan","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",-0.013565433972,-0.12701455,0.13721365,1.03417141594241,35.6272940930249
"model_fits/finalized_redone_trunc_cp2/customer_gaussian_iid_day/vegan","mu_gamma[3]","pooled_mu_gamma",NA,"mu_gamma[3]",-0.0154530674723667,-0.062901915,0.030889045,1.06185702820023,37.0915298073444
"model_fits/finalized_redone_trunc_cp2/customer_gaussian_iid_day/vegan","mu_gamma[4]","pooled_mu_gamma",NA,"mu_gamma[4]",-0.0236584419799,-0.11166545,0.0488052549999999,1.07256599961579,34.5864802368146
"model_fits/finalized_redone_trunc_cp2/customer_gaussian_iid_day/vegetarian","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",-0.0270289260115,-0.12887705,0.070777115,1.02683598693921,142.067244349401
"model_fits/finalized_redone_trunc_cp2/customer_gaussian_iid_day/vegetarian","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",-0.0532896272137,-0.2802403,0.18557765,1.01641939810617,165.258817020467
"model_fits/finalized_redone_trunc_cp2/customer_gaussian_iid_day/vegetarian","mu_gamma[3]","pooled_mu_gamma",NA,"mu_gamma[3]",0.107610123617167,-0.086309045,0.27459285,1.00919534245136,129.31615102457
"model_fits/finalized_redone_trunc_cp2/customer_gaussian_iid_day/vegetarian","mu_gamma[4]","pooled_mu_gamma",NA,"mu_gamma[4]",0.0010470994412,-0.18872205,0.162222199999999,1.01653322213719,122.159307969071
"model_fits/finalized_redone_trunc_cp2/customer_targeted_gaussian_iid_day/breakfast","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",0.052662911931935,-0.06784369,0.218679,1.0249699720744,145.616057325193
"model_fits/finalized_redone_trunc_cp2/customer_targeted_gaussian_iid_day/breakfast","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",0.122877174889667,-0.28330395,0.57206945,1.0307802163365,114.449802483372
"model_fits/finalized_redone_trunc_cp2/customer_targeted_gaussian_iid_day/breakfast","mu_gamma[3]","pooled_mu_gamma",NA,"mu_gamma[3]",0.0493290182399333,-0.16138655,0.5689416,1.21864208549007,10.1168923180379
"model_fits/finalized_redone_trunc_cp2/customer_targeted_gaussian_iid_day/breakfast","mu_gamma[4]","pooled_mu_gamma",NA,"mu_gamma[4]",-0.0156572362700433,-0.2441158,0.3400627,1.10430154156867,28.7531337305216
"model_fits/finalized_redone_trunc_cp2/customer_targeted_gaussian_iid_day/untextured","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",0.0854978848861333,-0.420754,0.669434750000002,1.18710639447111,39.0714285253763
