"fit_dir","variable","model_col","type_fine","restaurant","transform","mean","median","sd","q2.5","q97.5","mean_t","q2.5_t","q97.5_t","rhat","ess_bulk","ess_tail"
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegetarian_dishes_prop","beta[44,3]","exposure_L69HYJ4Y3TR91_1","level","L69HYJ4Y3TR91","exp_p10",0.648485019495,0.2360395,2.75110799937648,-3.76022875,7.16821425,1.06699736411834,0.686586627193569,2.04791340793163,1.00660261072827,639.765683793045,1336.37951217233
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegetarian_dishes_prop","beta[45,5]","exposure_W8T41JZK0ZMEP_1","level","W8T41JZK0ZMEP","exp_p10",0.0336015323315,0.0247769,0.867753213680477,-1.671452,1.78399225,1.00336580487638,0.84607675207342,1.19530242060233,1.00204434874014,1081.31391316906,1501.94496409918
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegetarian_dishes_prop","mu_gamma[1]","mu_gamma[1]","pooled_mu_gamma",NA,"exp_p10",-0.7306225997905,-0.7611775,0.863631165471369,-2.349263,1.04958125,0.929542954899261,0.790629116847474,1.11066410032271,1.00229954706793,636.780009644196,1526.6802897555
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegetarian_dishes_prop","mu_gamma[2]","mu_gamma[2]","pooled_mu_gamma",NA,"exp_p10",0.0317251129491167,0.0335945,1.00366959509379,-1.9383655,1.987285,1.00317754903489,0.823792542156011,1.21985073146324,1.00156303256708,1659.66408836076,2539.96094660694
"model_fits/finalized_redone_trunc/proportion/meat/mpbamod_dishes_count","beta[41,2]","exposure_2HRX9P6HKXA8V_1","level","2HRX9P6HKXA8V","exp",-0.0274944582693493,-0.0178128,0.0722110895305178,-0.1966875,0.0952003325,0.97288007397784,0.821447295486944,1.09987917460154,1.0077159350856,395.553521422277,680.904720893221
"model_fits/finalized_redone_trunc/proportion/meat/mpbamod_dishes_count","beta[42,5]","exposure_ED5J990H5VAZT_1","level","ED5J990H5VAZT","exp",0.01826641546455,0.01833745,0.0112016265897723,-0.00377949775,0.03996738,1.01843426688852,0.996227635562012,1.04077682349867,1.00100015973338,496.233631920162,1059.63710478009
"model_fits/finalized_redone_trunc/proportion/meat/mpbamod_dishes_count","beta[43,3]","exposure_JHDN7CF1C03X5_1","level","JHDN7CF1C03X5","exp",0.0007105578049125,0.0005565135,0.0151338658478177,-0.02957772,0.030128615,1.00071081031091,0.970855419825713,1.03058707438656,1.00022160790297,1330.37334050751,2704.41799570142
"model_fits/finalized_redone_trunc/proportion/meat/mpbamod_dishes_count","beta[44,4]","exposure_L69HYJ4Y3TR91_1","level","L69HYJ4Y3TR91","exp",0.032171087983655,0.0286098,0.065324575528483,-0.096427555,0.165142625,1.03269417175551,0.908075680759583,1.17956134165106,1.00529691349106,303.842928374529,965.37869281597
"model_fits/finalized_redone_trunc/proportion/meat/mpbamod_dishes_count","beta[45,1]","exposure_SRQS8F7JWA9MZ_1","level","SRQS8F7JWA9MZ","exp",0.121983006892,0.121822,0.0380609139925092,0.0434666825,0.195290425,1.12973490390997,1.04442519609586,1.21566399444167,1.00562808285876,372.579804612986,121.774366305765
"model_fits/finalized_redone_trunc/proportion/meat/mpbamod_dishes_count","beta[46,6]","exposure_W8T41JZK0ZMEP_1","level","W8T41JZK0ZMEP","exp",0.000123787330475,0.000289895,0.0117209515778663,-0.02299297,0.02251678,1.00012379499244,0.977269353952687,1.02277219613791,1.00189130576359,805.683843244738,1686.90391514742
