"fit_dir","total_dir","analysis","outcome","gamma_index","level","restaurant","type_fine","mean","q2.5","q97.5","mean_exp","mean_exp_p10","rhat","ess_bulk","ess_tail"
"model_fits/finalized_redone_trunc/a1_proportion/vegetarian/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","vegetarian",2,"pooled",NA,"slope",-0.00038737752225,-2.85343855,2.922548675,2.9307304218213,1.01062298962494,1.00154687951154,575.382838087598,949.949765075988
"model_fits/finalized_redone_trunc/a1_proportion/vegetarian/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","vegetarian",NA,"restaurant","2HRX9P6HKXA8V","level",-0.0934078143913875,-0.33792095525,0.1502633775,0.918072747174823,0.990781206440778,1.00219328983484,901.366686400193,1285.94306215127
"model_fits/finalized_redone_trunc/a1_proportion/vegetarian/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","vegetarian",NA,"restaurant","ED5J990H5VAZT","level",0.001040387867475,-0.01906637675,0.0219999795,1.00109606377776,1.00010459495222,1.00776680739006,705.474299194417,1997.58089803655
"model_fits/finalized_redone_trunc/a1_proportion/vegetarian/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","vegetarian",NA,"restaurant","JHDN7CF1C03X5","level",-0.00277763469832925,-0.0461884975,0.0410221275,0.997471656596208,0.999724735264354,1.00100310569389,1751.11722565719,2928.83662080391
"model_fits/finalized_redone_trunc/a1_proportion/vegetarian/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","vegetarian",NA,"restaurant","L69HYJ4Y3TR91","level",0.049641004658175,-0.1387256325,0.2534945125,1.05628543325406,1.00502767236983,1.00339414990148,613.436392088955,1241.68248003598
"model_fits/finalized_redone_trunc/a1_proportion/vegetarian/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","vegetarian",NA,"restaurant","SRQS8F7JWA9MZ","level",0.187918980225,0.082314025,0.297162025,1.20859468876372,1.01898524598596,1.00312312239288,661.946569015323,2095.62788265925
"model_fits/finalized_redone_trunc/a1_proportion/vegetarian/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","vegetarian",NA,"restaurant","W8T41JZK0ZMEP","level",-0.0018732035804975,-0.0293710705,0.02587590425,0.998226226589245,0.999813675280212,1.00294665865271,1199.96118447111,2705.36831438203
"model_fits/finalized_redone_trunc/a2_proportion_t/breakfast_p/breakfast_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a2_proportion_t","breakfast_p",1,"pooled",NA,"level",-0.09734097589445,-0.41147222275,0.336572609525,0.924359112560795,0.990481821967726,1.01384959533499,267.953866164939,193.40263746429
"model_fits/finalized_redone_trunc/a2_proportion_t/breakfast_p/breakfast_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a2_proportion_t","breakfast_p",2,"pooled",NA,"slope",-0.04626457376775,-2.8204785,2.73268845,2.61247439257405,1.00574347839788,1.00060996551854,1144.36369572735,2374.86201591348
"model_fits/finalized_redone_trunc/a2_proportion_t/breakfast_p/breakfast_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a2_proportion_t","breakfast_p",NA,"restaurant","2HRX9P6HKXA8V","level",-0.085458849301165,-0.2564962,0.09259513,0.921663806657579,0.991528978781903,1.00051940109184,2473.56210790785,3316.92437524894
