"era","analysis","chains","warmup","sampling","thin","draws","adapt_delta","max_treedepth","seed","metric","algorithm","engine","stepsize_jitter","adapt_engaged","init","gamma","kappa","t0","init_buffer","term_buffer","window","stan"
"finalized_redone_trunc","a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpvqjrTB/init-c5f221991ef1a_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmp8Q0yJZ/init-c5f3535c0b6ef_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc_cp","a3_its",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmph43Ur6/init-158d853eb20b89_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc_cp","a5_customer_day",3,1500,2000,2,3000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmpd8ZAx7/init-5a72738cd5e0_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc_cp","t2_a1_proportion",3,1500,2000,2,3000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmp7iRw5v/init-5ef17e7b4a8_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_redone_trunc_cp","t2_a1_proportion",3,1500,2000,2,3000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpOJ4PIW/init-3e071bcc7042_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_redone_trunc_cp","t2_a1_proportion",2,1500,2000,2,2000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpbGzudM/init-50ce7d9d39_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_redone_trunc_cp","t2_a1_proportion",3,1500,2000,2,3000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpLNL1Ol/init-22947f8ba3ca_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_redone_trunc_cp","t2_a1_proportion",1,1500,2000,2,1000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpIDTIE5/init-370f47deb39bc_2.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_redone_trunc_cp","t2_a1_proportion",3,1500,2000,2,3000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpFKmfye/init-21e2e14c6a794_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_redone_trunc_cp","t2_a3_its",3,1500,2000,2,3000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpJ491J2/init-27d0c5d339a64_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_redone_trunc_cp","t2_a5_customer_day",3,1500,2000,2,3000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmpgd88Zw/init-8f242b1e1e3c_1.json",0.05,0.75,10,75,50,25,"2.36.0"
