"table_id","tier","analysis","outcome_key","outcome_label","outcome_order","column","column_order","exposure","fit_dir","total_dir","gamma_index","n_rest","reported","suppress_reason","transform"
"t1_a2","T1","a2_proportion_t","egg_p","Egg",5,"Presence",2,,"model_fits/finalized_uncontaminated2/a2_proportion_t/egg_p/egg_dishes_presence","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_prop",1,1,FALSE,"fewer than two contributing restaurants","exp"
"t1_a3","T1","a3_its","nonvegan","Nonvegan",1,"Level change",1,,"model_fits/finalized_redone_trunc_cp/a3_its/nonvegan","model_fits/finalized_redone_trunc_cp/a3_its/total",1,6,TRUE,,"exp"
"t1_a3","T1","a3_its","nonvegan","Nonvegan",1,"Slope change",2,,"model_fits/finalized_redone_trunc_cp/a3_its/nonvegan","model_fits/finalized_redone_trunc_cp/a3_its/total",2,6,TRUE,,"exp"
"t1_a3","T1","a3_its","meat","Meat",2,"Level change",1,,"model_fits/finalized_redone_trunc_cp/a3_its/meat","model_fits/finalized_redone_trunc_cp/a3_its/total",1,6,TRUE,,"exp"
"t1_a3","T1","a3_its","meat","Meat",2,"Slope change",2,,"model_fits/finalized_redone_trunc_cp/a3_its/meat","model_fits/finalized_redone_trunc_cp/a3_its/total",2,6,TRUE,,"exp"
"t1_a3","T1","a3_its","chicken_fish","Chicken & fish",3,"Level change",1,,"model_fits/finalized_redone_trunc_cp/a3_its/chicken_fish","model_fits/finalized_redone_trunc_cp/a3_its/total",1,5,TRUE,,"exp"
"t1_a3","T1","a3_its","chicken_fish","Chicken & fish",3,"Slope change",2,,"model_fits/finalized_redone_trunc_cp/a3_its/chicken_fish","model_fits/finalized_redone_trunc_cp/a3_its/total",2,5,TRUE,,"exp"
"t1_a3","T1","a3_its","vegetarian","Vegetarian",4,"Level change",1,"Vegetarian","model_fits/finalized_redone_trunc_cp/a3_its/vegetarian","model_fits/finalized_redone_trunc_cp/a3_its/total",1,6,TRUE,,"exp"
"t1_a3","T1","a3_its","vegetarian","Vegetarian",4,"Slope change",2,"Vegetarian","model_fits/finalized_redone_trunc_cp/a3_its/vegetarian","model_fits/finalized_redone_trunc_cp/a3_its/total",2,6,TRUE,,"exp"
"t1_a3","T1","a3_its","vegan","Vegan",5,"Level change",1,"Vegan","model_fits/finalized_redone_trunc_cp/a3_its/vegan","model_fits/finalized_redone_trunc_cp/a3_its/total",1,6,TRUE,,"exp"
"t1_a3","T1","a3_its","vegan","Vegan",5,"Slope change",2,"Vegan","model_fits/finalized_redone_trunc_cp/a3_its/vegan","model_fits/finalized_redone_trunc_cp/a3_its/total",2,6,TRUE,,"exp"
"t1_a4","T1","a4_its_t","breakfast","Breakfast-style meat",1,"Level change",1,,"model_fits/finalized_uncontaminated/a4_its_t/breakfast","model_fits/finalized_redone_trunc_cp/a3_its/total",1,3,TRUE,,"exp"
"t1_a4","T1","a4_its_t","breakfast","Breakfast-style meat",1,"Slope change",2,,"model_fits/finalized_uncontaminated/a4_its_t/breakfast","model_fits/finalized_redone_trunc_cp/a3_its/total",2,3,TRUE,,"exp"
"t1_a4","T1","a4_its_t","untextured","Ground meat",2,"Level change",1,,"model_fits/finalized_uncontaminated/a4_its_t/untextured","model_fits/finalized_redone_trunc_cp/a3_its/total",1,1,FALSE,"fewer than two contributing restaurants","exp"
