outcome,effect_type,mean,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
nonvegan,NA,-0.0195433306339667,-0.238225605,0.1857863975,1.00079165960148,624.529510678914,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.12770965780233406,0.08862299653440066
nonvegan,NA,0.00782866505533333,-0.994589825,1.0771695775,1.00629557088147,380.6301288051,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.52068138660283,0.5363387167134966
nonvegan,NA,-0.00629763288356667,-1.084246065,0.991227150000001,1.01069746375437,388.813902641262,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.5357550856896894,0.5231598199225561
nonvegan,NA,-0.00712304593474667,-0.2598848475,0.26184128,1.00375396134415,576.57728391952,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.14021644580719564,0.1259703539377023
nonvegan,NA,0.0504957306316333,-0.145598833,0.2740215575,1.00172477615346,843.496409533901,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.05655028735306058,0.15754174861632717
nonvegan,NA,0.0728940505178667,-0.2080031775,0.3373629425,1.00344103949887,594.938386504057,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.06622995968621494,0.21201806072194834
nonvegan,NA,-0.0454355411912333,-0.2790952888,0.162824205,1.00089960921398,851.795709091474,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.15817010593613126,0.06729902355366466
meat,NA,0.0466744253942667,-0.1722840825,0.2888229625,1.00436135869838,478.311568950423,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/2HRX9P6HKXA8V.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.070954922820019,0.16430377360855242
meat,NA,0.0343876994993367,-0.206082945,0.2751558975,1.0148868346571,270.206191773199,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/2HRX9P6HKXA8V.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.08837731134250004,0.15715271034117345
meat,NA,-0.0304826770414667,-0.275646435,0.2133797725,1.00177874465106,453.344052507158,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/2HRX9P6HKXA8V.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.15523426058738507,0.09426890650445167
