outcome,exposure_group,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,color_group,n_rest_in_group,rest_rank,step_size
vegetarian,mpbamod,Proportion,-2.995732273553991,NA,0.7410194071208668,-Inf,-0.4942963218147801,1.00366650407777,Restaurant,C0BE4NDSW26QN,Plant-based,18,5,0.12
vegetarian,mpbamod,Proportion,-3.506557897319982,NA,0.6963933600931096,-4.605170185988091,-2.5257286443082556,1.00076976996582,Restaurant,CB2KHY1C2G9PT,Plant-based,18,6,0.12
vegetarian,mpbamod,Proportion,0.28517894223366247,NA,1.0291265542259997,0.009950330853168092,0.5766133643039938,1.00092454040866,Restaurant,ED5J990H5VAZT,Plant-based,18,7,0.12
vegetarian,mpbamod,Proportion,-0.2744368457017603,NA,0.9731183883559106,-1.3093333199837622,0.8796267475025636,1.009014112133,Restaurant,EMBVNVD207CC6,Plant-based,18,8,0.12
vegetarian,mpbamod,Proportion,-3.2188758248682006,NA,0.7164212739539793,-4.605170185988091,-1.8971199848858813,1.00704639918241,Restaurant,JHDN7CF1C03X5,Plant-based,18,9,0.12
vegetarian,mpbamod,Proportion,1.6034198401085373,NA,1.174005446965135,-2.3025850929940455,5.558949362273238,1.00534292984367,Restaurant,L69HYJ4Y3TR91,Plant-based,18,10,0.12
vegetarian,mpbamod,Proportion,-3.912023005428146,NA,0.6814514437904043,-Inf,-1.1086626245216111,1.00331317953106,Restaurant,LBZEEFSBJNB3Z,Plant-based,18,11,0.12
vegetarian,mpbamod,Proportion,3.7293013686128518,NA,1.4519993893062009,-2.995732273553991,11.352372484081423,1.01290466923501,Restaurant,LFZFT3VASXPED,Plant-based,18,12,0.12
vegetarian,mpbamod,Proportion,1.80005827204275,NA,1.1971599519005722,-0.616186139423817,4.845446136042602,1.0041183282739,Restaurant,LQ5EH4BKGV61T,Plant-based,18,13,0.12
vegetarian,mpbamod,Proportion,8.393517075622443,NA,2.3148657598475726,5.683409684848264,11.35986495735591,1.00122623937372,Restaurant,S8MT0YGD2KTN9,Plant-based,18,14,0.12
vegetarian,mpbamod,Proportion,0.2468600779315258,NA,1.0246528363651732,-2.995732273553991,3.5745903077118086,1.00596363803791,Restaurant,SAFK7ND1HR6XS,Plant-based,18,15,0.12
vegetarian,mpbamod,Proportion,2.9564715596006885,NA,1.3440241779697857,2.222459048514761,3.750914845033389,1.00415512600867,Restaurant,SRQS8F7JWA9MZ,Plant-based,18,16,0.12
vegetarian,mpbamod,Proportion,-1.2039728043259361,NA,0.8874866361034884,-1.8325814637483102,-0.616186139423817,1.00099416752669,Restaurant,V3Q26BHF3SE2H,Plant-based,18,17,0.12
vegetarian,mpbamod,Proportion,0.4637340162321402,NA,1.0475733417707114,-0.579818495252942,1.5151272329628591,1.00658968644613,Restaurant,W8T41JZK0ZMEP,Plant-based,18,18,0.12
vegetarian,vegan,Count,0.17395330712343798,NA,1.0175474138476386,0.13976194237515863,0.20701416938432612,1.0044797949829,Restaurant,1SQPTEGYPH0GA,Plant-based,18,1,0.12
vegetarian,vegan,Count,0.02955880224154443,NA,1.0033751460922746,-0.06187540371808753,0.131028262406404,1.00514165605771,Restaurant,2HRX9P6HKXA8V,Plant-based,18,2,0.12
vegetarian,vegan,Count,0.009950330853168092,NA,1.0009312181812065,-0.020202707317519466,0.03922071315328133,1.00021681506207,Restaurant,78AY09MVJVTYE,Plant-based,18,3,0.12
vegetarian,vegan,Count,0.01980262729617973,NA,1.0021639272487026,0.009950330853168092,0.03922071315328133,1.00323827022646,Restaurant,9XKJD8DQTH559,Plant-based,18,4,0.12
vegetarian,vegan,Count,0.04879016416943205,NA,1.0051169707154666,0.01980262729617973,0.08617769624105241,1.00092937411632,Restaurant,C0BE4NDSW26QN,Plant-based,18,5,0.12
vegetarian,vegan,Count,0.04879016416943205,NA,1.0053170911457923,0.02955880224154443,0.0769610411361284,1.00653559109703,Restaurant,CB2KHY1C2G9PT,Plant-based,18,6,0.12
vegetarian,vegan,Count,0.25464221837358075,NA,1.0261265205785228,0.19885085874516517,0.3148107398400336,1.00089029208315,Restaurant,ED5J990H5VAZT,Plant-based,18,7,0.12
vegetarian,vegan,Count,0.1906203596086497,NA,1.0191119507270747,0.0769610411361284,0.3074846997479607,1.00013060251271,Restaurant,EMBVNVD207CC6,Plant-based,18,8,0.12
vegetarian,vegan,Count,0.02955880224154443,NA,1.002965252023136,0.009950330853168092,0.04879016416943205,1.000646092723,Restaurant,JHDN7CF1C03X5,Plant-based,18,9,0.12
vegetarian,vegan,Count,0.12221763272424911,NA,1.0119204263241115,0.06765864847381486,0.16551443847757333,1.00146728854129,Restaurant,L69HYJ4Y3TR91,Plant-based,18,10,0.12
vegetarian,vegan,Count,0.058268908123975824,NA,1.005389754722829,0,0.11332868530700327,1.0084060735781,Restaurant,LBZEEFSBJNB3Z,Plant-based,18,11,0.12
vegetarian,vegan,Count,0.01980262729617973,NA,1.0024191667181461,-0.12783337150988489,0.1823215567939546,1.00311625352584,Restaurant,LFZFT3VASXPED,Plant-based,18,12,0.12
vegetarian,vegan,Count,0.1570037488096647,NA,1.015923667759697,0.03922071315328133,0.3220834991691132,1.0076939459287,Restaurant,LQ5EH4BKGV61T,Plant-based,18,13,0.12
vegetarian,vegan,Count,-0.040821994520255166,NA,0.9961734791788669,-0.15082288973458366,0.06765864847381486,1.00473205410534,Restaurant,S8MT0YGD2KTN9,Plant-based,18,14,0.12
vegetarian,vegan,Count,0.12221763272424911,NA,1.0123700739919979,-0.05129329438755058,0.3148107398400336,1.00183193395681,Restaurant,SAFK7ND1HR6XS,Plant-based,18,15,0.12
vegetarian,vegan,Count,0.3220834991691132,NA,1.032509559093881,0.1823215567939546,0.47000362924573563,1.00614165967215,Restaurant,SRQS8F7JWA9MZ,Plant-based,18,16,0.12
vegetarian,vegan,Count,0.17395330712343798,NA,1.0173837717101923,0.11332868530700327,0.2468600779315258,1.00355720821628,Restaurant,V3Q26BHF3SE2H,Plant-based,18,17,0.12
vegetarian,vegan,Count,0.01980262729617973,NA,1.0023533734749952,0.009950330853168092,0.03922071315328133,1.0001531270945,Restaurant,W8T41JZK0ZMEP,Plant-based,18,18,0.12
vegetarian,vegan,Proportion,-0.843970070294529,NA,0.9181871572373108,-2.3025850929940455,0.4252677354043441,1.00392725479628,Restaurant,1SQPTEGYPH0GA,Plant-based,18,1,0.12
vegetarian,vegan,Proportion,0.5481214085096876,NA,1.0564607046353902,-1.0216512475319814,2.089391872533004,1.00413059114591,Restaurant,2HRX9P6HKXA8V,Plant-based,18,2,0.12
vegetarian,vegan,Proportion,0.01980262729617973,NA,1.002031645831233,-0.5978370007556204,0.6678293725756554,1.00039960128464,Restaurant,78AY09MVJVTYE,Plant-based,18,3,0.12
vegetarian,vegan,Proportion,1.0681530811834012,NA,1.1126205249934051,0.01980262729617973,2.149433913499871,1.0004139419177,Restaurant,9XKJD8DQTH559,Plant-based,18,4,0.12
vegetarian,vegan,Proportion,0.6151856390902335,NA,1.063320651067793,-0.4780358009429998,1.6272778305624314,1.00065465345892,Restaurant,C0BE4NDSW26QN,Plant-based,18,5,0.12
vegetarian,vegan,Proportion,1.324418957401803,NA,1.1415202189861555,0.5306282510621704,2.1713368063840917,1.00353689153353,Restaurant,CB2KHY1C2G9PT,Plant-based,18,6,0.12
vegetarian,vegan,Proportion,1.6193882432872684,NA,1.175692568812873,0.7371640659767196,2.542389085201363,1.00121513777285,Restaurant,ED5J990H5VAZT,Plant-based,18,7,0.12
vegetarian,vegan,Proportion,-0.5621189181535413,NA,0.9447630908002312,-1.4696759700589417,0.23901690047049992,1.00017440067571,Restaurant,EMBVNVD207CC6,Plant-based,18,8,0.12
vegetarian,vegan,Proportion,0.8415671856782185,NA,1.0879771521879504,-0.10536051565782628,1.8325814637483102,1.0014075343211,Restaurant,JHDN7CF1C03X5,Plant-based,18,9,0.12
vegetarian,vegan,Proportion,2.766319109226186,NA,1.3187015666606856,1.1755733298042381,4.557764063590821,1.00751891899953,Restaurant,L69HYJ4Y3TR91,Plant-based,18,10,0.12
vegetarian,vegan,Proportion,1.1908875647772805,NA,1.1264595345355868,-0.3011050927839216,2.706048198431537,1.02176641200518,Restaurant,LBZEEFSBJNB3Z,Plant-based,18,11,0.12
vegetarian,vegan,Proportion,1.355835153635182,NA,1.1452356710067912,-0.7765287894989963,3.8062179465311696,1.00049174953018,Restaurant,LFZFT3VASXPED,Plant-based,18,12,0.12
vegetarian,vegan,Proportion,0.35065687161316933,NA,1.0358135943518862,-1.2729656758128873,1.951608170169951,1.0083074486316,Restaurant,LQ5EH4BKGV61T,Plant-based,18,13,0.12
vegetarian,vegan,Proportion,1.128171090909654,NA,1.1193668295297237,-0.941608539858445,3.232778730037192,1.00350156669732,Restaurant,S8MT0YGD2KTN9,Plant-based,18,14,0.12
vegetarian,vegan,Proportion,0.9477893989335261,NA,1.099512315618134,-1.171182981502945,3.208017081533325,1.00414531121605,Restaurant,SAFK7ND1HR6XS,Plant-based,18,15,0.12
vegetarian,vegan,Proportion,0,NA,0.9996584389968455,-0.5621189181535413,0.5538851132264376,1.00264464064422,Restaurant,SRQS8F7JWA9MZ,Plant-based,18,16,0.12
vegetarian,vegan,Proportion,2.2793164660546914,NA,1.256014800419417,1.2412685890696329,3.4035279970004377,1.00308047170488,Restaurant,V3Q26BHF3SE2H,Plant-based,18,17,0.12
