outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,color_group,implied_from,n_negative,n_total_draws
chicken_fish,Level Change,-0.08338160893905101,-0.21072103131565253,0.02955880224154443,NA,NA,NA,Restaurant,JHDN7CF1C03X5,Animal,NA,NA,NA
chicken_fish,Slope Change,-0.020202707317519466,-0.3011050927839216,0.23901690047049992,NA,NA,NA,Restaurant,JHDN7CF1C03X5,Animal,NA,NA,NA
chicken_fish,Level Change,-0.13926206733350766,-0.6348782724359695,0.22314355131420976,NA,NA,NA,Restaurant,L69HYJ4Y3TR91,Animal,NA,NA,NA
chicken_fish,Slope Change,0.3987761199573678,-1.6607312068216509,1.601405740736836,NA,NA,NA,Restaurant,L69HYJ4Y3TR91,Animal,NA,NA,NA
chicken_fish,Level Change,-0.19845093872383832,-0.7339691750802004,0.04879016416943205,NA,NA,NA,Restaurant,ED5J990H5VAZT,Animal,NA,NA,NA
chicken_fish,Slope Change,0.7466879474879751,-0.040821994520255166,1.3862943611198906,NA,NA,NA,Restaurant,ED5J990H5VAZT,Animal,NA,NA,NA
vegetarian,Level Change,0,-0.09431067947124129,0.10436001532424286,NA,NA,NA,Restaurant,VLZX7K2M9QD4T,Plant-based,NA,NA,NA
vegetarian,Slope Change,-0.07257069283483537,-0.8209805520698302,0.636576829071551,NA,NA,NA,Restaurant,VLZX7K2M9QD4T,Plant-based,NA,NA,NA
vegetarian,Level Change,0.11332868530700327,-0.030459207484708574,0.2700271372130602,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegetarian,Level Change,0.12221763272424911,-0.030459207484708574,0.2700271372130602,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegetarian,Level Change,0.0769610411361284,-0.07257069283483537,0.2151113796169455,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegetarian,Level Change,0.0769610411361284,-0.06187540371808753,0.2151113796169455,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegetarian,Slope Change,0.6523251860396901,-0.5621189181535413,1.5303947050936475,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegetarian,Slope Change,-0.8209805520698302,-2.0402208285265546,0.08617769624105241,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegetarian,Slope Change,1.297463147413275,0.08617769624105241,2.2925347571405443,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegetarian,Slope Change,-0.1743533871447778,-1.3862943611198906,0.7654678421395714,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegetarian,Level Change,-0.11653381625595151,-0.35667494393873245,0.131028262406404,NA,NA,NA,Restaurant,2HRX9P6HKXA8V,Plant-based,NA,NA,NA
vegetarian,Slope Change,-0.16251892949777494,-0.843970070294529,0.5128236264286637,NA,NA,NA,Restaurant,2HRX9P6HKXA8V,Plant-based,NA,NA,NA
vegetarian,Level Change,0.009950330853168092,-0.10536051565782628,0.12221763272424911,NA,NA,NA,Restaurant,JHDN7CF1C03X5,Plant-based,NA,NA,NA
vegetarian,Slope Change,-0.31471074483970024,-0.5978370007556204,-0.07257069283483537,NA,NA,NA,Restaurant,JHDN7CF1C03X5,Plant-based,NA,NA,NA
vegetarian,Level Change,0.1823215567939546,-0.11653381625595151,0.4637340162321402,NA,NA,NA,Restaurant,L69HYJ4Y3TR91,Plant-based,NA,NA,NA
vegetarian,Slope Change,-0.05129329438755058,-1.2378743560016174,1.007957920399979,NA,NA,NA,Restaurant,L69HYJ4Y3TR91,Plant-based,NA,NA,NA
vegetarian,Level Change,0.04879016416943205,-0.10536051565782628,0.19885085874516517,NA,NA,NA,Restaurant,ED5J990H5VAZT,Plant-based,NA,NA,NA
vegetarian,Slope Change,-0.19845093872383832,-0.527632742082372,0.11332868530700327,NA,NA,NA,Restaurant,ED5J990H5VAZT,Plant-based,NA,NA,NA
vegan,Level Change,0.10436001532424286,0,0.19885085874516517,NA,NA,NA,Restaurant,VLZX7K2M9QD4T,Plant-based,NA,NA,NA
vegan,Slope Change,-0.7133498878774648,-1.7147984280919266,0.009950330853168092,NA,NA,NA,Restaurant,VLZX7K2M9QD4T,Plant-based,NA,NA,NA
vegan,Level Change,0.04879016416943205,-0.09431067947124129,0.1823215567939546,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegan,Level Change,0.04879016416943205,-0.09431067947124129,0.1906203596086497,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegan,Level Change,0.10436001532424286,-0.030459207484708574,0.2468600779315258,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegan,Level Change,0.10436001532424286,-0.020202707317519466,0.2468600779315258,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegan,Slope Change,0.7419373447293773,-0.5621189181535413,1.5789787049493917,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegan,Slope Change,-0.7133498878774648,-1.9661128563728327,0.20701416938432612,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegan,Slope Change,2.0028304393079956,0.7514160886839212,2.995232148512309,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegan,Slope Change,0.5364933705145685,-0.6348782724359695,1.5303947050936475,NA,NA,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA,NA,NA
vegan,Level Change,0.03922071315328133,-0.15082288973458366,0.2468600779315258,NA,NA,NA,Restaurant,2HRX9P6HKXA8V,Plant-based,NA,NA,NA
vegan,Slope Change,-0.40047756659712525,-0.9942522733438669,0.06765864847381486,NA,NA,NA,Restaurant,2HRX9P6HKXA8V,Plant-based,NA,NA,NA
vegan,Level Change,-0.030459207484708574,-0.15082288973458366,0.06765864847381486,NA,NA,NA,Restaurant,JHDN7CF1C03X5,Plant-based,NA,NA,NA
vegan,Slope Change,-0.6539264674066639,-0.8915981192837836,-0.4307829160924542,NA,NA,NA,Restaurant,JHDN7CF1C03X5,Plant-based,NA,NA,NA
vegan,Level Change,0.03922071315328133,-0.19845093872383832,0.30010459245033816,NA,NA,NA,Restaurant,L69HYJ4Y3TR91,Plant-based,NA,NA,NA
vegan,Slope Change,0.3852624007906449,-1.2729656758128873,1.682688374173693,NA,NA,NA,Restaurant,L69HYJ4Y3TR91,Plant-based,NA,NA,NA
vegan,Level Change,0.12221763272424911,-0.06187540371808753,0.37843643572024505,NA,NA,NA,Restaurant,ED5J990H5VAZT,Plant-based,NA,NA,NA
vegan,Slope Change,-0.19845093872383832,-0.579818495252942,0.17395330712343798,NA,NA,NA,Restaurant,ED5J990H5VAZT,Plant-based,NA,NA,NA
vegetarian,Level Change,0.0660305322768366,-0.11191900090135225,0.23711574623649234,NA,NA,NA,Implied,IMPLIED,Implied Veg,meat,0,6000
vegan,Level Change,-1.012686948367307,-23.025850929940457,0.8314977617964923,NA,NA,NA,Implied,IMPLIED,Implied Vegan,nonvegan,261,6000
vegetarian,Slope Change,-0.7182822451325495,-23.025850929940457,0.532708586194315,NA,NA,NA,Implied,IMPLIED,Implied Veg,meat,193,6000
vegan,Slope Change,-6.362047991611051,-23.025850929940457,1.6067938165145197,NA,NA,NA,Implied,IMPLIED,Implied Vegan,nonvegan,1747,6000
