outcome,exposure_group,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,color_group
nonvegan,vegan,Count,0.009950330853168092,NA,1.0013112110887352,-0.08338160893905101,0.10436001532424286,1.0011037818453974,Restaurant,2HRX9P6HKXA8V,Animal
nonvegan,vegan,Count,-0.01005033585350145,NA,0.9987009196238398,-0.030459207484708574,0,0.9999233130737857,Restaurant,JHDN7CF1C03X5,Animal
nonvegan,vegan,Count,0.09531017980432493,NA,1.0091784229561986,0.03922071315328133,0.13976194237515863,1.0050097936646025,Restaurant,L69HYJ4Y3TR91,Animal
nonvegan,vegan,Count,0.23901690047049992,NA,1.023902322589765,0.1823215567939546,0.29266961396282004,1.0010063409921615,Restaurant,ED5J990H5VAZT,Animal
nonvegan,vegan,Count,0.03922071315328133,NA,1.0035243881503193,0.01980262729617973,0.04879016416943205,1.0037323930157633,Restaurant,W8T41JZK0ZMEP,Animal
nonvegan,vegan,Proportion,1.7334238922150915,NA,1.1849118074164673,1.1631508098056809,2.2617630984737906,1.0005755842749888,Restaurant,SRQS8F7JWA9MZ,Animal
nonvegan,vegan,Proportion,0.35065687161316933,NA,1.0080469561007646,-1.5141277326297755,1.501852701754163,1.0001264553862326,Restaurant,2HRX9P6HKXA8V,Animal
nonvegan,vegan,Proportion,-0.9675840262617056,NA,0.8988795730023939,-2.0402208285265546,-0.10536051565782628,1.0006341010212834,Restaurant,JHDN7CF1C03X5,Animal
nonvegan,vegan,Proportion,3.0492730404820207,NA,1.2992734359973126,0.8020015854720274,4.505239347363042,1.0043354444557746,Restaurant,L69HYJ4Y3TR91,Animal
nonvegan,vegan,Proportion,1.5325568680981427,NA,1.1500288148848465,0.3364722366212129,2.4362414778067194,1.0015765469725635,Restaurant,ED5J990H5VAZT,Animal
nonvegan,vegan,Proportion,1.0577902941478545,NA,1.0984773211384282,-0.06187540371808753,1.9572739077056285,1.0079166771865395,Restaurant,W8T41JZK0ZMEP,Animal
nonvegan,vegetarian,Count,0.06765864847381486,NA,1.0064125244873727,0.03922071315328133,0.08617769624105241,1.0009234931006876,Restaurant,SRQS8F7JWA9MZ,Animal
nonvegan,vegetarian,Count,0.009950330853168092,NA,1.0014414480205394,-0.05129329438755058,0.0769610411361284,1.0041025336399203,Restaurant,2HRX9P6HKXA8V,Animal
nonvegan,vegetarian,Count,0,NA,0.9999325534358545,-0.01005033585350145,0.009950330853168092,1.0006101114593897,Restaurant,JHDN7CF1C03X5,Animal
nonvegan,vegetarian,Count,0.058268908123975824,NA,1.0058888866198206,0.01980262729617973,0.09531017980432493,1.004002474768875,Restaurant,L69HYJ4Y3TR91,Animal
nonvegan,vegetarian,Count,0.10436001532424286,NA,1.010249897253507,0.0769610411361284,0.12221763272424911,1.001269346363853,Restaurant,ED5J990H5VAZT,Animal
nonvegan,vegetarian,Count,0.02955880224154443,NA,1.0024899519929014,0.009950330853168092,0.03922071315328133,1.0100938235167172,Restaurant,W8T41JZK0ZMEP,Animal
nonvegan,vegetarian,Proportion,0.9783261227936078,NA,1.1005295730340725,0.5364933705145685,1.3887912413184778,1.002084508679495,Restaurant,SRQS8F7JWA9MZ,Animal
nonvegan,vegetarian,Proportion,0.5766133643039938,NA,1.0377716936624002,-1.3093333199837622,1.5129270120532565,1.0209531651905168,Restaurant,2HRX9P6HKXA8V,Animal
nonvegan,vegetarian,Proportion,0.2468600779315258,NA,1.0130210101621713,-0.916290731874155,1.0331844833456545,1.0216583525588152,Restaurant,JHDN7CF1C03X5,Animal
nonvegan,vegetarian,Proportion,1.728109442151599,NA,1.1444681538200623,0.01980262729617973,3.2402458506043934,1.004785808990058,Restaurant,L69HYJ4Y3TR91,Animal
nonvegan,vegetarian,Proportion,1.3812818192963463,NA,1.1345616715473283,0.4054651081081644,2.3174737054877963,1.0017618445076375,Restaurant,ED5J990H5VAZT,Animal
nonvegan,vegetarian,Proportion,0.8241754429663494,NA,1.074388799624234,-0.2613647641344075,1.6974487897568136,1.0036763632065218,Restaurant,W8T41JZK0ZMEP,Animal
meat,mpbamod,Count,0.12221763272424911,NA,1.0122803323665195,0.03922071315328133,0.19885085874516517,1.0056280828587563,Restaurant,SRQS8F7JWA9MZ,Animal
meat,mpbamod,Count,-0.020202707317519466,NA,0.9972802867977525,-0.19845093872383832,0.09531017980432493,1.0077159350856044,Restaurant,2HRX9P6HKXA8V,Animal
