outcome,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,source,color_group
Chicken,Presence,0.23111172096338664,NA,1.0233441742033491,0.058268908123975824,0.41871033485818504,1.1959940624411158,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal
Dairy,Count,0.02955880224154443,NA,1.0031786209467182,0,0.058268908123975824,1.0043587644717613,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,Animal
Dairy,Count,0.03922071315328133,NA,1.0036502085192096,0.009950330853168092,0.06765864847381486,1.0021742776183384,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,Animal
Dairy,Count,0.03922071315328133,NA,1.0036724945391193,0.01980262729617973,0.058268908123975824,1.000780916529724,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal
Dairy,Presence,0,NA,0.9997437601862861,-0.13926206733350766,0.131028262406404,1.001576921177201,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,Animal
Dairy,Presence,17.227115358738114,NA,1.110245276968003,-1.171182981502945,5.571545482029667,1.0256382347999196,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,Animal
Dairy,Presence,2.1016921506146558,NA,1.0242249806575336,-1.7719568419318752,2.390595970316759,1.0428190002520743,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal
Egg,Count,0.02955880224154443,NA,1.0028119194370995,-0.020202707317519466,0.06765864847381486,1.0001616984894242,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,Animal
Egg,Count,0.058268908123975824,NA,1.005503763647419,0.01980262729617973,0.08617769624105241,1.0016910237543852,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal
Egg,Presence,0.10436001532424286,NA,1.0098752972660445,-0.13926206733350766,0.3364722366212129,1.0007150739266082,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,Animal
Egg,Presence,0.5596157879354227,NA,1.0107839907679395,-2.120263536200091,1.9110228900548727,1.0028886321343649,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal
Untextured,Count,0.09531017980432493,NA,1.0092842267936095,0.009950330853168092,0.1906203596086497,1.273588304635101,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc,Animal
Untextured,Presence,0.09531017980432493,NA,1.0092842267936095,0.009950330853168092,0.1906203596086497,1.273588304635101,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc,Animal
