outcome,effect_type,mean,q5,q95,rhat,estimate_type,restaurant_id,color_group,ess_bulk
vegetarian,Level Change,1.22,1.07,1.4,1.0012020158705102,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA
vegetarian,Level Change,1.14,1,1.3,1.0006362412789414,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA
vegetarian,Slope Change,0.78,0.38,1.43,1.0006145090400123,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA
vegetarian,Slope Change,0.92,0.52,1.88,1.000357878558197,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA
vegetarian,Level Change,0.59,0.46,0.74,1.0032827536553415,Restaurant,2HRX9P6HKXA8V,Plant-based,NA
vegetarian,Slope Change,1.15,0.82,1.69,1.007652908382053,Restaurant,2HRX9P6HKXA8V,Plant-based,NA
vegetarian,Level Change,0.95,0.85,1.07,1.0042181917491506,Restaurant,JHDN7CF1C03X5,Plant-based,NA
vegetarian,Slope Change,0.95,0.76,1.22,1.0083206718301159,Restaurant,JHDN7CF1C03X5,Plant-based,NA
vegetarian,Level Change,1.48,1.15,1.93,1.001514260187525,Restaurant,L69HYJ4Y3TR91,Plant-based,NA
vegetarian,Slope Change,1.5,0.84,3.84,1.0033511164772637,Restaurant,L69HYJ4Y3TR91,Plant-based,NA
vegetarian,Level Change,1.05,0.86,1.28,1.0024980606139482,Restaurant,ED5J990H5VAZT,Plant-based,NA
vegetarian,Slope Change,1.23,0.92,1.67,1.0052491940174193,Restaurant,ED5J990H5VAZT,Plant-based,NA
vegan,Level Change,1.1,0.91,1.34,1.0025117915991029,Restaurant,VLZX7K2M9QD4T,Plant-based,NA
vegan,Slope Change,0.9,0.26,2.31,1.0075044534278692,Restaurant,VLZX7K2M9QD4T,Plant-based,NA
vegan,Level Change,1,0.82,1.21,1.0051877095077741,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA
vegan,Level Change,1.03,0.86,1.24,1.0026641842497723,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA
vegan,Slope Change,0.51,0.13,1.15,1.00900363080486,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA
vegan,Slope Change,1.24,0.55,4.55,1.005988947654137,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA
vegan,Level Change,0.89,0.72,1.07,1.000142018673007,Restaurant,2HRX9P6HKXA8V,Plant-based,NA
vegan,Slope Change,0.92,0.59,1.46,1.0126913076442705,Restaurant,2HRX9P6HKXA8V,Plant-based,NA
vegan,Level Change,1.04,0.92,1.17,1.0122230261087966,Restaurant,JHDN7CF1C03X5,Plant-based,NA
vegan,Slope Change,1.08,0.82,1.45,1.0284678376629401,Restaurant,JHDN7CF1C03X5,Plant-based,NA
vegan,Level Change,1.2,0.93,1.67,1.0041051391014206,Restaurant,L69HYJ4Y3TR91,Plant-based,NA
vegan,Slope Change,3.52,1.01,19.68,1.0080109679939737,Restaurant,L69HYJ4Y3TR91,Plant-based,NA
vegan,Level Change,1.22,0.98,1.59,1.0010432772939948,Restaurant,ED5J990H5VAZT,Plant-based,NA
vegan,Slope Change,1.44,1,2.09,1.0016992121557893,Restaurant,ED5J990H5VAZT,Plant-based,NA
