outcome,effect_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id,color_group,ess_bulk
nonvegan,Level Change,1.08,0.93,1.26,1.1197812661623805,Restaurant,SRQS8F7JWA9MZ,Animal,NA
nonvegan,Level Change,1.06,0.96,1.16,1.056436185015094,Restaurant,SRQS8F7JWA9MZ,Animal,NA
nonvegan,Slope Change,0.34,0.15,0.73,1.0753247900137273,Restaurant,SRQS8F7JWA9MZ,Animal,NA
nonvegan,Slope Change,1.6,0.75,3.63,1.083426550195771,Restaurant,SRQS8F7JWA9MZ,Animal,NA
nonvegan,Level Change,0.87,0.72,0.99,1.030359346161561,Restaurant,2HRX9P6HKXA8V,Animal,NA
nonvegan,Slope Change,1.26,0.86,1.71,1.089820087840704,Restaurant,2HRX9P6HKXA8V,Animal,NA
nonvegan,Level Change,1.15,1.07,1.25,1.047516305602438,Restaurant,JHDN7CF1C03X5,Animal,NA
nonvegan,Slope Change,1.89,1.65,2.24,1.1166703537279037,Restaurant,JHDN7CF1C03X5,Animal,NA
nonvegan,Level Change,1.19,1,1.48,1.0345142744585645,Restaurant,L69HYJ4Y3TR91,Animal,NA
nonvegan,Slope Change,2.31,1.1,4.36,1.0423950656810574,Restaurant,L69HYJ4Y3TR91,Animal,NA
nonvegan,Level Change,1.01,0.87,1.17,1.039890601729473,Restaurant,ED5J990H5VAZT,Animal,NA
nonvegan,Slope Change,1.52,1.21,2.02,1.0769823371523788,Restaurant,ED5J990H5VAZT,Animal,NA
meat,Level Change,1.03,0.95,1.11,1.0399787348598872,Restaurant,VLZX7K2M9QD4T,Animal,NA
meat,Slope Change,1.19,0.7,2.12,1.0494571498479361,Restaurant,VLZX7K2M9QD4T,Animal,NA
meat,Level Change,0.97,0.87,1.08,1.0039566372622293,Restaurant,SRQS8F7JWA9MZ,Animal,NA
meat,Level Change,1,0.9,1.12,1.034536053236146,Restaurant,SRQS8F7JWA9MZ,Animal,NA
meat,Slope Change,0.41,0.17,0.9,1.04740493924437,Restaurant,SRQS8F7JWA9MZ,Animal,NA
meat,Slope Change,1.4,0.62,3.29,1.0397019700759884,Restaurant,SRQS8F7JWA9MZ,Animal,NA
meat,Level Change,0.9,0.75,1.07,1.1575153065478159,Restaurant,2HRX9P6HKXA8V,Animal,NA
meat,Slope Change,1.12,0.83,1.6,1.0283679904643852,Restaurant,2HRX9P6HKXA8V,Animal,NA
meat,Level Change,1.12,0.95,1.25,1.35552981111205,Restaurant,JHDN7CF1C03X5,Animal,NA
meat,Slope Change,1.88,1.55,2.22,1.1681328631317207,Restaurant,JHDN7CF1C03X5,Animal,NA
meat,Level Change,0.97,0.78,1.16,1.030272921181297,Restaurant,L69HYJ4Y3TR91,Animal,NA
meat,Slope Change,1.76,0.97,4.41,1.1130683794226064,Restaurant,L69HYJ4Y3TR91,Animal,NA
meat,Level Change,1.04,0.88,1.23,1.0172722478044784,Restaurant,ED5J990H5VAZT,Animal,NA
meat,Slope Change,1.34,0.97,1.75,1.0615326430897463,Restaurant,ED5J990H5VAZT,Animal,NA
chicken_fish,Level Change,0.97,0.88,1.05,1.0031921797608032,Restaurant,VLZX7K2M9QD4T,Animal,NA
chicken_fish,Slope Change,1.54,0.74,2.74,1.0127886632189629,Restaurant,VLZX7K2M9QD4T,Animal,NA
chicken_fish,Level Change,0.91,0.71,1.13,1.0172411145260998,Restaurant,2HRX9P6HKXA8V,Animal,NA
chicken_fish,Slope Change,1.65,1.01,2.64,1.063785114217455,Restaurant,2HRX9P6HKXA8V,Animal,NA
chicken_fish,Level Change,1.16,1.08,1.24,1.0095421987939455,Restaurant,JHDN7CF1C03X5,Animal,NA
chicken_fish,Slope Change,1.74,1.49,2.01,1.005741129612303,Restaurant,JHDN7CF1C03X5,Animal,NA
chicken_fish,Level Change,0.89,0.51,1.42,1.0864636056500694,Restaurant,L69HYJ4Y3TR91,Animal,NA
chicken_fish,Slope Change,2.04,0.81,5.53,1.0284093024719319,Restaurant,L69HYJ4Y3TR91,Animal,NA
chicken_fish,Level Change,0.76,0.48,1.09,1.0483854722743287,Restaurant,ED5J990H5VAZT,Animal,NA
chicken_fish,Slope Change,2.68,1.53,5.76,1.0345197483731483,Restaurant,ED5J990H5VAZT,Animal,NA
vegetarian,Level Change,1.03,0.95,1.11,1.0194842253778178,Restaurant,VLZX7K2M9QD4T,Plant-based,NA
vegetarian,Slope Change,1.15,0.86,1.46,1.0705437841762526,Restaurant,VLZX7K2M9QD4T,Plant-based,NA
vegetarian,Level Change,1.08,1,1.16,1.020442836746817,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA
vegetarian,Level Change,1.07,1,1.15,1.0111024811050675,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA
vegetarian,Slope Change,0.8,0.65,1.02,1.0599814706834496,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA
vegetarian,Slope Change,0.92,0.68,1.19,0.999717155343333,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA
vegetarian,Level Change,0.78,0.66,0.89,1.016726292211178,Restaurant,2HRX9P6HKXA8V,Plant-based,NA
vegetarian,Slope Change,1.35,1.14,1.56,1.0069368390015794,Restaurant,2HRX9P6HKXA8V,Plant-based,NA
vegetarian,Level Change,1.13,1.04,1.21,1.0173209098940272,Restaurant,JHDN7CF1C03X5,Plant-based,NA
vegetarian,Slope Change,1.55,1.37,1.74,1.0248370823311148,Restaurant,JHDN7CF1C03X5,Plant-based,NA
vegetarian,Level Change,1.4,1.14,1.81,1.0596650072425693,Restaurant,L69HYJ4Y3TR91,Plant-based,NA
vegetarian,Slope Change,1.83,1.25,3.26,1.5162535907450008,Restaurant,L69HYJ4Y3TR91,Plant-based,NA
vegetarian,Level Change,1.12,0.93,1.29,1.0220977979630907,Restaurant,ED5J990H5VAZT,Plant-based,NA
vegetarian,Slope Change,1.51,1.29,1.9,1.1741014888878687,Restaurant,ED5J990H5VAZT,Plant-based,NA
vegan,Level Change,1.14,1.04,1.26,1.076720875312652,Restaurant,VLZX7K2M9QD4T,Plant-based,NA
vegan,Slope Change,1.19,0.82,1.63,1.0798066400390307,Restaurant,VLZX7K2M9QD4T,Plant-based,NA
vegan,Level Change,0.88,0.74,1.06,1.074080127004247,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA
vegan,Level Change,1.13,0.99,1.35,1.127143786452847,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA
vegan,Slope Change,0.65,0.12,1.26,1.2968987474307214,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA
vegan,Slope Change,1.07,0.56,4.79,1.5304295567866413,Restaurant,SRQS8F7JWA9MZ,Plant-based,NA
vegan,Level Change,0.9,0.78,1.02,1.052904638540105,Restaurant,2HRX9P6HKXA8V,Plant-based,NA
vegan,Slope Change,1.29,1.12,1.48,1.1980647054984424,Restaurant,2HRX9P6HKXA8V,Plant-based,NA
vegan,Level Change,1.17,1.1,1.25,1.0653348369476572,Restaurant,JHDN7CF1C03X5,Plant-based,NA
vegan,Slope Change,1.22,1.04,1.43,1.2086379637673543,Restaurant,JHDN7CF1C03X5,Plant-based,NA
vegan,Level Change,1.19,0.94,1.45,1.1106149416138535,Restaurant,L69HYJ4Y3TR91,Plant-based,NA
vegan,Slope Change,1.52,1.14,2.65,1.002185260630128,Restaurant,L69HYJ4Y3TR91,Plant-based,NA
vegan,Level Change,1.39,1.16,1.62,1.245309986480717,Restaurant,ED5J990H5VAZT,Plant-based,NA
vegan,Slope Change,1.36,1.08,1.92,1.0208163734554583,Restaurant,ED5J990H5VAZT,Plant-based,NA
