outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,q16,q84,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,1.0192267942683895,0.8161396042593538,1.2761767274901168,1.2097853534142802,1.0192267942683895,NA,Restaurant,78AY09MVJVTYE,0.9098257839574581,1.1398060368313216,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/78AY09MVJVTYE.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9098257839574581,1.1398060368313216
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,1.018019621374747,0.886698258608189,1.1657037150555087,1.1955327761084353,1.018019621374747,NA,Restaurant,9XKJD8DQTH559,0.9495447521383047,1.0922255148153326,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/9XKJD8DQTH559.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9495447521383047,1.0922255148153326
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,1.0253750775790789,0.6810397465893778,1.5551145056592122,1.2847764701179956,1.0253750775790789,NA,Restaurant,C0BE4NDSW26QN,0.8339040673481609,1.273353676332357,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/C0BE4NDSW26QN.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8339040673481609,1.273353676332357
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,1.0005365538935715,0.8840072732234528,1.1279864033663678,1.0053785125429888,1.0005365538935715,NA,Restaurant,CB2KHY1C2G9PT,0.9386898433577359,1.0640552412076711,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/CB2KHY1C2G9PT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9386898433577359,1.0640552412076711
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,0.9974122569943648,0.9572063309852116,1.040348948702456,0.9744218385233478,0.9974122569943648,NA,Restaurant,ED5J990H5VAZT,0.9771712311068409,1.0181494219337044,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9771712311068409,1.0181494219337044
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,1.0045822224203567,0.8617209199270148,1.1587635439629105,1.04677871702017,1.0045822224203567,NA,Restaurant,EMBVNVD207CC6,0.9301866057523608,1.0791051666357434,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/EMBVNVD207CC6.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9301866057523608,1.0791051666357434
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,1.0491596653194162,0.880443892489518,1.2514468063549142,1.6159051272651928,1.0491596653194162,NA,Restaurant,JHDN7CF1C03X5,0.9625086531604874,1.1488579527790024,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/JHDN7CF1C03X5.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9625086531604874,1.1488579527790024
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,0.9672930246252344,0.5871054982683217,1.567235563073645,0.7171013826372592,0.9672930246252344,NA,Restaurant,L69HYJ4Y3TR91,0.7482471268522164,1.214436383362748,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7482471268522164,1.214436383362748
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,0.9876773484151643,0.7101243959181139,1.3493160919090084,0.8833868637804019,0.9876773484151643,NA,Restaurant,LBZEEFSBJNB3Z,0.8344146085490679,1.1566285952737076,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/LBZEEFSBJNB3Z.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8344146085490679,1.1566285952737076
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,0.9699022938963652,0.461229162539036,2.0518608087199364,0.7366816713481318,0.9699022938963652,NA,Restaurant,LFZFT3VASXPED,0.6664192422642659,1.405947706168482,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/LFZFT3VASXPED.png,Animal,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.6664192422642659,1.405947706168482
