outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,color_group
meat,mpbamod,Count,-2.599470654287107,NA,-1.2603868805479919,NA,1.00751834997467,1.0077159350856,Restaurant,2HRX9P6HKXA8V,Animal
meat,mpbamod,Count,NA,NA,-3.700622747464149,NA,0.999689422230574,1.00100015973338,Restaurant,ED5J990H5VAZT,Animal
meat,mpbamod,Count,NA,NA,-3.205353477802457,NA,0.99992888613591,1.00022160790297,Restaurant,JHDN7CF1C03X5,Animal
meat,mpbamod,Count,NA,NA,-2.162367925988474,NA,0.994176010074593,1.00529691349106,Restaurant,L69HYJ4Y3TR91,Animal
meat,mpbamod,Count,NA,NA,-3.127865786524837,NA,0.994282027206632,1.00562808285876,Restaurant,SRQS8F7JWA9MZ,Animal
meat,mpbamod,Count,NA,NA,-4.323147648534405,NA,0.998374404193097,1.00189130576359,Restaurant,W8T41JZK0ZMEP,Animal
meat,mpbamod,Proportion,0.08931474737002643,NA,1.4502012433624838,NA,1.12898340259619,1.01016862785676,Restaurant,2HRX9P6HKXA8V,Animal
meat,mpbamod,Proportion,-3.724071264348414,NA,-0.5245034823098735,NA,1.0028805022838,1.00926888613884,Restaurant,ED5J990H5VAZT,Animal
meat,mpbamod,Proportion,0.26068287625352,NA,1.0517509131892726,NA,1.14171358961639,1.00376110596664,Restaurant,JHDN7CF1C03X5,Animal
meat,mpbamod,Proportion,NA,NA,0.9203427413842027,NA,0.987014922748461,1.00672771888271,Restaurant,L69HYJ4Y3TR91,Animal
meat,mpbamod,Proportion,NA,NA,-0.9415239280535067,NA,0.947711773626643,1.01148531988288,Restaurant,SRQS8F7JWA9MZ,Animal
meat,mpbamod,Proportion,NA,NA,0.22348213398862643,NA,0.995788022181505,1.00605538397518,Restaurant,W8T41JZK0ZMEP,Animal
meat,vegan,Count,NA,NA,-2.2593932128723417,NA,0.997299716456589,1.00196905039339,Restaurant,2HRX9P6HKXA8V,Animal
meat,vegan,Count,NA,NA,-5.105064112413741,NA,0.991218356002485,1.00146644541606,Restaurant,ED5J990H5VAZT,Animal
meat,vegan,Count,NA,NA,-6.481352566992428,NA,0.997841354962049,1.00019162310557,Restaurant,JHDN7CF1C03X5,Animal
