outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,q16,q84,pred_path,color_group,exposure_strip,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Vegetarian,Level change,-0.172810509787736,-0.361183234775,-9.85010497499998e-4,0.8393433808395756,NA,NA,Restaurant,S8MT0YGD2KTN9,-0.26774788108,-0.07466232024,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/S8MT0YGD2KTN9.png,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.26774788108,-0.07466232024
Vegetarian,Level change,0.02929548363,-0.230796574,0.28643064,1.0287584686954516,NA,NA,Restaurant,1SQPTEGYPH0GA,-0.1019908268,0.1615752868,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/1SQPTEGYPH0GA.png,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.1019908268,0.1615752868
Vegetarian,Level change,-0.017536258275,-0.31788590325,0.29986481375,0.9781602427267194,NA,NA,Restaurant,9XKJD8DQTH559,-0.1783958,0.141523862,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/9XKJD8DQTH559.png,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.1783958,0.141523862
Vegetarian,Level change,-0.04329957377864,-0.391996778,0.284639775,0.9635960909153621,NA,NA,Restaurant,9XKJD8DQTH559,-0.218622086,0.120741466,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/9XKJD8DQTH559.png,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.218622086,0.120741466
Vegetarian,Level change,0.13130497140877,-0.49117003075,0.8363297355,1.1291839627669689,NA,NA,Restaurant,LQ5EH4BKGV61T,-0.208530176,0.468797483888,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/LQ5EH4BKGV61T.png,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.208530176,0.468797483888
Vegetarian,Level change,0.0481237033341,-0.076088095925,0.15899241575,1.0486219042702853,NA,NA,Restaurant,78AY09MVJVTYE,-0.0127241522,0.10958996896,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/78AY09MVJVTYE.png,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.0127241522,0.10958996896
Vegetarian,Slope change,-0.403114556727,-1.0878513,0.27716196,0.6513753033797737,NA,NA,Restaurant,VLZX7K2M9QD4T,-0.691743884,-0.07769644,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/VLZX7K2M9QD4T.png,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.691743884,-0.07769644
Vegetarian,Slope change,1.045471101115,0.317350425,1.8234827175,2.7791417305009842,NA,NA,Restaurant,SRQS8F7JWA9MZ,0.665897672,1.45008776,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/SRQS8F7JWA9MZ.png,Plant-based,Exposure: Introductions,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.665897672,1.45008776
Vegetarian,Slope change,-0.458207056118,-1.233476175,0.2752588725,0.6422584411421753,NA,NA,Restaurant,SRQS8F7JWA9MZ,-0.827023256,-0.103893408,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/SRQS8F7JWA9MZ.png,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.827023256,-0.103893408
Vegetarian,Slope change,-0.46101349755,-1.11175878,0.0737910975,0.6318015103918267,NA,NA,Restaurant,2HRX9P6HKXA8V,-0.700725304,-0.18213896,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/2HRX9P6HKXA8V.png,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.700725304,-0.18213896
