outcome,exposure_group,exposure_type,mean,q5,q95,rhat,estimate_type,restaurant_id
vegan,mpbamod,Proportion,1.0941919383436087,1.0434439926896288,1.1440186973482884,1.000521020785247,Restaurant,ED5J990H5VAZT
vegan,mpbamod,Proportion,0.9663308284400851,0.8469842998552983,1.107255833228436,1.0002712691919886,Restaurant,W8T41JZK0ZMEP
vegan,vegan,Count,1.24,1.04,1.49,1.000194094312975,Restaurant,2HRX9P6HKXA8V
vegan,vegan,Count,1.05,1.03,1.07,1.0001268511525376,Restaurant,JHDN7CF1C03X5
vegan,vegan,Count,1.23,1.13,1.34,1.0001850814086042,Restaurant,L69HYJ4Y3TR91
vegan,vegan,Count,1.43,1.28,1.6,1.000577848906828,Restaurant,ED5J990H5VAZT
vegan,vegan,Count,1.02,1,1.05,1.0010954341600358,Restaurant,W8T41JZK0ZMEP
vegan,vegan,Proportion,1.2073205401839437,1.0364147944268143,1.401562880752316,1.000606407127599,Restaurant,2HRX9P6HKXA8V
vegan,vegan,Proportion,1.2407995027050627,1.1434214531455542,1.3593920553152026,0.9998509031588395,Restaurant,JHDN7CF1C03X5
vegan,vegan,Proportion,1.2857800877178558,1.122292152623965,1.6027276000637434,1.0006050495929821,Restaurant,L69HYJ4Y3TR91
vegan,vegan,Proportion,1.2135937284566445,1.1108018728466673,1.3346956464360544,1.0005189561902579,Restaurant,ED5J990H5VAZT
vegan,vegan,Proportion,1.1540414354687236,1.0149526899409642,1.2828347831754765,1.0007640540116194,Restaurant,W8T41JZK0ZMEP
vegan,vegetarian,Count,1.01,0.98,1.05,0.9996454043366273,Restaurant,SRQS8F7JWA9MZ
vegan,vegetarian,Count,1.03,0.98,1.09,1.0006589121883132,Restaurant,2HRX9P6HKXA8V
vegan,vegetarian,Count,1.02,1.01,1.04,1.0016601922322659,Restaurant,JHDN7CF1C03X5
vegan,vegetarian,Count,1.06,1.02,1.11,1.0002050597377001,Restaurant,L69HYJ4Y3TR91
vegan,vegetarian,Count,1.05,1.02,1.08,1.0002014351265147,Restaurant,ED5J990H5VAZT
vegan,vegetarian,Count,1.01,1,1.03,0.9996897152861567,Restaurant,W8T41JZK0ZMEP
vegan,vegetarian,Proportion,1.0800537648543813,0.9927691996602169,1.1653709758209865,1.000175996101875,Restaurant,SRQS8F7JWA9MZ
vegan,vegetarian,Proportion,1.0830170590841925,0.9436670752867394,1.2190844752232717,0.9999819837603342,Restaurant,2HRX9P6HKXA8V
vegan,vegetarian,Proportion,1.1449093352739208,1.067407187560915,1.2340375935229018,1.0019533386779562,Restaurant,JHDN7CF1C03X5
vegan,vegetarian,Proportion,1.1594351219871442,1.0349560586847328,1.350759762739206,1.0002232984516977,Restaurant,L69HYJ4Y3TR91
vegan,vegetarian,Proportion,1.1440186973482884,1.0385688332697405,1.276087776605754,1.0006611949287494,Restaurant,ED5J990H5VAZT
vegan,vegetarian,Proportion,1.0651622954916389,0.9272776363420387,1.1819283863869205,1.0003196327986181,Restaurant,W8T41JZK0ZMEP
vegetarian,mpbamod,Count,1.24,1.15,1.33,1.0001595754428925,Restaurant,SRQS8F7JWA9MZ
vegetarian,mpbamod,Count,0.6,0.46,0.8,1.0045283368207933,Restaurant,2HRX9P6HKXA8V
vegetarian,mpbamod,Count,1,0.97,1.02,1.0005211452014413,Restaurant,JHDN7CF1C03X5
vegetarian,mpbamod,Count,1.13,0.99,1.3,1.0005954343568932,Restaurant,L69HYJ4Y3TR91
vegetarian,mpbamod,Count,1.02,1,1.04,1.0014922947498441,Restaurant,ED5J990H5VAZT
vegetarian,mpbamod,Count,1.01,0.99,1.04,1.003520423922023,Restaurant,W8T41JZK0ZMEP
vegetarian,mpbamod,Proportion,1.2532733050832745,1.1661255080352224,1.350759762739206,0.9998621303402511,Restaurant,SRQS8F7JWA9MZ
vegetarian,mpbamod,Proportion,0.6309573444801932,0,0.8513399225207846,1.0006586843965597,Restaurant,2HRX9P6HKXA8V
vegetarian,mpbamod,Proportion,0.7411344491069477,0.6762433378062414,0.8154443636507333,1.000196221644588,Restaurant,JHDN7CF1C03X5
vegetarian,mpbamod,Proportion,1.1052407538560174,0.821509903954877,1.5074153275211228,1.0006716968700915,Restaurant,L69HYJ4Y3TR91
