outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,q16,q84,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
nonvegan,Exposure: Vegetarian,Form: Proportion,1.0062292365467096,0.9262104623545375,1.094531725028478,1.0640678423564796,1.0062292365467096,NA,Restaurant,CB2KHY1C2G9PT,0.9651958085192848,1.048749466413672,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9651958085192848,1.048749466413672
nonvegan,Exposure: Vegetarian,Form: Proportion,0.969417253603433,0.8584352347109376,1.0924229841002877,0.7330058655594592,0.969417253603433,NA,Restaurant,ED5J990H5VAZT,0.9122718202460821,1.0310341602406028,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9122718202460821,1.0310341602406028
nonvegan,Exposure: Vegetarian,Form: Proportion,0.959832615093697,0.8475592267966269,1.085733048716271,0.6636743477143907,0.959832615093697,NA,Restaurant,EMBVNVD207CC6,0.899786570238858,1.0212926481351765,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.899786570238858,1.0212926481351765
nonvegan,Exposure: Vegetarian,Form: Proportion,0.9723862909487772,0.8587332567242412,1.0911501170881792,0.755767607156631,0.9723862909487772,NA,Restaurant,JHDN7CF1C03X5,0.9127138878394951,1.0333274241064725,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9127138878394951,1.0333274241064725
nonvegan,Exposure: Vegetarian,Form: Proportion,0.9422281040933386,0.7539016592524056,1.18215332916295,0.5515190768740872,0.9422281040933386,NA,Restaurant,L69HYJ4Y3TR91,0.8369736374032918,1.0537462338726933,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8369736374032918,1.0537462338726933
nonvegan,Exposure: Vegetarian,Form: Proportion,1.0061346769751374,0.8821582191692743,1.1411006134743567,1.0630683160391674,1.0061346769751374,NA,Restaurant,LBZEEFSBJNB3Z,0.941014674637499,1.0693071501502036,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.941014674637499,1.0693071501502036
nonvegan,Exposure: Vegetarian,Form: Proportion,0.9458566232152932,0.6965925552667667,1.2503640426890295,0.5731299351842364,0.9458566232152932,NA,Restaurant,LFZFT3VASXPED,0.8132588003793061,1.094546002472524,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8132588003793061,1.094546002472524
nonvegan,Exposure: Vegetarian,Form: Proportion,1.0019954111885092,0.8089052412709652,1.2509622940711993,1.0201342435911127,1.0019954111885092,NA,Restaurant,LQ5EH4BKGV61T,0.8974894030320844,1.115011802881498,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8974894030320844,1.115011802881498
nonvegan,Exposure: Vegetarian,Form: Proportion,1.012584109844831,0.9101983240271598,1.118943422205711,1.1332117751715869,1.012584109844831,NA,Restaurant,S8MT0YGD2KTN9,0.9599866194598952,1.0656017852608624,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9599866194598952,1.0656017852608624
nonvegan,Exposure: Vegetarian,Form: Proportion,0.9783985376445091,0.7624678456435792,1.2850793445211504,0.803818410821448,0.9783985376445091,NA,Restaurant,SAFK7ND1HR6XS,0.8654228069269461,1.1213394417879714,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8654228069269461,1.1213394417879714
