outcome,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,source,pred_path,color_group
Breakfast,presence,1.2370053205997145,0.9449519469388084,1.5126687187865284,31.3520761573194,1.411323686840073,1.0076917029868,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/breakfast_p/breakfast_dishes_presence/plots/LBZEEFSBJNB3Z.png,Animal
Breakfast,presence,1.2754687445210042,0.6871390427926803,1.654653170424637,35.88715026196843,1.4305198790698905,1.00183426585239,Restaurant,LQ5EH4BKGV61T,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/breakfast_p/breakfast_dishes_presence/plots/LQ5EH4BKGV61T.png,Animal
Breakfast,presence,1.567909017643817,NA,2.331745140743584,121.09896183370206,1.6155263352711555,1.00556530503484,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/breakfast_p/breakfast_dishes_presence/plots/SAFK7ND1HR6XS.png,Animal
Breakfast,presence,1.0387786961971177,0.745700967692623,1.2873233887837328,16.873828126640607,1.3265430912622538,1.01107155322485,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/breakfast_p/breakfast_dishes_presence/plots/V3Q26BHF3SE2H.png,Animal
Chicken,count,-2.3289889626460987,-3.6375365509569213,-1.7449259322915567,1.1022947756411754,1.0097869991148816,1.00100780003826,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/chicken_p/chicken_dishes_count/plots/9XKJD8DQTH559.png,Animal
Chicken,count,-2.6811792157675742,-3.582641833225389,-2.209829992809134,1.0708817248497482,1.00687173788759,1.00956633619886,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/chicken_p/chicken_dishes_count/plots/JHDN7CF1C03X5.png,Animal
Chicken,count,-2.5033440230001944,NA,-0.882951886404586,1.0852506378549351,1.0082146529105083,1.00653392794671,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/chicken_p/chicken_dishes_count/plots/LBZEEFSBJNB3Z.png,Animal
Chicken,count,-2.4372321216557546,NA,-0.9223659612657477,1.0913357844694793,1.0087785510814613,1.00668170885033,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/chicken_p/chicken_dishes_count/plots/SAFK7ND1HR6XS.png,Animal
Chicken,count,NA,NA,-2.386671080384145,0.9975329692244604,0.9997530226129152,1.01488973839625,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/chicken_p/chicken_dishes_count/plots/V3Q26BHF3SE2H.png,Animal
Chicken,count,-2.113774499225233,-2.9687076505076035,-1.6091302097794182,1.1283780147179134,1.012151356698123,1.00062586347506,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/chicken_p/chicken_dishes_count/plots/W8T41JZK0ZMEP.png,Animal
Chicken,presence,1.3390395833912085,0.7643642101059008,1.7232365765694648,45.39388450010965,1.4645349317404253,1.00269507172095,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/chicken_p/chicken_dishes_presence/plots/9XKJD8DQTH559.png,Animal
Chicken,presence,1.1056180678769507,NA,1.9444180364087051,20.513662575814173,1.3527088169458068,1.00091031322187,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/chicken_p/chicken_dishes_presence/plots/JHDN7CF1C03X5.png,Animal
Chicken,presence,0.7194672098552402,NA,1.708511456437105,7.793880857922483,1.2279349942454385,1.00103355268897,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/chicken_p/chicken_dishes_presence/plots/LBZEEFSBJNB3Z.png,Animal
Chicken,presence,0.8119494691257041,NA,1.7713126845070217,9.509530328123775,1.2526100931266535,1.00079612300322,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/chicken_p/chicken_dishes_presence/plots/SAFK7ND1HR6XS.png,Animal
Chicken,presence,0.7815916258137864,0.11560176953532192,1.219447698125181,8.890178407562365,1.2442024369769686,1.00213318173367,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/chicken_p/chicken_dishes_presence/plots/V3Q26BHF3SE2H.png,Animal
Chicken,presence,-1.090905212346862,-1.9843766646870584,-0.6073607076257429,1.3992162859027906,1.0341617843575204,1.00081823236432,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/chicken_p/chicken_dishes_presence/plots/W8T41JZK0ZMEP.png,Animal
Dairy,count,-1.1078832553793627,-2.0528276539698553,-0.679081566735234,1.3913260595726635,1.033577132018834,1.01608545141918,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_count/plots/9XKJD8DQTH559.png,Animal
Dairy,count,-3.2629584648191945,NA,-1.7996835822477395,1.0390169181824378,1.003834833742978,1.00084055863915,Restaurant,C0BE4NDSW26QN,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_count/plots/C0BE4NDSW26QN.png,Animal
Dairy,count,-3.0715850560119224,-5.20012955836333,-2.419423787181225,1.047438471862617,1.0046455204289575,1.00176526838466,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_count/plots/ED5J990H5VAZT.png,Animal
Dairy,count,-2.038888520970756,NA,-1.2688677445287921,1.1390257769394991,1.0131024258340167,1.03184241093957,Restaurant,EMBVNVD207CC6,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_count/plots/EMBVNVD207CC6.png,Animal
Dairy,count,-3.0839950107464995,-4.514523819418641,-2.512651215352603,1.0468399084619586,1.0045880947424235,1.0000880460273,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_count/plots/JHDN7CF1C03X5.png,Animal
Dairy,count,-5.171194178256166,NA,-2.5758678680494835,1.0056939336500788,1.0005679396649334,1.01097476057465,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_count/plots/LBZEEFSBJNB3Z.png,Animal
Dairy,count,-2.247262566155063,NA,-0.849736840616193,1.1114752013909075,1.0106248615182623,1.00582261438459,Restaurant,LFZFT3VASXPED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_count/plots/LFZFT3VASXPED.png,Animal
Dairy,count,-2.1303312755697887,NA,-0.9127415377217396,1.126142338506678,1.01195063825523,1.00566611603791,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_count/plots/SAFK7ND1HR6XS.png,Animal
Dairy,count,NA,NA,-2.4272623989859423,0.9841190892935593,0.9984004443002465,1.00104520752112,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_count/plots/V3Q26BHF3SE2H.png,Animal
Dairy,count,-3.414587501747001,-4.7624819024649305,-2.8346366089173056,1.0334368249229768,1.0032944117815428,1.00390860948262,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_count/plots/W8T41JZK0ZMEP.png,Animal
