outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,pred_path,color_group,left_ok,right_ok,color_group_inner,q1_lo,q1_hi
nonvegan,vegan,proportion,0.9355042292338565,0.7213802054254383,1.2182136019851917,0.5134019950942953,0.9355042292338565,1.00433544445577,Restaurant,L69HYJ4Y3TR91,NA,Animal,TRUE,TRUE,Animal_inner,0.8184552389419071,1.0692926396877156
nonvegan,vegan,proportion,0.9838603764985974,0.9070678042916543,1.065769874650277,0.8498351767555877,0.9838603764985974,1.00057558427499,Restaurant,SRQS8F7JWA9MZ,NA,Animal,TRUE,TRUE,Animal_inner,0.9442136720846859,1.0251718112774204
nonvegan,vegan,proportion,0.9718624077178069,0.8481464967579296,1.1162874807226695,0.7517056880777004,0.9718624077178069,1.00791667718654,Restaurant,W8T41JZK0ZMEP,NA,Animal,TRUE,TRUE,Animal_inner,0.90608676823902,1.0424129041975978
nonvegan,vegetarian,count,1.0070739221883949,0.9197123921888707,1.106885466045208,1.0070739221883949,1.000705150438982,1.00410253363992,Restaurant,2HRX9P6HKXA8V,NA,Animal,TRUE,TRUE,Animal_inner,0.9605903645845564,1.0558068476884477
nonvegan,vegetarian,count,0.9981166220113257,0.96748473207863,1.0299851683729953,0.9981166220113257,0.9998115023904073,1.00126934636385,Restaurant,ED5J990H5VAZT,NA,Animal,TRUE,TRUE,Animal_inner,0.9823038969930882,1.014183893787718
nonvegan,vegetarian,count,0.9959191239248077,0.978759023311204,1.0138308827890863,0.9959191239248077,0.999591161040112,1.00061011145939,Restaurant,JHDN7CF1C03X5,NA,Animal,TRUE,TRUE,Animal_inner,0.9870147178115272,1.0049038616145072
nonvegan,vegetarian,count,0.9927682499165832,0.9440568355486693,1.0432300423077039,0.9927682499165832,0.9992744607364905,1.00400247476887,Restaurant,L69HYJ4Y3TR91,NA,Animal,TRUE,TRUE,Animal_inner,0.9677898365035255,1.018391349926979
nonvegan,vegetarian,count,1.003675406150797,0.9680766122025524,1.0404633210949636,1.003675406150797,1.0003669341388677,1.00092349310069,Restaurant,SRQS8F7JWA9MZ,NA,Animal,TRUE,TRUE,Animal_inner,0.9853811267821919,1.0223093314173397
nonvegan,vegetarian,count,1.0063282028202332,0.9911353547230815,1.0231145722165655,1.0063282028202332,1.0006310253947324,1.01009382351672,Restaurant,W8T41JZK0ZMEP,NA,Animal,TRUE,TRUE,Animal_inner,0.9982089393290273,1.0145135070340197
nonvegan,vegetarian,proportion,0.9916014709102392,0.803807515136735,1.2353852101519365,0.919118744409893,0.9916014709102392,1.02095316519052,Restaurant,2HRX9P6HKXA8V,NA,Animal,TRUE,TRUE,Animal_inner,0.8886326803784637,1.106501593766031
nonvegan,vegetarian,proportion,0.9812571387649612,0.8516121723999239,1.1264748079226736,0.8276148851287656,0.9812571387649612,1.00176184450764,Restaurant,ED5J990H5VAZT,NA,Animal,TRUE,TRUE,Animal_inner,0.9136779191728438,1.053834783759341
nonvegan,vegetarian,proportion,0.974301065029375,0.8424531492505747,1.1234398897031515,0.770782370582559,0.974301065029375,1.02165835255882,Restaurant,JHDN7CF1C03X5,NA,Animal,TRUE,TRUE,Animal_inner,0.9053247238316334,1.048532687033865
nonvegan,vegetarian,proportion,0.9558987150447824,0.7443134921349276,1.2069928882376706,0.6369697062211565,0.9558987150447824,1.00478580899006,Restaurant,L69HYJ4Y3TR91,NA,Animal,TRUE,TRUE,Animal_inner,0.8449937670107743,1.081359873998473
nonvegan,vegetarian,proportion,1.000233977118377,0.9431474225541508,1.0625233255135718,1.0023422362596335,1.000233977118377,1.00208450867949,Restaurant,SRQS8F7JWA9MZ,NA,Animal,TRUE,TRUE,Animal_inner,0.9702816195899697,1.0311109566363144
nonvegan,vegetarian,proportion,0.9166518237848816,0.7867861606773329,1.0520575572145578,0.4188360629262218,0.9166518237848816,1.00367636320652,Restaurant,W8T41JZK0ZMEP,NA,Animal,TRUE,TRUE,Animal_inner,0.8511672793444751,0.9871744208673847
meat,mpba-modifiable,count,1.0771437964741097,0.863369365696161,1.327827711736854,1.0771437964741097,1.0074589710664557,1.0077159350856,Restaurant,2HRX9P6HKXA8V,NA,Animal,TRUE,TRUE,Animal_inner,0.9651250984604917,1.2021641133707952
meat,mpba-modifiable,count,0.9968888654224063,0.9712222950521092,1.0250159103371004,0.9968888654224063,0.9996884501199488,1.00100015973338,Restaurant,ED5J990H5VAZT,NA,Animal,TRUE,TRUE,Animal_inner,0.9832734341449271,1.0106928301865377
meat,mpba-modifiable,count,0.9992670678308831,0.9579469160670795,1.0413777202698564,0.9992670678308831,0.9999266825983308,1.00022160790297,Restaurant,JHDN7CF1C03X5,NA,Animal,TRUE,TRUE,Animal_inner,0.9782048920798029,1.02078274289582
meat,mpba-modifiable,count,0.9428713447915497,0.786228290732276,1.121932183488317,0.9428713447915497,0.994134724535536,1.00529691349106,Restaurant,L69HYJ4Y3TR91,NA,Animal,TRUE,TRUE,Animal_inner,0.8611129205446558,1.0323923281359277
meat,mpba-modifiable,count,0.944147399834827,0.8525995177704521,1.0447850808430967,0.944147399834827,0.9942691860096596,1.00562808285876,Restaurant,SRQS8F7JWA9MZ,NA,Animal,TRUE,TRUE,Animal_inner,0.8964352253167974,0.9943990234206177
meat,mpba-modifiable,count,0.9838508207670051,0.954114551304102,1.0133463641237621,0.9838508207670051,0.9983732248020917,1.00189130576359,Restaurant,W8T41JZK0ZMEP,NA,Animal,TRUE,TRUE,Animal_inner,0.968849785875155,0.9990841218482142
meat,mpba-modifiable,proportion,1.115544331501526,0.8288429350049302,1.5317291375177096,2.9844776942609257,1.115544331501526,1.01016862785676,Restaurant,2HRX9P6HKXA8V,NA,Animal,TRUE,TRUE,Animal_inner,0.9537809331883301,1.3047431671602354
