outcome,exposure_type,mean,q2.5,q16,q84,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,source,pred_path,exposure_strip,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Chicken,Form: Presence,-0.037414040863276224,NA,-0.0726271296,1.999996018,1.338221118900493,2.3479043515524114,1.0891007072623102,NA,Restaurant,JHDN7CF1C03X5,finalized_uncontaminated,NA,Exposure: Chicken Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,1.338221118900493
Chicken,Form: Presence,NA,NA,-0.8014533928,0.1779565768,-0.4040874052017919,0.7347011397820677,0.9696412245519563,NA,Restaurant,W8T41JZK0ZMEP,finalized_uncontaminated,NA,Exposure: Chicken Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,-0.4040874052017919
Dairy,Form: Count,-4.0776324109969355,NA,-0.00105304704,0.03492370332,-2.919687500674554,1.016977233116785,1.0016848908862732,NA,Restaurant,ED5J990H5VAZT,finalized_uncontaminated,NA,Exposure: Dairy Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,-2.919687500674554
Dairy,Form: Count,-3.2959980364639887,NA,0.01697699544,0.05708205036,-2.570636476459603,1.0381863312411896,1.003754558612409,NA,Restaurant,JHDN7CF1C03X5,finalized_uncontaminated,NA,Exposure: Dairy Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,-2.570636476459603
Dairy,Form: Count,-3.634941761661124,NA,0.01132342688,0.04195194712,-2.84974514271721,1.0262972862923974,1.0025991176148694,NA,Restaurant,W8T41JZK0ZMEP,finalized_uncontaminated,NA,Exposure: Dairy Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,-2.84974514271721
Dairy,Form: Presence,NA,NA,-0.47792062536,-0.10665850036,-2.5181523218824835,0.7453915162312035,0.9710429612342959,NA,Restaurant,ED5J990H5VAZT,finalized_uncontaminated,NA,Exposure: Dairy Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,-2.5181523218824835
Dairy,Form: Presence,0.20115332693066226,NA,0.037159703720000103,2.2667521672,1.5785186816291144,2.627514126085006,1.1014239250399975,NA,Restaurant,JHDN7CF1C03X5,finalized_uncontaminated,NA,Exposure: Dairy Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,1.5785186816291144
Dairy,Form: Presence,NA,NA,-1.2720817168,0.3986530272,0.5912935405637745,0.640813455805768,0.9564739850859335,NA,Restaurant,W8T41JZK0ZMEP,finalized_uncontaminated,NA,Exposure: Dairy Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,0.3986530272
Egg,Form: Count,-4.210350777496931,NA,-0.011036180628,0.04139965872,-2.7149577020513638,1.0144979250617754,1.001440419909634,NA,Restaurant,ED5J990H5VAZT,finalized_uncontaminated,NA,Exposure: Egg Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,-2.7149577020513638
Egg,Form: Count,-2.605689991139201,-3.496923131928925,0.05180523452,0.0957290304,-2.1380970369990133,1.076319153156968,1.007381815103772,NA,Restaurant,W8T41JZK0ZMEP,finalized_uncontaminated,NA,Exposure: Egg Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.05180523452,-2.1380970369990133
Egg,Form: Presence,NA,NA,-0.4059340476,0.0203145828,-1.4859671813161361,0.8222784741167012,0.9806225866797846,NA,Restaurant,ED5J990H5VAZT,finalized_uncontaminated,NA,Exposure: Egg Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,-1.4859671813161361
Egg,Form: Presence,NA,NA,-1.348055372,0.4144881768,0.5752829811411228,0.6261635249685966,0.9542645193646828,NA,Restaurant,W8T41JZK0ZMEP,finalized_uncontaminated,NA,Exposure: Egg Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,0.4144881768
Ground meat,Form: Count,NA,NA,-0.14502009888,-0.0233962412,-3.3204039919747257,0.9196803016840885,0.9916620384903123,NA,Restaurant,SRQS8F7JWA9MZ,finalized_uncontaminated,NA,"Exposure: Ground
Meat Analog",Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,-3.3204039919747257
Ground meat,Form: Presence,NA,NA,-1.919930694308,-1.24234530992,NA,0.20575367563826655,0.8537579489593106,NA,Restaurant,SRQS8F7JWA9MZ,finalized_uncontaminated,NA,"Exposure: Ground
Meat Analog",Animal,NA,NA,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
