outcome,effect_type,mean,mean_exp,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group,n_rest_in_group,rest_rank,step_size
nonvegan,Slope Change,10.32,NA,1.39,111.19,1.00175591609499,NA,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/W8T41JZK0ZMEP.png,Animal,22,1,0.15
nonvegan,Slope Change,0.25,NA,0.03,1.33,1.00098057097108,NA,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/W8T41JZK0ZMEP.png,Animal,22,21,0.15
nonvegan,Slope Change,0.37,NA,0.03,2.57,1.00264949423803,NA,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/W8T41JZK0ZMEP.png,Animal,22,20,0.15
nonvegan,Slope Change,1.28,NA,0.16,12.94,1.00057214793968,NA,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/W8T41JZK0ZMEP.png,Animal,22,10,0.15
nonvegan,Slope Change,1.96,NA,1.37,2.94,1.00277278883214,NA,Restaurant,EMBVNVD207CC6,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/EMBVNVD207CC6.png,Animal,22,5,0.15
nonvegan,Slope Change,0.8,NA,0.26,2.36,1.0001315938362,NA,Restaurant,C0BE4NDSW26QN,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/C0BE4NDSW26QN.png,Animal,22,15,0.15
nonvegan,Slope Change,1.62,NA,0.54,5.23,1.00019276359852,NA,Restaurant,C0BE4NDSW26QN,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/C0BE4NDSW26QN.png,Animal,22,8,0.15
nonvegan,Slope Change,0.72,NA,0.07,5.97,1.00090767711965,NA,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/V3Q26BHF3SE2H.png,Animal,22,17,0.15
nonvegan,Slope Change,0.89,NA,0.1,7.97,1.00087914740179,NA,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/V3Q26BHF3SE2H.png,Animal,22,14,0.15
nonvegan,Slope Change,0.65,NA,0.27,1.46,1.00045802983302,NA,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/V3Q26BHF3SE2H.png,Animal,22,18,0.15
nonvegan,Slope Change,3.18,NA,0.87,13.66,1.00147180706663,NA,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/V3Q26BHF3SE2H.png,Animal,22,3,0.15
nonvegan,Slope Change,0.49,NA,0.36,0.68,1.00160600270705,NA,Restaurant,LBZEEFSBJNB3Z,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/LBZEEFSBJNB3Z.png,Animal,22,19,0.15
nonvegan,Slope Change,1.37,NA,0.59,3.2,0.999992445731388,NA,Restaurant,SAFK7ND1HR6XS,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/SAFK7ND1HR6XS.png,Animal,22,9,0.15
nonvegan,Slope Change,1.18,NA,1.07,1.31,1.00189012731266,NA,Restaurant,S8MT0YGD2KTN9,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/S8MT0YGD2KTN9.png,Animal,22,11,0.15
nonvegan,Slope Change,1.78,NA,1.51,2.12,1.00176302478855,NA,Restaurant,1SQPTEGYPH0GA,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/1SQPTEGYPH0GA.png,Animal,22,7,0.15
