outcome,effect_type,mean,mean_exp,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,color_group
vegetarian,Level Change,0.88,NA,0.73,1.07,1.0073909251076838,NA,Restaurant,2HRX9P6HKXA8V,Plant-based
vegetarian,Slope Change,1.6,NA,1.07,2.86,1.0061120732981932,NA,Restaurant,2HRX9P6HKXA8V,Plant-based
vegetarian,Level Change,1.11,NA,1.01,1.2,1.0036687546698662,NA,Restaurant,JHDN7CF1C03X5,Plant-based
vegetarian,Slope Change,1.51,NA,1.26,1.82,1.0056694167939262,NA,Restaurant,JHDN7CF1C03X5,Plant-based
vegetarian,Level Change,1.33,NA,1.06,1.71,1.0066021214317584,NA,Restaurant,L69HYJ4Y3TR91,Plant-based
vegetarian,Slope Change,1.99,NA,1.1,5.16,1.003061274681473,NA,Restaurant,L69HYJ4Y3TR91,Plant-based
vegetarian,Level Change,1.11,NA,1,1.24,1.0014000133090861,NA,Restaurant,ED5J990H5VAZT,Plant-based
vegetarian,Slope Change,1.37,NA,1.13,1.64,1.002468888975203,NA,Restaurant,ED5J990H5VAZT,Plant-based
vegan,Level Change,1.16,NA,1.07,1.25,1.0238487266121923,NA,Restaurant,VLZX7K2M9QD4T,Plant-based
vegan,Slope Change,0.83,NA,0.36,1.37,1.1313382512215175,NA,Restaurant,VLZX7K2M9QD4T,Plant-based
vegan,Level Change,1.11,NA,1,1.24,1.0378381469111282,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegan,Level Change,1.18,NA,1.07,1.31,1.0250426477011696,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegan,Slope Change,0.64,NA,0.24,1.16,1.029556979535006,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegan,Slope Change,2.24,NA,0.98,5.14,1.036257858669382,NA,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegan,Level Change,1.03,NA,0.9,1.14,1.2554517461969803,NA,Restaurant,2HRX9P6HKXA8V,Plant-based
vegan,Slope Change,1.26,NA,1.04,1.54,1.1327213915599894,NA,Restaurant,2HRX9P6HKXA8V,Plant-based
vegan,Level Change,1.06,NA,0.98,1.14,1.0788879798587834,NA,Restaurant,JHDN7CF1C03X5,Plant-based
vegan,Slope Change,1.09,NA,0.95,1.25,1.0311961749971887,NA,Restaurant,JHDN7CF1C03X5,Plant-based
vegan,Level Change,1.15,NA,0.99,1.45,1.0627745637220418,NA,Restaurant,L69HYJ4Y3TR91,Plant-based
vegan,Slope Change,3.06,NA,0.97,10.35,1.2153967185521373,NA,Restaurant,L69HYJ4Y3TR91,Plant-based
vegan,Level Change,1.2,NA,1.05,1.52,1.140969597481084,NA,Restaurant,ED5J990H5VAZT,Plant-based
vegan,Slope Change,1.37,NA,1.04,1.84,1.0361260672108592,NA,Restaurant,ED5J990H5VAZT,Plant-based
