outcome,exposure_group,exposure_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id
meat,vegetarian,Count,1.01,0.92,1.1,0.9999223655291921,Restaurant,2HRX9P6HKXA8V
meat,vegetarian,Count,1,0.98,1.02,1.000152110600899,Restaurant,JHDN7CF1C03X5
meat,vegetarian,Count,1.06,1,1.12,1.000810561231359,Restaurant,L69HYJ4Y3TR91
meat,vegetarian,Count,1.11,1.06,1.15,1.0003994131220846,Restaurant,ED5J990H5VAZT
meat,vegetarian,Count,0.99,0.98,1.01,1.0006654965593693,Restaurant,W8T41JZK0ZMEP
meat,vegetarian,Proportion,1.0617130091656914,1,1.1321594864044893,0.9998528415222124,Restaurant,SRQS8F7JWA9MZ
meat,vegetarian,Proportion,0.9469843445639475,0.7664958432641342,1.1729640236260406,1.0007321836743803,Restaurant,2HRX9P6HKXA8V
meat,vegetarian,Proportion,0.9959261213978506,0.8705505632961241,1.1472543407415878,1.0023628788388,Restaurant,JHDN7CF1C03X5
meat,vegetarian,Proportion,1.1201496277835286,0.8835676359470228,1.494486011081548,0.9997948270762791,Restaurant,L69HYJ4Y3TR91
meat,vegetarian,Proportion,0.7767996097157338,0.6309573444801932,0.9272776363420387,1.0015517156851572,Restaurant,ED5J990H5VAZT
meat,vegetarian,Proportion,0.7767996097157338,0.6309573444801932,0.9232541136674268,1.0004948083440062,Restaurant,W8T41JZK0ZMEP
nonvegan,mpbamod,Count,1.21,1.11,1.33,1.000568882413777,Restaurant,SRQS8F7JWA9MZ
nonvegan,mpbamod,Count,0.66,0.5,0.86,1.0014971453801849,Restaurant,2HRX9P6HKXA8V
nonvegan,mpbamod,Count,0.95,0.9,1,0.999655904383951,Restaurant,JHDN7CF1C03X5
nonvegan,mpbamod,Count,1.13,0.92,1.37,1.0000976734312736,Restaurant,L69HYJ4Y3TR91
nonvegan,mpbamod,Count,1.02,1,1.05,1.0006023678556668,Restaurant,ED5J990H5VAZT
nonvegan,mpbamod,Count,1.02,0.99,1.05,1.0002647939297906,Restaurant,W8T41JZK0ZMEP
nonvegan,mpbamod,Proportion,1.2051004588156917,1.0998411800099641,1.3240550231156052,1.000038479877405,Restaurant,SRQS8F7JWA9MZ
nonvegan,mpbamod,Proportion,0,0,0.8772762586965452,1.0000087836027356,Restaurant,2HRX9P6HKXA8V
nonvegan,mpbamod,Proportion,0.7042261140012369,0,0.8594928497600735,0.9996991160371369,Restaurant,JHDN7CF1C03X5
nonvegan,mpbamod,Proportion,1.0356877379527947,0.7042261140012369,1.5889819678646875,0.9999873412704012,Restaurant,L69HYJ4Y3TR91
nonvegan,mpbamod,Proportion,1.0233803045571623,0.9676833077041481,1.0830170590841925,0.9998243471914859,Restaurant,ED5J990H5VAZT
nonvegan,mpbamod,Proportion,0.9146993820210588,0.7767996097157338,1.0859091303463047,1.0000109652970939,Restaurant,W8T41JZK0ZMEP
nonvegan,vegan,Count,2.08,1.71,2.55,0.9994732105296513,Restaurant,SRQS8F7JWA9MZ
nonvegan,vegan,Count,1.02,0.89,1.16,0.9997706521805989,Restaurant,2HRX9P6HKXA8V
nonvegan,vegan,Count,1,0.97,1.02,1.0003867390626329,Restaurant,JHDN7CF1C03X5
nonvegan,vegan,Count,1.13,1.05,1.22,0.9997212016382029,Restaurant,L69HYJ4Y3TR91
nonvegan,vegan,Count,1.35,1.24,1.47,0.99973355241235,Restaurant,ED5J990H5VAZT
