outcome,effect_type,mean,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group,n_rest_in_group,rest_rank,step_size
total,Slope Change,-0.020926556432,-0.314580675,0.18894085,0.999997942584435,1093.46603274546,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/W8T41JZK0ZMEP.png,Total,25,23,0.12
total,Slope Change,-0.00135258672378,-0.2653691,0.23840325,1.0014321737551,1060.14830838436,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/W8T41JZK0ZMEP.png,Total,25,24,0.12
total,Slope Change,-0.00107330243383333,-0.24125305,0.223104675,1.00135256057013,1151.57942048792,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/W8T41JZK0ZMEP.png,Total,25,25,0.12
total,Slope Change,0.186352812627667,-0.0181204625,0.391891925,1.00961069945202,121.450773310317,Restaurant,EMBVNVD207CC6,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/EMBVNVD207CC6.png,Total,25,9,0.12
total,Slope Change,-0.00302202825253667,-0.1609525,0.123030425,1.00836473927669,734.017624332427,Restaurant,C0BE4NDSW26QN,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/C0BE4NDSW26QN.png,Total,25,6,0.12
total,Slope Change,0.0523168245283333,-0.07611618,0.2350715,1.00183964676809,856.396126377913,Restaurant,C0BE4NDSW26QN,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/C0BE4NDSW26QN.png,Total,25,7,0.12
total,Slope Change,-0.0232533814957867,-0.2604014,0.23459675,1.00138037730748,1096.15674949487,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/V3Q26BHF3SE2H.png,Total,25,17,0.12
total,Slope Change,-0.0234405107592333,-0.246940875,0.220987975,1.00070329069376,868.645093676115,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/V3Q26BHF3SE2H.png,Total,25,18,0.12
total,Slope Change,-0.0491388446111333,-0.3173725,0.149253125,1.00184108431134,924.321298208621,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/V3Q26BHF3SE2H.png,Total,25,19,0.12
total,Slope Change,-0.0190394774462,-0.232626575,0.240463575,1.00068958982449,1070.0053890543,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/V3Q26BHF3SE2H.png,Total,25,20,0.12
total,Slope Change,-0.0515676249489,-0.2509478,0.10276135,1.00652354546197,444.325302239228,Restaurant,LBZEEFSBJNB3Z,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/LBZEEFSBJNB3Z.png,Total,25,11,0.12
total,Slope Change,0.0265164774854333,-0.225532875,0.287554825,1.00324214794773,697.460265540465,Restaurant,SAFK7ND1HR6XS,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/SAFK7ND1HR6XS.png,Total,25,14,0.12
total,Slope Change,-0.0207373166959667,-0.143368775,0.090427625,1.00988722815458,459.162625346435,Restaurant,S8MT0YGD2KTN9,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/S8MT0YGD2KTN9.png,Total,25,13,0.12
