outcome,exposure_group,exposure_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id,color_group
chicken_fish,vegetarian,Proportion,-0.37071923134955553,-1.904391,1.0974327499999998,1.0005851288965681,Pooled,POOLED,Animal
vegetarian,mpbamod,Count,-0.027084055053766667,-0.31944894999999995,0.23299617500000006,1.0079968216138122,Pooled,POOLED,Plant-based
vegetarian,mpbamod,Proportion,-0.43842422062433334,-1.88976625,0.9587399249999999,1.0001681002588378,Pooled,POOLED,Plant-based
vegetarian,vegan,Count,0.19516117551233333,-0.05546862499999998,0.45072052500000004,1.0007540051449666,Pooled,POOLED,Plant-based
vegetarian,vegan,Proportion,0.6504502095660667,-0.12844762499999995,1.4492352500000008,1.0014080846981681,Pooled,POOLED,Plant-based
vegetarian,vegetarian,Count,0.056736338988166664,-0.0393058475,0.13721845,1.0006540332150726,Pooled,POOLED,Plant-based
vegetarian,vegetarian,Proportion,0.5030456053176666,-0.7494293750000001,1.60883975,1.00076389876857,Pooled,POOLED,Plant-based
vegan,mpbamod,Count,0.022898028895,-0.08764952999999998,0.12390700000000016,1.0033128958808983,Pooled,POOLED,Plant-based
vegan,mpbamod,Proportion,-0.3378187913053333,-1.586315,0.9034955500000004,1.00461379492353,Pooled,POOLED,Plant-based
vegan,vegan,Count,0.171884377826,-0.04191253,0.4113810749999999,1.0022608384141802,Pooled,POOLED,Plant-based
vegan,vegan,Proportion,1.7208784015711112,0.4917161,2.7259325,1.0004344556684406,Pooled,POOLED,Plant-based
vegan,vegetarian,Count,0.0306470564391,-0.008657019749999998,0.07343518000000002,1.002069433961768,Pooled,POOLED,Plant-based
vegan,vegetarian,Proportion,0.9624202374633334,-0.012433337499999971,1.8266200000000004,1.000502291554742,Pooled,POOLED,Plant-based
total,mpbamod,Count,0.009950330853168092,-0.07257069283483537,0.0769610411361284,1.0004091756775109,Restaurant,SRQS8F7JWA9MZ,Total
total,mpbamod,Count,-0.5108256237659907,-0.843970070294529,-0.030459207484708574,1.0041740066855958,Restaurant,2HRX9P6HKXA8V,Total
total,mpbamod,Count,-0.020202707317519466,-0.05129329438755058,0.01980262729617973,1.0018479775895772,Restaurant,JHDN7CF1C03X5,Total
total,mpbamod,Count,0.13976194237515863,-0.020202707317519466,0.30010459245033816,1.0044142123162305,Restaurant,L69HYJ4Y3TR91,Total
total,mpbamod,Count,0.01980262729617973,0,0.03922071315328133,1.0012991822976358,Restaurant,ED5J990H5VAZT,Total
total,mpbamod,Count,0.009950330853168092,-0.020202707317519466,0.04879016416943205,0.9999697409089183,Restaurant,W8T41JZK0ZMEP,Total
total,mpbamod,Proportion,0.131028262406404,-0.616186139423817,0.8796267475025636,1.002009296772317,Restaurant,SRQS8F7JWA9MZ,Total
total,mpbamod,Proportion,-4.605170185988091,-Inf,-0.843970070294529,1.0006631220558118,Restaurant,2HRX9P6HKXA8V,Total
