"date","datatype","station","attributes","value"
"2013-02-17T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",61
"2013-02-18T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-02-18T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",167
"2013-02-18T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",61
"2013-02-19T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",122
"2013-02-19T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",128
"2013-02-19T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",67
"2013-02-19T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",72
"2013-02-20T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-02-20T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",100
"2013-02-20T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",22
"2013-02-20T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",78
"2013-02-21T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-02-21T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",161
"2013-02-21T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",33
"2013-02-21T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",94
"2013-02-22T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-02-22T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",167
"2013-02-22T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",44
"2013-02-22T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",94
"2013-02-23T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-02-23T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",172
"2013-02-23T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",56
"2013-02-24T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-02-24T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",161
"2013-02-24T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",61
"2013-02-25T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-02-25T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",183
"2013-02-25T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",50
"2013-02-25T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",117
"2013-02-26T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-02-26T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",178
"2013-02-26T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",50
"2013-02-26T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",128
"2013-02-27T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
