"date","datatype","station","attributes","value"
"2013-01-21T00:00:00","RHMX","GHCND:USW00012839",",,W,",91
"2013-01-21T00:00:00","TMAX","GHCND:USW00012839",",,X,2400",272
"2013-01-21T00:00:00","TMIN","GHCND:USW00012839",",,X,2400",194
"2013-01-21T00:00:00","WDF2","GHCND:USW00012839",",,X,",190
"2013-01-21T00:00:00","WDF5","GHCND:USW00012839",",,X,",170
"2013-01-21T00:00:00","WSF2","GHCND:USW00012839",",,X,",63
"2013-01-21T00:00:00","WSF5","GHCND:USW00012839",",,X,",89
"2013-01-21T00:00:00","WT16","GHCND:USW00012839",",,X,",1
"2013-01-22T00:00:00","ADPT","GHCND:USW00012839",",,W,",144
"2013-01-22T00:00:00","ASLP","GHCND:USW00012839",",,W,",10196
"2013-01-22T00:00:00","ASTP","GHCND:USW00012839",",,W,",10179
"2013-01-22T00:00:00","AWBT","GHCND:USW00012839",",,W,",172
"2013-01-22T00:00:00","AWND","GHCND:USW00012839",",,X,",29
"2013-01-22T00:00:00","PRCP","GHCND:USW00012839",",,X,2400",0
"2013-01-22T00:00:00","RHAV","GHCND:USW00012839",",,W,",69
"2013-01-22T00:00:00","RHMN","GHCND:USW00012839",",,W,",50
"2013-01-22T00:00:00","RHMX","GHCND:USW00012839",",,W,",91
"2013-01-22T00:00:00","TMAX","GHCND:USW00012839",",,X,2400",256
"2013-01-22T00:00:00","TMIN","GHCND:USW00012839",",,X,2400",172
"2013-01-22T00:00:00","WDF2","GHCND:USW00012839",",,X,",360
"2013-01-22T00:00:00","WDF5","GHCND:USW00012839",",,X,",360
"2013-01-22T00:00:00","WSF2","GHCND:USW00012839",",,X,",67
"2013-01-22T00:00:00","WSF5","GHCND:USW00012839",",,X,",89
"2013-01-23T00:00:00","ADPT","GHCND:USW00012839",",,W,",111
"2013-01-23T00:00:00","ASLP","GHCND:USW00012839",",,W,",10244
"2013-01-23T00:00:00","ASTP","GHCND:USW00012839",",,W,",10227
"2013-01-23T00:00:00","AWBT","GHCND:USW00012839",",,W,",150
"2013-01-23T00:00:00","AWND","GHCND:USW00012839",",,X,",32
"2013-01-23T00:00:00","PRCP","GHCND:USW00012839",",,X,2400",0
"2013-01-23T00:00:00","PSUN","GHCND:USW00012839",",,X,",67
"2013-01-23T00:00:00","RHAV","GHCND:USW00012839",",,W,",56
"2013-01-23T00:00:00","RHMN","GHCND:USW00012839",",,W,",45
"2013-01-23T00:00:00","RHMX","GHCND:USW00012839",",,W,",76
"2013-01-23T00:00:00","TMAX","GHCND:USW00012839",",,X,2400",244
