outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group,exposure_strip,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Nonvegan,Slope change,0.9846848378692123,0.8524492277410859,1.1438815450388045,NA,1.0018901273126568,NA,Restaurant,S8MT0YGD2KTN9,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9135188711117935,1.0613948552036645
Nonvegan,Slope change,0.9886977293301783,0.7763924052436519,1.2541176824983984,NA,1.0017630247885536,NA,Restaurant,1SQPTEGYPH0GA,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8748563486594322,1.1173528105277373
Nonvegan,Slope change,0.5844564702275192,0.09794265858878132,4.0406217756710925,NA,1.0000634471130705,NA,Restaurant,9XKJD8DQTH559,NA,Animal,Exposure: Introductions,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.22627723690969623,1.5096055186812016
Nonvegan,Slope change,1.6381982108667885,0.23964878554710473,9.503686823456796,NA,1.0000747131055625,NA,Restaurant,9XKJD8DQTH559,NA,Animal,Exposure: Introductions,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.6406672857951414,4.188903409913269
Nonvegan,Slope change,0.9920789855163038,0.36768523904410466,2.707152923338978,NA,0.9994587618314943,NA,Restaurant,LQ5EH4BKGV61T,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.5961608409066327,1.650931503663122
Nonvegan,Slope change,0.9821324316431419,0.8765016321942679,1.104147850894814,NA,1.0058668816405958,NA,Restaurant,78AY09MVJVTYE,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9259548743658744,1.0417182737396906
Meat,Level change,0.8251908556421523,0.6163369627850239,1.094819442534919,NA,1.6711183005503023,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7126893216608203,0.9554513131312177
Meat,Level change,0.9259090578926582,0.705171891576218,1.22324127833554,NA,1.6582211739542523,NA,Restaurant,ED5J990H5VAZT,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8045324272338003,1.0655973015722
Meat,Level change,1.1308535120881105,0.8026727381578482,1.4925909454081565,NA,1.506075203524739,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9653421675797711,1.3247423646769663
Meat,Level change,0.10006332344201908,0.05336942681121448,0.24096924326327185,NA,1.1747821216267438,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.06811888113880513,0.14698815557259984
Meat,Level change,0.6563846800980565,0.45698014050845676,0.977882717886298,NA,1.640117830403479,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.5405992199475637,0.7969690528025885
Meat,Level change,0.8303977865128165,0.5685681737987001,1.4258664089637119,NA,1.2095651062470638,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.6567875078855999,1.0498989027140475
Meat,Level change,0.8167049116004292,0.5243278855865232,1.1633127231798788,NA,1.2727113211165653,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.6664629383505265,1.000816210850501
Meat,Level change,0.2124788356162619,0.10234831235195367,0.43816918809537786,NA,1.760215588090569,NA,Restaurant,EMBVNVD207CC6,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.1466233506267693,0.3079131351988067
Meat,Level change,1.0777936458794692,0.18773669750846672,3.687362857268111,NA,1.2256834222958186,NA,Restaurant,C0BE4NDSW26QN,NA,Animal,Exposure: Introductions,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.5042502867785731,2.3036955526973433
Meat,Level change,1.0079715527430835,0.40225430168838056,3.0602582788336545,NA,1.692228215947209,NA,Restaurant,C0BE4NDSW26QN,NA,Animal,Exposure: Introductions,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.6006724567629318,1.691448708360356
Meat,Level change,0.8808962180902311,0.6871936915756248,1.2126959694398585,NA,1.3274462865488437,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7620755327924014,1.0182430922592784
Meat,Level change,0.981033544273554,0.7596425503520796,1.2161416471766537,NA,1.606847656315427,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8700564058172114,1.1061660009111245
Meat,Level change,0.8591207102269982,0.6943822223452869,1.0938859263629908,NA,1.6056758110093634,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7650746648213846,0.9647272726162707
Meat,Level change,0.7836106577008171,0.6125245140042909,1.0414688033044879,NA,1.2061672604648705,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.684373996415471,0.8972369874929191
Meat,Level change,0.8567023313916864,0.6542008255210126,1.154244727796302,NA,1.1766618961476418,NA,Restaurant,LBZEEFSBJNB3Z,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7411824883828965,0.9902269631508029
Meat,Level change,1.0352969073534315,0.7453521811512305,1.4472092817932072,NA,1.2663220191387183,NA,Restaurant,SAFK7ND1HR6XS,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8740820654419306,1.2262460571521556
Meat,Level change,1.0294730196322897,0.9069926117958408,1.1843783521843536,NA,1.153756464648754,NA,Restaurant,S8MT0YGD2KTN9,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.961727495433308,1.1019906399507933
Meat,Level change,1.2178943757861933,0.9389755551188588,1.5459615631838721,NA,1.1876775243032878,NA,Restaurant,1SQPTEGYPH0GA,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.0724293843788266,1.3830903294679682
Meat,Level change,0.8031214831013993,0.5672485921707382,1.1354559641046993,NA,1.6769665984489572,NA,Restaurant,9XKJD8DQTH559,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.6728128645452895,0.9586679307252955
Meat,Level change,0.7257869971038664,0.48904511175969917,1.1554042817874304,NA,1.4013331678873386,NA,Restaurant,9XKJD8DQTH559,NA,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.5828514683918954,0.9037753076584212
