outcome,exposure_group,exposure_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id
chicken_fish,vegan,Count,0.01980262729617973,-0.01005033585350145,0.03922071315328133,1.0000453859352074,Restaurant,W8T41JZK0ZMEP
chicken_fish,vegan,Proportion,0.62057648772511,-1.0788096613719298,2.262804222982201,1.0004933689625073,Restaurant,2HRX9P6HKXA8V
chicken_fish,vegan,Proportion,0.6931471805599453,-0.5108256237659907,1.9572739077056285,0.999876298258119,Restaurant,JHDN7CF1C03X5
chicken_fish,vegan,Proportion,0.7793248768009977,-0.9675840262617056,2.7324175575505043,1.0007145575198892,Restaurant,L69HYJ4Y3TR91
chicken_fish,vegan,Proportion,0.7178397931503168,-1.0498221244986778,2.644044871126298,1.0010376760229065,Restaurant,ED5J990H5VAZT
chicken_fish,vegan,Proportion,0.8020015854720274,-0.4942963218147801,2.1656192379208883,1.0010040485552807,Restaurant,W8T41JZK0ZMEP
chicken_fish,vegetarian,Count,0.0769610411361284,-0.06187540371808753,0.22314355131420976,1.0008634542829515,Restaurant,2HRX9P6HKXA8V
chicken_fish,vegetarian,Count,0.01980262729617973,0,0.04879016416943205,1.0005791859785873,Restaurant,JHDN7CF1C03X5
chicken_fish,vegetarian,Count,0.1906203596086497,0.02955880224154443,0.3987761199573678,1.0020422999649476,Restaurant,L69HYJ4Y3TR91
chicken_fish,vegetarian,Count,0.1570037488096647,0.03922071315328133,0.27763173659827955,1.0028760429379244,Restaurant,ED5J990H5VAZT
chicken_fish,vegetarian,Count,0.009950330853168092,-0.01005033585350145,0.02955880224154443,1.0010028810261353,Restaurant,W8T41JZK0ZMEP
chicken_fish,vegetarian,Proportion,0.9516578757114463,-1.9661128563728327,4.037950562025936,0.9998667240504674,Restaurant,2HRX9P6HKXA8V
chicken_fish,vegetarian,Proportion,1.2267122912954254,-0.3285040669720361,2.859912550411456,0.9997753466729732,Restaurant,JHDN7CF1C03X5
